,origin_id,origin_name,origin,destination_id,destination_name,destination,County,DISTANCE
0,395015,BRIGHTON REHABILITATION AND WELLNESS CENTER,246 FRIENDSHIP CIRCLE,395109,BEAVER HEALTHCARE AND REHABILITATION CENTER,616 GOLF COURSE ROAD,Beaver,12.049005061
1,395015,BRIGHTON REHABILITATION AND WELLNESS CENTER,246 FRIENDSHIP CIRCLE,395266,BEAVER VALLEY HEALTHCARE AND REHABILITATION CENTER,257 GEORGETOWN ROAD,Beaver,8.54385125
2,395015,BRIGHTON REHABILITATION AND WELLNESS CENTER,246 FRIENDSHIP CIRCLE,395682,PROVIDENCE CARE CENTER,900 THIRD AVE,Beaver,8.907353285000001
3,395015,BRIGHTON REHABILITATION AND WELLNESS CENTER,246 FRIENDSHIP CIRCLE,395751,ROCHESTER MANOR,174 VIRGINIA AVENUE,Beaver,3.541193329
4,395015,BRIGHTON REHABILITATION AND WELLNESS CENTER,246 FRIENDSHIP CIRCLE,396026,CONCORDIA AT VILLA ST JOSEPH,1030 STATE STREET,Beaver,7.770244355
5,395109,BEAVER HEALTHCARE AND REHABILITATION CENTER,616 GOLF COURSE ROAD,395266,BEAVER VALLEY HEALTHCARE AND REHABILITATION CENTER,257 GEORGETOWN ROAD,Beaver,17.640101319
6,395109,BEAVER HEALTHCARE AND REHABILITATION CENTER,616 GOLF COURSE ROAD,395682,PROVIDENCE CARE CENTER,900 THIRD AVE,Beaver,7.998287512
7,395109,BEAVER HEALTHCARE AND REHABILITATION CENTER,616 GOLF COURSE ROAD,395751,ROCHESTER MANOR,174 VIRGINIA AVENUE,Beaver,9.429304925
8,395109,BEAVER HEALTHCARE AND REHABILITATION CENTER,616 GOLF COURSE ROAD,396026,CONCORDIA AT VILLA ST JOSEPH,1030 STATE STREET,Beaver,9.835681559
9,395266,BEAVER VALLEY HEALTHCARE AND REHABILITATION CENTER,257 GEORGETOWN ROAD,395682,PROVIDENCE CARE CENTER,900 THIRD AVE,Beaver,16.887621038
10,395266,BEAVER VALLEY HEALTHCARE AND REHABILITATION CENTER,257 GEORGETOWN ROAD,395751,ROCHESTER MANOR,174 VIRGINIA AVENUE,Beaver,11.861351019
11,395266,BEAVER VALLEY HEALTHCARE AND REHABILITATION CENTER,257 GEORGETOWN ROAD,396026,CONCORDIA AT VILLA ST JOSEPH,1030 STATE STREET,Beaver,16.084809706
12,395682,PROVIDENCE CARE CENTER,900 THIRD AVE,395751,ROCHESTER MANOR,174 VIRGINIA AVENUE,Beaver,8.656940772
13,395682,PROVIDENCE CARE CENTER,900 THIRD AVE,396026,CONCORDIA AT VILLA ST JOSEPH,1030 STATE STREET,Beaver,12.18508531
14,395751,ROCHESTER MANOR,174 VIRGINIA AVENUE,396026,CONCORDIA AT VILLA ST JOSEPH,1030 STATE STREET,Beaver,4.82805267
