,origin_id,origin_name,origin,destination_id,destination_name,destination,County,DISTANCE
0,395001,PASSAVANT RETIREMENT AND HEALT,105 BURGESS DRIVE,395118,QUALITY LIFE SERVICES - CHICORA,"DONEGAL TOWNSHIP, BOX Q",Butler,32.012412549000004
1,395001,PASSAVANT RETIREMENT AND HEALT,105 BURGESS DRIVE,395160,SAXONY HEALTH CENTER,"BOX 458, 223 PITTSBURGH ST",Butler,22.191022523
2,395001,PASSAVANT RETIREMENT AND HEALT,105 BURGESS DRIVE,395164,ST JOHN SPECIALTY CARE CENTER,P O BOX 928  500 WITTENBERG WAY,Butler,11.817233678000001
3,395001,PASSAVANT RETIREMENT AND HEALT,105 BURGESS DRIVE,395248,TRANSITIONS HEALTHCARE AUTUMN GROVE CARE CENTER,555 SOUTH MAIN STREET,Butler,29.829536226000002
4,395001,PASSAVANT RETIREMENT AND HEALT,105 BURGESS DRIVE,395381,VALENCIA WOODS AT ST BARNABAS,85 CHARITY PLACE,Butler,15.654820974
5,395001,PASSAVANT RETIREMENT AND HEALT,105 BURGESS DRIVE,395534,QUALITY LIFE SERVICES - SARVER,126 IRON BRIDGE ROAD,Butler,30.345274156000002
6,395001,PASSAVANT RETIREMENT AND HEALT,105 BURGESS DRIVE,395549,SHERWOOD OAKS,100 NORMAN DRIVE,Butler,7.515482245
7,395001,PASSAVANT RETIREMENT AND HEALT,105 BURGESS DRIVE,395684,CONCORDIA LUTHERAN HEALTH AND HUMAN CARE,134 MARWOOD ROAD,Butler,24.428579494
8,395001,PASSAVANT RETIREMENT AND HEALT,105 BURGESS DRIVE,395758,"GROVE AT HARMONY, THE",191 EVERGREEN MILL ROAD,Butler,3.614515107
9,395001,PASSAVANT RETIREMENT AND HEALT,105 BURGESS DRIVE,395788,SUNNYVIEW NURSING AND REHABILITATION CENTER,107 SUNNYVIEW CIRCLE,Butler,19.478116737
10,395001,PASSAVANT RETIREMENT AND HEALT,105 BURGESS DRIVE,395845,CRANBERRY PLACE,5 SAINT FRANCIS WAY,Butler,8.213903249
11,395001,PASSAVANT RETIREMENT AND HEALT,105 BURGESS DRIVE,395869,BUTLER MEMORIAL HOSP TCF,ONE HOSPITAL WAY,Butler,21.914512428000002
12,395118,QUALITY LIFE SERVICES - CHICORA,"DONEGAL TOWNSHIP, BOX Q",395160,SAXONY HEALTH CENTER,"BOX 458, 223 PITTSBURGH ST",Butler,16.317823831000002
13,395118,QUALITY LIFE SERVICES - CHICORA,"DONEGAL TOWNSHIP, BOX Q",395164,ST JOHN SPECIALTY CARE CENTER,P O BOX 928  500 WITTENBERG WAY,Butler,28.72598133
14,395118,QUALITY LIFE SERVICES - CHICORA,"DONEGAL TOWNSHIP, BOX Q",395248,TRANSITIONS HEALTHCARE AUTUMN GROVE CARE CENTER,555 SOUTH MAIN STREET,Butler,28.260574451
15,395118,QUALITY LIFE SERVICES - CHICORA,"DONEGAL TOWNSHIP, BOX Q",395381,VALENCIA WOODS AT ST BARNABAS,85 CHARITY PLACE,Butler,28.246282918000002
16,395118,QUALITY LIFE SERVICES - CHICORA,"DONEGAL TOWNSHIP, BOX Q",395534,QUALITY LIFE SERVICES - SARVER,126 IRON BRIDGE ROAD,Butler,16.367533511
17,395118,QUALITY LIFE SERVICES - CHICORA,"DONEGAL TOWNSHIP, BOX Q",395549,SHERWOOD OAKS,100 NORMAN DRIVE,Butler,33.670851748000004
18,395118,QUALITY LIFE SERVICES - CHICORA,"DONEGAL TOWNSHIP, BOX Q",395684,CONCORDIA LUTHERAN HEALTH AND HUMAN CARE,134 MARWOOD ROAD,Butler,12.789057922
19,395118,QUALITY LIFE SERVICES - CHICORA,"DONEGAL TOWNSHIP, BOX Q",395758,"GROVE AT HARMONY, THE",191 EVERGREEN MILL ROAD,Butler,28.75704988
20,395118,QUALITY LIFE SERVICES - CHICORA,"DONEGAL TOWNSHIP, BOX Q",395788,SUNNYVIEW NURSING AND REHABILITATION CENTER,107 SUNNYVIEW CIRCLE,Butler,13.392409163
21,395118,QUALITY LIFE SERVICES - CHICORA,"DONEGAL TOWNSHIP, BOX Q",395845,CRANBERRY PLACE,5 SAINT FRANCIS WAY,Butler,35.956875657
22,395118,QUALITY LIFE SERVICES - CHICORA,"DONEGAL TOWNSHIP, BOX Q",395869,BUTLER MEMORIAL HOSP TCF,ONE HOSPITAL WAY,Butler,11.856380051
23,395160,SAXONY HEALTH CENTER,"BOX 458, 223 PITTSBURGH ST",395164,ST JOHN SPECIALTY CARE CENTER,P O BOX 928  500 WITTENBERG WAY,Butler,13.524761186000001
24,395160,SAXONY HEALTH CENTER,"BOX 458, 223 PITTSBURGH ST",395248,TRANSITIONS HEALTHCARE AUTUMN GROVE CARE CENTER,555 SOUTH MAIN STREET,Butler,32.58469524
25,395160,SAXONY HEALTH CENTER,"BOX 458, 223 PITTSBURGH ST",395381,VALENCIA WOODS AT ST BARNABAS,85 CHARITY PLACE,Butler,13.045684145000001
26,395160,SAXONY HEALTH CENTER,"BOX 458, 223 PITTSBURGH ST",395534,QUALITY LIFE SERVICES - SARVER,126 IRON BRIDGE ROAD,Butler,8.727777066
27,395160,SAXONY HEALTH CENTER,"BOX 458, 223 PITTSBURGH ST",395549,SHERWOOD OAKS,100 NORMAN DRIVE,Butler,19.809928851
28,395160,SAXONY HEALTH CENTER,"BOX 458, 223 PITTSBURGH ST",395684,CONCORDIA LUTHERAN HEALTH AND HUMAN CARE,134 MARWOOD ROAD,Butler,2.90801628
29,395160,SAXONY HEALTH CENTER,"BOX 458, 223 PITTSBURGH ST",395758,"GROVE AT HARMONY, THE",191 EVERGREEN MILL ROAD,Butler,20.459882917
30,395160,SAXONY HEALTH CENTER,"BOX 458, 223 PITTSBURGH ST",395788,SUNNYVIEW NURSING AND REHABILITATION CENTER,107 SUNNYVIEW CIRCLE,Butler,9.011122242
31,395160,SAXONY HEALTH CENTER,"BOX 458, 223 PITTSBURGH ST",395845,CRANBERRY PLACE,5 SAINT FRANCIS WAY,Butler,18.546060237
32,395160,SAXONY HEALTH CENTER,"BOX 458, 223 PITTSBURGH ST",395869,BUTLER MEMORIAL HOSP TCF,ONE HOSPITAL WAY,Butler,10.598725147
33,395164,ST JOHN SPECIALTY CARE CENTER,P O BOX 928  500 WITTENBERG WAY,395248,TRANSITIONS HEALTHCARE AUTUMN GROVE CARE CENTER,555 SOUTH MAIN STREET,Butler,34.389156624
34,395164,ST JOHN SPECIALTY CARE CENTER,P O BOX 928  500 WITTENBERG WAY,395381,VALENCIA WOODS AT ST BARNABAS,85 CHARITY PLACE,Butler,2.942813056
35,395164,ST JOHN SPECIALTY CARE CENTER,P O BOX 928  500 WITTENBERG WAY,395534,QUALITY LIFE SERVICES - SARVER,126 IRON BRIDGE ROAD,Butler,20.62330349
36,395164,ST JOHN SPECIALTY CARE CENTER,P O BOX 928  500 WITTENBERG WAY,395549,SHERWOOD OAKS,100 NORMAN DRIVE,Butler,6.71702051
37,395164,ST JOHN SPECIALTY CARE CENTER,P O BOX 928  500 WITTENBERG WAY,395684,CONCORDIA LUTHERAN HEALTH AND HUMAN CARE,134 MARWOOD ROAD,Butler,16.785716194
38,395164,ST JOHN SPECIALTY CARE CENTER,P O BOX 928  500 WITTENBERG WAY,395758,"GROVE AT HARMONY, THE",191 EVERGREEN MILL ROAD,Butler,10.085472701
39,395164,ST JOHN SPECIALTY CARE CENTER,P O BOX 928  500 WITTENBERG WAY,395788,SUNNYVIEW NURSING AND REHABILITATION CENTER,107 SUNNYVIEW CIRCLE,Butler,16.990147253
40,395164,ST JOHN SPECIALTY CARE CENTER,P O BOX 928  500 WITTENBERG WAY,395845,CRANBERRY PLACE,5 SAINT FRANCIS WAY,Butler,5.4531518960000005
41,395164,ST JOHN SPECIALTY CARE CENTER,P O BOX 928  500 WITTENBERG WAY,395869,BUTLER MEMORIAL HOSP TCF,ONE HOSPITAL WAY,Butler,18.068847309
42,395248,TRANSITIONS HEALTHCARE AUTUMN GROVE CARE CENTER,555 SOUTH MAIN STREET,395381,VALENCIA WOODS AT ST BARNABAS,85 CHARITY PLACE,Butler,34.52958647
43,395248,TRANSITIONS HEALTHCARE AUTUMN GROVE CARE CENTER,555 SOUTH MAIN STREET,395534,QUALITY LIFE SERVICES - SARVER,126 IRON BRIDGE ROAD,Butler,38.728190317
44,395248,TRANSITIONS HEALTHCARE AUTUMN GROVE CARE CENTER,555 SOUTH MAIN STREET,395549,SHERWOOD OAKS,100 NORMAN DRIVE,Butler,36.281231319
45,395248,TRANSITIONS HEALTHCARE AUTUMN GROVE CARE CENTER,555 SOUTH MAIN STREET,395684,CONCORDIA LUTHERAN HEALTH AND HUMAN CARE,134 MARWOOD ROAD,Butler,31.253097187
46,395248,TRANSITIONS HEALTHCARE AUTUMN GROVE CARE CENTER,555 SOUTH MAIN STREET,395758,"GROVE AT HARMONY, THE",191 EVERGREEN MILL ROAD,Butler,29.177096676
47,395248,TRANSITIONS HEALTHCARE AUTUMN GROVE CARE CENTER,555 SOUTH MAIN STREET,395788,SUNNYVIEW NURSING AND REHABILITATION CENTER,107 SUNNYVIEW CIRCLE,Butler,21.960493882
48,395248,TRANSITIONS HEALTHCARE AUTUMN GROVE CARE CENTER,555 SOUTH MAIN STREET,395845,CRANBERRY PLACE,5 SAINT FRANCIS WAY,Butler,37.56187695
49,395248,TRANSITIONS HEALTHCARE AUTUMN GROVE CARE CENTER,555 SOUTH MAIN STREET,395869,BUTLER MEMORIAL HOSP TCF,ONE HOSPITAL WAY,Butler,21.065719642
50,395381,VALENCIA WOODS AT ST BARNABAS,85 CHARITY PLACE,395534,QUALITY LIFE SERVICES - SARVER,126 IRON BRIDGE ROAD,Butler,19.847832482
51,395381,VALENCIA WOODS AT ST BARNABAS,85 CHARITY PLACE,395549,SHERWOOD OAKS,100 NORMAN DRIVE,Butler,9.227980721
52,395381,VALENCIA WOODS AT ST BARNABAS,85 CHARITY PLACE,395684,CONCORDIA LUTHERAN HEALTH AND HUMAN CARE,134 MARWOOD ROAD,Butler,16.009623815
53,395381,VALENCIA WOODS AT ST BARNABAS,85 CHARITY PLACE,395758,"GROVE AT HARMONY, THE",191 EVERGREEN MILL ROAD,Butler,12.617559526
54,395381,VALENCIA WOODS AT ST BARNABAS,85 CHARITY PLACE,395788,SUNNYVIEW NURSING AND REHABILITATION CENTER,107 SUNNYVIEW CIRCLE,Butler,16.214054874
55,395381,VALENCIA WOODS AT ST BARNABAS,85 CHARITY PLACE,395845,CRANBERRY PLACE,5 SAINT FRANCIS WAY,Butler,7.964112107
56,395381,VALENCIA WOODS AT ST BARNABAS,85 CHARITY PLACE,395869,BUTLER MEMORIAL HOSP TCF,ONE HOSPITAL WAY,Butler,17.293376301
57,395534,QUALITY LIFE SERVICES - SARVER,126 IRON BRIDGE ROAD,395549,SHERWOOD OAKS,100 NORMAN DRIVE,Butler,26.607727591
58,395534,QUALITY LIFE SERVICES - SARVER,126 IRON BRIDGE ROAD,395684,CONCORDIA LUTHERAN HEALTH AND HUMAN CARE,134 MARWOOD ROAD,Butler,8.50035528
59,395534,QUALITY LIFE SERVICES - SARVER,126 IRON BRIDGE ROAD,395758,"GROVE AT HARMONY, THE",191 EVERGREEN MILL ROAD,Butler,28.610406324
60,395534,QUALITY LIFE SERVICES - SARVER,126 IRON BRIDGE ROAD,395788,SUNNYVIEW NURSING AND REHABILITATION CENTER,107 SUNNYVIEW CIRCLE,Butler,15.704530654000001
61,395534,QUALITY LIFE SERVICES - SARVER,126 IRON BRIDGE ROAD,395845,CRANBERRY PLACE,5 SAINT FRANCIS WAY,Butler,25.343858977
62,395534,QUALITY LIFE SERVICES - SARVER,126 IRON BRIDGE ROAD,395869,BUTLER MEMORIAL HOSP TCF,ONE HOSPITAL WAY,Butler,17.292133559
