,origin_id,origin_name,origin_zip,origin,destination_id,destination_name,destination_zip,destination,County,DISTANCE
0,395533,WINDY HILL VILLAGE OF PRESBYTERIAN HOMES,16866,100 DOGWOOD DRIVE,395756,JUNIPER VILLAGE AT BROOKLINE-REHABILITATION AND SK,16801,1950 CLIFFSIDE DRIVE,Centre,27.07
1,395533,WINDY HILL VILLAGE OF PRESBYTERIAN HOMES,16866,100 DOGWOOD DRIVE,395779,CENTRE CREST,16823,502 EAST HOWARD STREET,Centre,35.28
2,395533,WINDY HILL VILLAGE OF PRESBYTERIAN HOMES,16866,100 DOGWOOD DRIVE,395838,FOXDALE VILLAGE,16801,500 E. MARYLYN AVENUE,Centre,27.48
3,395533,WINDY HILL VILLAGE OF PRESBYTERIAN HOMES,16866,100 DOGWOOD DRIVE,395868,HEARTHSIDE REHAB CENTER,16801,450 WAUPELANI DRIVE,Centre,26.28
4,395533,WINDY HILL VILLAGE OF PRESBYTERIAN HOMES,16866,100 DOGWOOD DRIVE,396092,"VILLAGE AT PENN STATE,  THE",16803,260 LION'S HILL ROAD,Centre,22.88
5,395756,JUNIPER VILLAGE AT BROOKLINE-REHABILITATION AND SK,16801,1950 CLIFFSIDE DRIVE,395779,CENTRE CREST,16823,502 EAST HOWARD STREET,Centre,10.74
6,395756,JUNIPER VILLAGE AT BROOKLINE-REHABILITATION AND SK,16801,1950 CLIFFSIDE DRIVE,395838,FOXDALE VILLAGE,16801,500 E. MARYLYN AVENUE,Centre,0.79
7,395756,JUNIPER VILLAGE AT BROOKLINE-REHABILITATION AND SK,16801,1950 CLIFFSIDE DRIVE,395868,HEARTHSIDE REHAB CENTER,16801,450 WAUPELANI DRIVE,Centre,1.9
8,395756,JUNIPER VILLAGE AT BROOKLINE-REHABILITATION AND SK,16801,1950 CLIFFSIDE DRIVE,396092,"VILLAGE AT PENN STATE,  THE",16803,260 LION'S HILL ROAD,Centre,4.48
9,395779,CENTRE CREST,16823,502 EAST HOWARD STREET,395838,FOXDALE VILLAGE,16801,500 E. MARYLYN AVENUE,Centre,11.08
10,395779,CENTRE CREST,16823,502 EAST HOWARD STREET,395868,HEARTHSIDE REHAB CENTER,16801,450 WAUPELANI DRIVE,Centre,12.19
11,395779,CENTRE CREST,16823,502 EAST HOWARD STREET,396092,"VILLAGE AT PENN STATE,  THE",16803,260 LION'S HILL ROAD,Centre,10.92
12,395838,FOXDALE VILLAGE,16801,500 E. MARYLYN AVENUE,395868,HEARTHSIDE REHAB CENTER,16801,450 WAUPELANI DRIVE,Centre,1.87
13,395838,FOXDALE VILLAGE,16801,500 E. MARYLYN AVENUE,396092,"VILLAGE AT PENN STATE,  THE",16803,260 LION'S HILL ROAD,Centre,4.11
14,395868,HEARTHSIDE REHAB CENTER,16801,450 WAUPELANI DRIVE,396092,"VILLAGE AT PENN STATE,  THE",16803,260 LION'S HILL ROAD,Centre,4.7
