,origin_id,origin_name,origin_zip,origin,destination_id,destination_name,destination_zip,destination,County,DISTANCE
0,395041,TWINBROOK HEALTHCARE AND REHABILITATION CENTER,16511,3805 FIELD STREET,395042,SAINT MARY'S EAST,16504,607 EAST 26TH STREET,Erie,4.35
1,395041,TWINBROOK HEALTHCARE AND REHABILITATION CENTER,16511,3805 FIELD STREET,395174,ABINGTON CREST HEALTHCAREANDREHABILITATION CENTER,16509,1267 SOUTH HILL ROAD,Erie,9.85
2,395041,TWINBROOK HEALTHCARE AND REHABILITATION CENTER,16511,3805 FIELD STREET,395200,WALNUT CREEK HEALTHCARE AND REHABILITATION CENTER,16506,4850 ZUCK ROAD,Erie,11.48
3,395041,TWINBROOK HEALTHCARE AND REHABILITATION CENTER,16511,3805 FIELD STREET,395206,SARAH REED SENIOR LIVING,16502,227 WEST 22ND STREET,Erie,5.73
4,395041,TWINBROOK HEALTHCARE AND REHABILITATION CENTER,16511,3805 FIELD STREET,395262,WESTERN RESERVE HEALTHCAREANDREHABILITATION CENTER,16509,1521 WEST 54TH STREET,Erie,9.25
5,395041,TWINBROOK HEALTHCARE AND REHABILITATION CENTER,16511,3805 FIELD STREET,395361,PLEASANT RIDGE MANOR EAST/WEST,16417,8300 WEST RIDGE ROAD,Erie,23.94
6,395041,TWINBROOK HEALTHCARE AND REHABILITATION CENTER,16511,3805 FIELD STREET,395401,"BALL PAVILION, THE",16511,5416 EAST LAKE ROAD,Erie,2.57
7,395041,TWINBROOK HEALTHCARE AND REHABILITATION CENTER,16511,3805 FIELD STREET,395404,"LECOM AT PRESQUE ISLE, INC",16508,4114 SCHAPER AVENUE,Erie,9.19
8,395041,TWINBROOK HEALTHCARE AND REHABILITATION CENTER,16511,3805 FIELD STREET,395474,ELMWOOD GARDENS OF PRESBYERIAN SENIORCARE,16508,2628 ELMWOOD AVENUE,Erie,7.31
9,395041,TWINBROOK HEALTHCARE AND REHABILITATION CENTER,16511,3805 FIELD STREET,395489,CORRY MANOR,16407,640 WORTH STREET,Erie,30.92
10,395041,TWINBROOK HEALTHCARE AND REHABILITATION CENTER,16511,3805 FIELD STREET,395572,FAIRVIEW MANOR,16415,900 MANCHESTER ROAD,Erie,13.39
11,395041,TWINBROOK HEALTHCARE AND REHABILITATION CENTER,16511,3805 FIELD STREET,395645,EDINBORO MANOR,16412,419 WATERFORD STREET,Erie,30.35
12,395041,TWINBROOK HEALTHCARE AND REHABILITATION CENTER,16511,3805 FIELD STREET,395672,"VILLAGE AT LUTHER SQUARE, THE",16502,149 WEST 22ND STREET,Erie,5.69
13,395041,TWINBROOK HEALTHCARE AND REHABILITATION CENTER,16511,3805 FIELD STREET,395907,FORESTVIEW,16509,2301 EDINBORO ROAD,Erie,11.91
14,395041,TWINBROOK HEALTHCARE AND REHABILITATION CENTER,16511,3805 FIELD STREET,395996,MANCHESTER COMMONS OF PRESBYTERIAN SENIORCARE,16505,6351 WEST LAKE ROAD,Erie,13.0
15,395041,TWINBROOK HEALTHCARE AND REHABILITATION CENTER,16511,3805 FIELD STREET,396072,MILLCREEK MANOR,16509,5535 PEACH STREET,Erie,8.98
16,395041,TWINBROOK HEALTHCARE AND REHABILITATION CENTER,16511,3805 FIELD STREET,396081,SAINT MARY'S AT ASBURY RIDGE,16506,4855 WEST RIDGE ROAD,Erie,12.24
17,395041,TWINBROOK HEALTHCARE AND REHABILITATION CENTER,16511,3805 FIELD STREET,39A434,PENNSYLVANIA SOLDIERS AND SAILORS HOME,16512,PO BOX 6239,Erie,5.03
18,395042,SAINT MARY'S EAST,16504,607 EAST 26TH STREET,395174,ABINGTON CREST HEALTHCAREANDREHABILITATION CENTER,16509,1267 SOUTH HILL ROAD,Erie,4.84
19,395042,SAINT MARY'S EAST,16504,607 EAST 26TH STREET,395200,WALNUT CREEK HEALTHCARE AND REHABILITATION CENTER,16506,4850 ZUCK ROAD,Erie,4.87
20,395042,SAINT MARY'S EAST,16504,607 EAST 26TH STREET,395206,SARAH REED SENIOR LIVING,16502,227 WEST 22ND STREET,Erie,1.34
21,395042,SAINT MARY'S EAST,16504,607 EAST 26TH STREET,395262,WESTERN RESERVE HEALTHCAREANDREHABILITATION CENTER,16509,1521 WEST 54TH STREET,Erie,3.75
22,395042,SAINT MARY'S EAST,16504,607 EAST 26TH STREET,395361,PLEASANT RIDGE MANOR EAST/WEST,16417,8300 WEST RIDGE ROAD,Erie,13.14
23,395042,SAINT MARY'S EAST,16504,607 EAST 26TH STREET,395401,"BALL PAVILION, THE",16511,5416 EAST LAKE ROAD,Erie,6.24
24,395042,SAINT MARY'S EAST,16504,607 EAST 26TH STREET,395404,"LECOM AT PRESQUE ISLE, INC",16508,4114 SCHAPER AVENUE,Erie,3.99
25,395042,SAINT MARY'S EAST,16504,607 EAST 26TH STREET,395474,ELMWOOD GARDENS OF PRESBYERIAN SENIORCARE,16508,2628 ELMWOOD AVENUE,Erie,2.4
26,395042,SAINT MARY'S EAST,16504,607 EAST 26TH STREET,395489,CORRY MANOR,16407,640 WORTH STREET,Erie,30.26
27,395042,SAINT MARY'S EAST,16504,607 EAST 26TH STREET,395572,FAIRVIEW MANOR,16415,900 MANCHESTER ROAD,Erie,10.28
28,395042,SAINT MARY'S EAST,16504,607 EAST 26TH STREET,395645,EDINBORO MANOR,16412,419 WATERFORD STREET,Erie,19.51
29,395042,SAINT MARY'S EAST,16504,607 EAST 26TH STREET,395672,"VILLAGE AT LUTHER SQUARE, THE",16502,149 WEST 22ND STREET,Erie,1.26
30,395042,SAINT MARY'S EAST,16504,607 EAST 26TH STREET,395907,FORESTVIEW,16509,2301 EDINBORO ROAD,Erie,5.49
31,395042,SAINT MARY'S EAST,16504,607 EAST 26TH STREET,395996,MANCHESTER COMMONS OF PRESBYTERIAN SENIORCARE,16505,6351 WEST LAKE ROAD,Erie,9.89
32,395042,SAINT MARY'S EAST,16504,607 EAST 26TH STREET,396072,MILLCREEK MANOR,16509,5535 PEACH STREET,Erie,3.79
33,395042,SAINT MARY'S EAST,16504,607 EAST 26TH STREET,396081,SAINT MARY'S AT ASBURY RIDGE,16506,4855 WEST RIDGE ROAD,Erie,7.44
34,395042,SAINT MARY'S EAST,16504,607 EAST 26TH STREET,39A434,PENNSYLVANIA SOLDIERS AND SAILORS HOME,16512,PO BOX 6239,Erie,1.78
35,395174,ABINGTON CREST HEALTHCAREANDREHABILITATION CENTER,16509,1267 SOUTH HILL ROAD,395200,WALNUT CREEK HEALTHCARE AND REHABILITATION CENTER,16506,4850 ZUCK ROAD,Erie,2.8
36,395174,ABINGTON CREST HEALTHCAREANDREHABILITATION CENTER,16509,1267 SOUTH HILL ROAD,395206,SARAH REED SENIOR LIVING,16502,227 WEST 22ND STREET,Erie,4.03
37,395174,ABINGTON CREST HEALTHCAREANDREHABILITATION CENTER,16509,1267 SOUTH HILL ROAD,395262,WESTERN RESERVE HEALTHCAREANDREHABILITATION CENTER,16509,1521 WEST 54TH STREET,Erie,1.23
38,395174,ABINGTON CREST HEALTHCAREANDREHABILITATION CENTER,16509,1267 SOUTH HILL ROAD,395361,PLEASANT RIDGE MANOR EAST/WEST,16417,8300 WEST RIDGE ROAD,Erie,13.86
39,395174,ABINGTON CREST HEALTHCAREANDREHABILITATION CENTER,16509,1267 SOUTH HILL ROAD,395401,"BALL PAVILION, THE",16511,5416 EAST LAKE ROAD,Erie,13.5
40,395174,ABINGTON CREST HEALTHCAREANDREHABILITATION CENTER,16509,1267 SOUTH HILL ROAD,395404,"LECOM AT PRESQUE ISLE, INC",16508,4114 SCHAPER AVENUE,Erie,3.39
41,395174,ABINGTON CREST HEALTHCAREANDREHABILITATION CENTER,16509,1267 SOUTH HILL ROAD,395474,ELMWOOD GARDENS OF PRESBYERIAN SENIORCARE,16508,2628 ELMWOOD AVENUE,Erie,3.22
42,395174,ABINGTON CREST HEALTHCAREANDREHABILITATION CENTER,16509,1267 SOUTH HILL ROAD,395489,CORRY MANOR,16407,640 WORTH STREET,Erie,31.22
43,395174,ABINGTON CREST HEALTHCAREANDREHABILITATION CENTER,16509,1267 SOUTH HILL ROAD,395572,FAIRVIEW MANOR,16415,900 MANCHESTER ROAD,Erie,10.64
44,395174,ABINGTON CREST HEALTHCAREANDREHABILITATION CENTER,16509,1267 SOUTH HILL ROAD,395645,EDINBORO MANOR,16412,419 WATERFORD STREET,Erie,16.4
45,395174,ABINGTON CREST HEALTHCAREANDREHABILITATION CENTER,16509,1267 SOUTH HILL ROAD,395672,"VILLAGE AT LUTHER SQUARE, THE",16502,149 WEST 22ND STREET,Erie,4.17
46,395174,ABINGTON CREST HEALTHCAREANDREHABILITATION CENTER,16509,1267 SOUTH HILL ROAD,395907,FORESTVIEW,16509,2301 EDINBORO ROAD,Erie,2.38
47,395174,ABINGTON CREST HEALTHCAREANDREHABILITATION CENTER,16509,1267 SOUTH HILL ROAD,395996,MANCHESTER COMMONS OF PRESBYTERIAN SENIORCARE,16505,6351 WEST LAKE ROAD,Erie,10.25
48,395174,ABINGTON CREST HEALTHCAREANDREHABILITATION CENTER,16509,1267 SOUTH HILL ROAD,396072,MILLCREEK MANOR,16509,5535 PEACH STREET,Erie,1.37
49,395174,ABINGTON CREST HEALTHCAREANDREHABILITATION CENTER,16509,1267 SOUTH HILL ROAD,396081,SAINT MARY'S AT ASBURY RIDGE,16506,4855 WEST RIDGE ROAD,Erie,7.79
50,395174,ABINGTON CREST HEALTHCAREANDREHABILITATION CENTER,16509,1267 SOUTH HILL ROAD,39A434,PENNSYLVANIA SOLDIERS AND SAILORS HOME,16512,PO BOX 6239,Erie,4.69
51,395200,WALNUT CREEK HEALTHCARE AND REHABILITATION CENTER,16506,4850 ZUCK ROAD,395206,SARAH REED SENIOR LIVING,16502,227 WEST 22ND STREET,Erie,4.22
52,395200,WALNUT CREEK HEALTHCARE AND REHABILITATION CENTER,16506,4850 ZUCK ROAD,395262,WESTERN RESERVE HEALTHCAREANDREHABILITATION CENTER,16509,1521 WEST 54TH STREET,Erie,2.28
53,395200,WALNUT CREEK HEALTHCARE AND REHABILITATION CENTER,16506,4850 ZUCK ROAD,395361,PLEASANT RIDGE MANOR EAST/WEST,16417,8300 WEST RIDGE ROAD,Erie,10.11
54,395200,WALNUT CREEK HEALTHCARE AND REHABILITATION CENTER,16506,4850 ZUCK ROAD,395401,"BALL PAVILION, THE",16511,5416 EAST LAKE ROAD,Erie,11.95
55,395200,WALNUT CREEK HEALTHCARE AND REHABILITATION CENTER,16506,4850 ZUCK ROAD,395404,"LECOM AT PRESQUE ISLE, INC",16508,4114 SCHAPER AVENUE,Erie,1.55
56,395200,WALNUT CREEK HEALTHCARE AND REHABILITATION CENTER,16506,4850 ZUCK ROAD,395474,ELMWOOD GARDENS OF PRESBYERIAN SENIORCARE,16508,2628 ELMWOOD AVENUE,Erie,3.34
57,395200,WALNUT CREEK HEALTHCARE AND REHABILITATION CENTER,16506,4850 ZUCK ROAD,395489,CORRY MANOR,16407,640 WORTH STREET,Erie,38.09
58,395200,WALNUT CREEK HEALTHCARE AND REHABILITATION CENTER,16506,4850 ZUCK ROAD,395572,FAIRVIEW MANOR,16415,900 MANCHESTER ROAD,Erie,7.27
