,origin_id,origin_name,origin_zip,origin,destination_id,destination_name,destination_zip,destination,County,DISTANCE
0,395180,CORNWALL MANOR,17016,BOYD STREET,395343,STONERIDGE TOWNE CENTRE,17067,7 WEST PARK AVENUE,Lebanon,12.16
1,395180,CORNWALL MANOR,17016,BOYD STREET,395365,SPANG CREST MANOR,17042,945 DUKE STREET,Lebanon,4.38
2,395180,CORNWALL MANOR,17016,BOYD STREET,395437,LEBANON VALLEY BRETHREN HOME,17078,1200 GRUBB STREET,Lebanon,10.97
3,395180,CORNWALL MANOR,17016,BOYD STREET,395472,MANORCARE HEALTH SERVICES-LEBANON,17042,900 TUCK STREET,Lebanon,3.98
4,395180,CORNWALL MANOR,17016,BOYD STREET,395506,KADIMA REHABILITATION & NURSING AT PALMYRA,17078,341 NORTH RAILROAD ST,Lebanon,12.01
5,395180,CORNWALL MANOR,17016,BOYD STREET,395681,COUNTRYSIDE CHRISTIAN COMMUNITY,17003,200 BELLANN COURT,Lebanon,9.75
6,395180,CORNWALL MANOR,17016,BOYD STREET,395770,CEDAR HAVEN HEALTHCARE CENTER,17042,590 SOUTH FIFTH AVENUE,Lebanon,7.65
7,395180,CORNWALL MANOR,17016,BOYD STREET,395832,LEBANON VALLEY HOME THE,17003,550 EAST MAIN STREET,Lebanon,8.49
8,395180,CORNWALL MANOR,17016,BOYD STREET,395846,KADIMA REHABILITATION & NURSING AT CAMPBELLTOWN,17078,2880 HORSESHOE PIKE  PO BOX 137,Lebanon,9.87
9,395180,CORNWALL MANOR,17016,BOYD STREET,395927,STONERIDGE POPLAR RUN,17067,450 EAST LINCOLN AVENUE,Lebanon,13.0
10,395343,STONERIDGE TOWNE CENTRE,17067,7 WEST PARK AVENUE,395365,SPANG CREST MANOR,17042,945 DUKE STREET,Lebanon,8.54
11,395343,STONERIDGE TOWNE CENTRE,17067,7 WEST PARK AVENUE,395437,LEBANON VALLEY BRETHREN HOME,17078,1200 GRUBB STREET,Lebanon,21.97
12,395343,STONERIDGE TOWNE CENTRE,17067,7 WEST PARK AVENUE,395472,MANORCARE HEALTH SERVICES-LEBANON,17042,900 TUCK STREET,Lebanon,8.61
13,395343,STONERIDGE TOWNE CENTRE,17067,7 WEST PARK AVENUE,395506,KADIMA REHABILITATION & NURSING AT PALMYRA,17078,341 NORTH RAILROAD ST,Lebanon,16.93
14,395343,STONERIDGE TOWNE CENTRE,17067,7 WEST PARK AVENUE,395681,COUNTRYSIDE CHRISTIAN COMMUNITY,17003,200 BELLANN COURT,Lebanon,13.54
15,395343,STONERIDGE TOWNE CENTRE,17067,7 WEST PARK AVENUE,395770,CEDAR HAVEN HEALTHCARE CENTER,17042,590 SOUTH FIFTH AVENUE,Lebanon,5.32
16,395343,STONERIDGE TOWNE CENTRE,17067,7 WEST PARK AVENUE,395832,LEBANON VALLEY HOME THE,17003,550 EAST MAIN STREET,Lebanon,11.62
17,395343,STONERIDGE TOWNE CENTRE,17067,7 WEST PARK AVENUE,395846,KADIMA REHABILITATION & NURSING AT CAMPBELLTOWN,17078,2880 HORSESHOE PIKE  PO BOX 137,Lebanon,20.87
18,395343,STONERIDGE TOWNE CENTRE,17067,7 WEST PARK AVENUE,395927,STONERIDGE POPLAR RUN,17067,450 EAST LINCOLN AVENUE,Lebanon,0.83
19,395365,SPANG CREST MANOR,17042,945 DUKE STREET,395437,LEBANON VALLEY BRETHREN HOME,17078,1200 GRUBB STREET,Lebanon,11.45
20,395365,SPANG CREST MANOR,17042,945 DUKE STREET,395472,MANORCARE HEALTH SERVICES-LEBANON,17042,900 TUCK STREET,Lebanon,0.69
21,395365,SPANG CREST MANOR,17042,945 DUKE STREET,395506,KADIMA REHABILITATION & NURSING AT PALMYRA,17078,341 NORTH RAILROAD ST,Lebanon,12.49
22,395365,SPANG CREST MANOR,17042,945 DUKE STREET,395681,COUNTRYSIDE CHRISTIAN COMMUNITY,17003,200 BELLANN COURT,Lebanon,7.17
23,395365,SPANG CREST MANOR,17042,945 DUKE STREET,395770,CEDAR HAVEN HEALTHCARE CENTER,17042,590 SOUTH FIFTH AVENUE,Lebanon,3.46
24,395365,SPANG CREST MANOR,17042,945 DUKE STREET,395832,LEBANON VALLEY HOME THE,17003,550 EAST MAIN STREET,Lebanon,5.4
25,395365,SPANG CREST MANOR,17042,945 DUKE STREET,395846,KADIMA REHABILITATION & NURSING AT CAMPBELLTOWN,17078,2880 HORSESHOE PIKE  PO BOX 137,Lebanon,10.35
26,395365,SPANG CREST MANOR,17042,945 DUKE STREET,395927,STONERIDGE POPLAR RUN,17067,450 EAST LINCOLN AVENUE,Lebanon,8.8
27,395437,LEBANON VALLEY BRETHREN HOME,17078,1200 GRUBB STREET,395472,MANORCARE HEALTH SERVICES-LEBANON,17042,900 TUCK STREET,Lebanon,11.37
28,395437,LEBANON VALLEY BRETHREN HOME,17078,1200 GRUBB STREET,395506,KADIMA REHABILITATION & NURSING AT PALMYRA,17078,341 NORTH RAILROAD ST,Lebanon,1.92
29,395437,LEBANON VALLEY BRETHREN HOME,17078,1200 GRUBB STREET,395681,COUNTRYSIDE CHRISTIAN COMMUNITY,17003,200 BELLANN COURT,Lebanon,5.93
30,395437,LEBANON VALLEY BRETHREN HOME,17078,1200 GRUBB STREET,395770,CEDAR HAVEN HEALTHCARE CENTER,17042,590 SOUTH FIFTH AVENUE,Lebanon,14.13
31,395437,LEBANON VALLEY BRETHREN HOME,17078,1200 GRUBB STREET,395832,LEBANON VALLEY HOME THE,17003,550 EAST MAIN STREET,Lebanon,5.3
