,origin_id,origin_name,origin_zip,origin,destination_id,destination_name,destination_zip,destination,County,DISTANCE
0,395018,GOOD SHEPHERD HOME RAKER CENTER,18103,601 ST JOHN STREET,395080,PHOEBE ALLENTOWN HEALTH CARE CENTER,18104,1925 TURNER STREET,Lehigh,2.81
1,395018,GOOD SHEPHERD HOME RAKER CENTER,18103,601 ST JOHN STREET,395105,MOSSER NURSING HOME,18087,1175 MOSSER ROAD,Lehigh,11.23
2,395018,GOOD SHEPHERD HOME RAKER CENTER,18103,601 ST JOHN STREET,395167,VALLEY MANOR REHABILITATION AND HEALTHCARE CENTER,18036,7650 ROUTE 309,Lehigh,8.28
3,395018,GOOD SHEPHERD HOME RAKER CENTER,18103,601 ST JOHN STREET,395171,WESTMINSTER VILLAGE,18103,803 NORTH WAHNETA ST,Lehigh,4.09
4,395018,GOOD SHEPHERD HOME RAKER CENTER,18103,601 ST JOHN STREET,395264,MANORCARE HEALTH SERVICES-WEST ALLEN,18104,535 NORTH 17TH STREET,Lehigh,2.51
5,395018,GOOD SHEPHERD HOME RAKER CENTER,18103,601 ST JOHN STREET,395429,MANORCARE HEALTH SERVICES-BETHLEHEM (2021),18017,2021 WESTGATE DRIVE,Lehigh,5.96
6,395018,GOOD SHEPHERD HOME RAKER CENTER,18103,601 ST JOHN STREET,395465,CEDARBROOK SENIOR CARE AND REHABILITATION,18104,350 S. CEDARBROOK ROAD,Lehigh,6.05
7,395018,GOOD SHEPHERD HOME RAKER CENTER,18103,601 ST JOHN STREET,395527,MANORCARE HEALTH SERVICES-BETHLEHEM (2029),18017,2029 WESTGATE DRIVE,Lehigh,5.96
8,395018,GOOD SHEPHERD HOME RAKER CENTER,18103,601 ST JOHN STREET,395591,LUTHER CREST NURSING FACILITY,18104,800 HAUSMAN ROAD,Lehigh,7.84
9,395018,GOOD SHEPHERD HOME RAKER CENTER,18103,601 ST JOHN STREET,395760,MANORCARE HEALTH SERVICES-ALLENTOWN,18103,1265 SOUTH CEDAR CREST BLVD,Lehigh,5.18
10,395018,GOOD SHEPHERD HOME RAKER CENTER,18103,601 ST JOHN STREET,395763,FELLOWSHIP MANOR,18052,3000 FELLOWSHIP DRIVE,Lehigh,5.33
11,395018,GOOD SHEPHERD HOME RAKER CENTER,18103,601 ST JOHN STREET,395926,SACRED HEART HOSPITAL TCF,18102,421 CHEW STREET,Lehigh,1.68
