,origin_id,origin_name,origin_zip,origin,destination_id,destination_name,destination_zip,destination,County,DISTANCE
0,395045,"MOUNTAIN VIEW, A NURSING AND REHABILITATION CENTE",17866,2050 TREVORTON ROAD,395317,SUNBURY COMMUNITY HEALTH AND REHABILITATION CENTER,17801,350 NORTH ELEVENTH ST,Northumberlnd,14.71
1,395045,"MOUNTAIN VIEW, A NURSING AND REHABILITATION CENTE",17866,2050 TREVORTON ROAD,395390,NOTTINGHAM VILLAGE,17857,58 NEITZ ROAD,Northumberlnd,19.44
2,395045,"MOUNTAIN VIEW, A NURSING AND REHABILITATION CENTE",17866,2050 TREVORTON ROAD,395482,NURSING AND REHABILITATION AT THE MANSION,17801,1040-52 MARKET STREET,Northumberlnd,14.71
3,395045,"MOUNTAIN VIEW, A NURSING AND REHABILITATION CENTE",17866,2050 TREVORTON ROAD,395512,MANORCARE HEALTH SERVICES-SUNBURY,17801,901 COURT STREET,Northumberlnd,14.85
4,395045,"MOUNTAIN VIEW, A NURSING AND REHABILITATION CENTE",17866,2050 TREVORTON ROAD,395570,MILTON REHABILITATION AND NURSING CENTER,17847,743 MAHONING STREET,Northumberlnd,30.48
5,395045,"MOUNTAIN VIEW, A NURSING AND REHABILITATION CENTE",17866,2050 TREVORTON ROAD,395589,MOUNT CARMEL NURSING AND REHAB,17851,2616 LOCUST GAP HIGHWAY,Northumberlnd,10.3
6,395045,"MOUNTAIN VIEW, A NURSING AND REHABILITATION CENTE",17866,2050 TREVORTON ROAD,395825,WATSONTOWN REHABILITATION AND NURSING CENTER,17777,245 EAST EIGHTH STREET,Northumberlnd,37.3
7,395317,SUNBURY COMMUNITY HEALTH AND REHABILITATION CENTER,17801,350 NORTH ELEVENTH ST,395390,NOTTINGHAM VILLAGE,17857,58 NEITZ ROAD,Northumberlnd,4.68
8,395317,SUNBURY COMMUNITY HEALTH AND REHABILITATION CENTER,17801,350 NORTH ELEVENTH ST,395482,NURSING AND REHABILITATION AT THE MANSION,17801,1040-52 MARKET STREET,Northumberlnd,0.42
9,395317,SUNBURY COMMUNITY HEALTH AND REHABILITATION CENTER,17801,350 NORTH ELEVENTH ST,395512,MANORCARE HEALTH SERVICES-SUNBURY,17801,901 COURT STREET,Northumberlnd,0.56
10,395317,SUNBURY COMMUNITY HEALTH AND REHABILITATION CENTER,17801,350 NORTH ELEVENTH ST,395570,MILTON REHABILITATION AND NURSING CENTER,17847,743 MAHONING STREET,Northumberlnd,13.44
11,395317,SUNBURY COMMUNITY HEALTH AND REHABILITATION CENTER,17801,350 NORTH ELEVENTH ST,395589,MOUNT CARMEL NURSING AND REHAB,17851,2616 LOCUST GAP HIGHWAY,Northumberlnd,22.49
