,origin_id,origin_name,origin_zip,origin,destination_id,destination_name,destination_zip,destination,County,DISTANCE
0,395252,"GARDENS AT YORK TERRACE, THE",17901,2401 WEST MARKET STREET,395286,BROAD MOUNTAIN HEALTH AND REHABILITATION CENTER,17931,500 WEST LAUREL STREET,Schuylkill,11.38
1,395252,"GARDENS AT YORK TERRACE, THE",17901,2401 WEST MARKET STREET,395316,ST LUKE'S REHABILITATION AND NURSING CENTER,18218,360 WEST RUDDLE STREET,Schuylkill,21.3
2,395252,"GARDENS AT YORK TERRACE, THE",17901,2401 WEST MARKET STREET,395344,MANORCARE HEALTH SERVICES-POTTSVILLE,17901,420 PULASKI DRIVE,Schuylkill,2.55
3,395252,"GARDENS AT YORK TERRACE, THE",17901,2401 WEST MARKET STREET,395416,ROSEWOOD REHABILITATION & NURSING CENTER,17972,401 UNIVERSITY DRIVE,Schuylkill,6.28
4,395252,"GARDENS AT YORK TERRACE, THE",17901,2401 WEST MARKET STREET,395499,TREMONT HEALTH & REHABILITATION CENTER,17981,44 DONALDSON ROAD,Schuylkill,10.59
5,395252,"GARDENS AT YORK TERRACE, THE",17901,2401 WEST MARKET STREET,395556,SHENANDOAH MANOR NURSING CENTE,17976,101 E. WASHINGTON ST,Schuylkill,15.31
6,395252,"GARDENS AT YORK TERRACE, THE",17901,2401 WEST MARKET STREET,395831,SCHUYLKILL CENTER,17901,1000 SCHUYLKILL MANOR RD,Schuylkill,3.14
7,395252,"GARDENS AT YORK TERRACE, THE",17901,2401 WEST MARKET STREET,395875,HOMETOWN NURSING AND REHAB CEN,18252,149 LAFAYETTE AVENUE,Schuylkill,25.09
8,395252,"GARDENS AT YORK TERRACE, THE",17901,2401 WEST MARKET STREET,395878,ORWIGSBURG NURSING AND REHABILITATION  CENTER,17961,1000 ORWIGSBURG MANOR DR,Schuylkill,10.23
9,395252,"GARDENS AT YORK TERRACE, THE",17901,2401 WEST MARKET STREET,395929,RIDGEVIEW HEALTHCARE & REHAB CENTER,17976,200 PENNSYLVANIA AVENUE,Schuylkill,16.01
10,395252,"GARDENS AT YORK TERRACE, THE",17901,2401 WEST MARKET STREET,396063,SETON MANOR NURSING AND REHABILITATION CENTER,17961,1000 SETON DRIVE,Schuylkill,8.76
