,origin_id,origin_name,origin_zip,origin,destination_id,destination_name,destination_zip,destination,County,DISTANCE
0,395502,OAKWOOD HEIGHTS OF PRESBYTERIAN SENIORCARE,16301,10 VO TECH DRIVE,395594,OIL CITY HEALTHCARE AND REHABILITATION CENTER,16301,1293 GRANDVIEW ROAD,Venango,3.12
1,395502,OAKWOOD HEIGHTS OF PRESBYTERIAN SENIORCARE,16301,10 VO TECH DRIVE,395777,SUGAR CREEK STATION SKILLED NURSING AND REHABILITA,16323,351 CAUSEWAY DRIVE,Venango,14.14
2,395502,OAKWOOD HEIGHTS OF PRESBYTERIAN SENIORCARE,16301,10 VO TECH DRIVE,395959,"CARING PLACE, THE",16323,103 N. THIRTEENTH STREET,Venango,10.46
3,395502,OAKWOOD HEIGHTS OF PRESBYTERIAN SENIORCARE,16301,10 VO TECH DRIVE,395966,UPMC NORTHWEST TRANSITIONAL CARE UNIT,16346,100 FAIRFIELD DRIVE,Venango,7.61
4,395594,OIL CITY HEALTHCARE AND REHABILITATION CENTER,16301,1293 GRANDVIEW ROAD,395777,SUGAR CREEK STATION SKILLED NURSING AND REHABILITA,16323,351 CAUSEWAY DRIVE,Venango,15.95
5,395594,OIL CITY HEALTHCARE AND REHABILITATION CENTER,16301,1293 GRANDVIEW ROAD,395959,"CARING PLACE, THE",16323,103 N. THIRTEENTH STREET,Venango,12.27
6,395594,OIL CITY HEALTHCARE AND REHABILITATION CENTER,16301,1293 GRANDVIEW ROAD,395966,UPMC NORTHWEST TRANSITIONAL CARE UNIT,16346,100 FAIRFIELD DRIVE,Venango,9.42
7,395777,SUGAR CREEK STATION SKILLED NURSING AND REHABILITA,16323,351 CAUSEWAY DRIVE,395959,"CARING PLACE, THE",16323,103 N. THIRTEENTH STREET,Venango,4.15
8,395777,SUGAR CREEK STATION SKILLED NURSING AND REHABILITA,16323,351 CAUSEWAY DRIVE,395966,UPMC NORTHWEST TRANSITIONAL CARE UNIT,16346,100 FAIRFIELD DRIVE,Venango,13.17
9,395959,"CARING PLACE, THE",16323,103 N. THIRTEENTH STREET,395966,UPMC NORTHWEST TRANSITIONAL CARE UNIT,16346,100 FAIRFIELD DRIVE,Venango,9.13
