,origin_id,origin_name,origin_zip,origin,destination_id,destination_name,destination_zip,destination,County,DISTANCE
0,395032,MCMURRAY HILLS MANOR,15317,249 WEST MCMURRAY ROAD,395289,SOUTH HILLS REHABILITATION AND WELLNESS CENTER,15317,201 VILLAGE DRIVE,Washington,2.48
1,395032,MCMURRAY HILLS MANOR,15317,249 WEST MCMURRAY ROAD,395577,PREMIER WASHINGTON REHABILITATION AND NURSING CTR,15301,36 OLD HICKORY RIDGE RD,Washington,10.01
2,395032,MCMURRAY HILLS MANOR,15317,249 WEST MCMURRAY ROAD,395633,HAVENCREST HEALTHCARE AND REHABILITATION CENTER,15063,1277 COUNTRY CLUB ROAD,Washington,20.53
3,395032,MCMURRAY HILLS MANOR,15317,249 WEST MCMURRAY ROAD,395671,SOUTHMONT OF PRESBYTERIAN SENIORCARE,15301,835 SOUTH MAIN STREET,Washington,13.57
4,395032,MCMURRAY HILLS MANOR,15317,249 WEST MCMURRAY ROAD,395679,"GROVE AT WASHINGTON, THE",15301,1198 W. WYLIE AVENUE,Washington,12.1
5,395032,MCMURRAY HILLS MANOR,15317,249 WEST MCMURRAY ROAD,395692,TRANSITIONS HEALTHCARE WASHINGTON PA,15301,90 HUMBERT LANE,Washington,10.15
6,395032,MCMURRAY HILLS MANOR,15317,249 WEST MCMURRAY ROAD,395695,GREENERY CENTER FOR REHAB AND NURSING,15317,2200 HILL CHURCH-HOUSTON ROAD,Washington,4.98
7,395032,MCMURRAY HILLS MANOR,15317,249 WEST MCMURRAY ROAD,395783,MANORCARE HEALTH SERVICES-PETERS TOWNSHIP,15317,113 WEST MCMURRAY ROAD,Washington,0.31
8,395032,MCMURRAY HILLS MANOR,15317,249 WEST MCMURRAY ROAD,395823,TOWNVIEW HEALTH AND REHABILITATION CENTER,15317,300 BARR STREET,Washington,4.12
9,395032,MCMURRAY HILLS MANOR,15317,249 WEST MCMURRAY ROAD,396073,"NORTH STRABANE REHABILITATION AND WELLNESS CTR, LL",15317,100 TANDEM VILLAGE ROAD,Washington,2.15
10,395032,MCMURRAY HILLS MANOR,15317,249 WEST MCMURRAY ROAD,396085,MON VALLEY CARE CENTER,15063,200 STOOPS DRIVE,Washington,19.78
