Contract ID,Plan ID,Organization Type,Plan Type,Offers Part D,SNP Plan,EGHP,Organization Name,Organization Marketing Name,Plan Name,Parent Organization,Contract Effective Date
90091,,HCPP - 1833 Cost,HCPP - 1833 Cost,No,No,No,UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT,United Mine Workers of America Health & Retirement,,UMWA Health and Retirement Funds,2/1/1974 0:00
E0654,801,Employer/Union Only Direct Contract PDP,Employer/Union Only Direct Contract PDP,Yes,No,Yes,IBT VOLUNTARY EMPLOYEE BENEFITS TRUST,TEAMStar Medicare Part D Prescription Drug Program,IBT Voluntary Employee Benefits Trust (Employer PDP),IBT Voluntary Employee Benefits Trust,1/1/2007 0:00
E3014,801,Employer/Union Only Direct Contract PDP,Employer/Union Only Direct Contract PDP,Yes,No,Yes,PSERS HOP PROGRAM,Pennsylvania Public School Employees Retirement Sy,PSERS Health Options Program (Employer PDP),Commonwealth of PA Pub Schools Retirement System,1/1/2007 0:00
E4744,801,Employer/Union Only Direct Contract PDP,Employer/Union Only Direct Contract PDP,Yes,No,Yes,MODOT/MSHP MEDICAL AND LIFE INSURANCE PLAN,MISSOURI DEPARTMENT OF TRANSPORTATION,Missouri Department of Transportatio/ Highway Patr (Employer PDP),Missouri Highways and Transportation Commission,1/1/2007 0:00
H0022,1,Demo,Medicare-Medicaid Plan HMO/HMOPOS,Yes,No,No,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Buckeye Health Plan - MyCare Ohio,Buckeye Health Plan - MyCare Ohio (Medicare-Medicaid Plan),Centene Corporation,5/1/2014 0:00
H0028,4,Local CCP,HMO/HMOPOS,Yes,No,No,"CHA HMO, INC.",Humana,Humana Gold Plus H0028-004 (HMO),Humana Inc.,1/1/2013 0:00
H0028,7,Local CCP,HMO/HMOPOS,Yes,Yes,No,"CHA HMO, INC.",Humana,Humana Gold Plus SNP-DE H0028-007 (HMO SNP),Humana Inc.,1/1/2013 0:00
H0028,8,Local CCP,HMO/HMOPOS,Yes,No,No,"CHA HMO, INC.",Humana,Humana Gold Plus H0028-008 (HMO),Humana Inc.,1/1/2013 0:00
H0028,9,Local CCP,HMO/HMOPOS,Yes,No,No,"CHA HMO, INC.",Humana,Humana Value Plus H0028-009 (HMO),Humana Inc.,1/1/2013 0:00
H0028,801,Local CCP,HMO/HMOPOS,Yes,No,Yes,"CHA HMO, INC.",Humana,Humana Medicare Employer (HMO),Humana Inc.,1/1/2013 0:00
H0028,802,Local CCP,HMO/HMOPOS,No,No,Yes,"CHA HMO, INC.",Humana,Humana Medicare Employer (HMO),Humana Inc.,1/1/2013 0:00
H0029,1,Local CCP,HMO/HMOPOS,Yes,No,No,"COORDINATED CARE OF WASHINGTON, INC.",Allwell,Allwell Medicare (HMO),Centene Corporation,1/1/2018 0:00
H0029,4,Local CCP,HMO/HMOPOS,Yes,No,No,"COORDINATED CARE OF WASHINGTON, INC.",Allwell,Allwell Medicare (HMO),Centene Corporation,1/1/2018 0:00
H0029,6,Local CCP,HMO/HMOPOS,Yes,No,No,"COORDINATED CARE OF WASHINGTON, INC.",Allwell,Allwell Medicare Plus (HMO),Centene Corporation,1/1/2018 0:00
H0062,1,Local CCP,HMO/HMOPOS,Yes,No,No,"SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC.",Allwell,Allwell Medicare (HMO),Centene Corporation,1/1/2017 0:00
H0062,2,Local CCP,HMO/HMOPOS,Yes,No,No,"SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC.",Allwell,Allwell Medicare (HMO),Centene Corporation,1/1/2017 0:00
H0062,3,Local CCP,HMO/HMOPOS,Yes,No,No,"SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC.",Allwell,Allwell Medicare (HMO),Centene Corporation,1/1/2017 0:00
H0062,4,Local CCP,HMO/HMOPOS,Yes,No,No,"SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC.",Allwell,Allwell Medicare (HMO),Centene Corporation,1/1/2017 0:00
H0062,5,Local CCP,HMO/HMOPOS,Yes,No,No,"SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC.",Allwell,Allwell Medicare (HMO),Centene Corporation,1/1/2017 0:00
H0088,1,Local CCP,Local PPO,Yes,No,No,"WELLCARE HEALTH INSURANCE OF NEW YORK, INC.",WellCare,WellCare Premier (PPO),"WellCare Health Plans, Inc.",1/1/2018 0:00
H0104,12,Local CCP,Local PPO,Yes,No,No,BLUE CROSS AND BLUE SHIELD OF ALABAMA,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),BlueCross BlueShield of Alabama,7/1/2005 0:00
H0104,14,Local CCP,Local PPO,Yes,No,No,BLUE CROSS AND BLUE SHIELD OF ALABAMA,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),BlueCross BlueShield of Alabama,7/1/2005 0:00
H0104,15,Local CCP,Local PPO,Yes,No,No,BLUE CROSS AND BLUE SHIELD OF ALABAMA,Blue Cross and Blue Shield of Alabama,Blue Advantage Premier (PPO),BlueCross BlueShield of Alabama,7/1/2005 0:00
H0104,801,Local CCP,Local PPO,No,No,Yes,BLUE CROSS AND BLUE SHIELD OF ALABAMA,Blue Cross and Blue Shield of Alabama,Blue Advantage Employer Group Plan 801 (PPO),BlueCross BlueShield of Alabama,7/1/2005 0:00
H0104,802,Local CCP,Local PPO,Yes,No,Yes,BLUE CROSS AND BLUE SHIELD OF ALABAMA,Blue Cross and Blue Shield of Alabama,Blue Advantage Employer Group Plan 802 (PPO),BlueCross BlueShield of Alabama,7/1/2005 0:00
H0104,804,Local CCP,Local PPO,Yes,No,Yes,BLUE CROSS AND BLUE SHIELD OF ALABAMA,Blue Cross and Blue Shield of Alabama,Blue Advantage Employer Group Plan 804 (PPO),BlueCross BlueShield of Alabama,7/1/2005 0:00
H0105,1,National PACE,National PACE,Yes,No,No,THE METHODIST OAKS,The Methodist Oaks d.b.a. The Oaks PACE,The Methodist Oaks d.b.a. The Oaks PACE (PACE),The Methodist Oaks,3/1/2008 0:00
H0105,2,National PACE,National PACE,Yes,No,No,THE METHODIST OAKS,The Methodist Oaks d.b.a. The Oaks PACE,The Methodist Oaks d.b.a. The Oaks PACE (PACE),The Methodist Oaks,3/1/2008 0:00
