,origin_id,origin_name,origin_zip,origin,destination_id,destination_name,destination_zip,destination,County,DISTANCE
0,395108,"CROSS KEYS VILLAGE-BRETHREN HOME COMMUNITY, THE",17350,"BOX 128, 2990 CARLISLE PK",395247,"GARDENS AT GETTYSBURG, THE",17325,741 CHAMBERSBURG ROAD,Adams,13.36
1,395108,"CROSS KEYS VILLAGE-BRETHREN HOME COMMUNITY, THE",17350,"BOX 128, 2990 CARLISLE PK",395647,SPIRITRUST LUTHERAN THE VILLAGE AT GETTYSBURG,17325,1075 OLD HARRISBURG ROAD,Adams,10.9
2,395108,"CROSS KEYS VILLAGE-BRETHREN HOME COMMUNITY, THE",17350,"BOX 128, 2990 CARLISLE PK",395733,GETTYSBURG CENTER,17325,867 YORK ROAD,Adams,10.79
3,395108,"CROSS KEYS VILLAGE-BRETHREN HOME COMMUNITY, THE",17350,"BOX 128, 2990 CARLISLE PK",395798,TRANSITIONS HEALTHCARE GETTYSBURG,17325,595 BIGLERVILLE ROAD,Adams,12.52
4,395247,"GARDENS AT GETTYSBURG, THE",17325,741 CHAMBERSBURG ROAD,395647,SPIRITRUST LUTHERAN THE VILLAGE AT GETTYSBURG,17325,1075 OLD HARRISBURG ROAD,Adams,3.55
5,395247,"GARDENS AT GETTYSBURG, THE",17325,741 CHAMBERSBURG ROAD,395733,GETTYSBURG CENTER,17325,867 YORK ROAD,Adams,2.91
6,395247,"GARDENS AT GETTYSBURG, THE",17325,741 CHAMBERSBURG ROAD,395798,TRANSITIONS HEALTHCARE GETTYSBURG,17325,595 BIGLERVILLE ROAD,Adams,2.35
7,395647,SPIRITRUST LUTHERAN THE VILLAGE AT GETTYSBURG,17325,1075 OLD HARRISBURG ROAD,395733,GETTYSBURG CENTER,17325,867 YORK ROAD,Adams,1.96
8,395647,SPIRITRUST LUTHERAN THE VILLAGE AT GETTYSBURG,17325,1075 OLD HARRISBURG ROAD,395798,TRANSITIONS HEALTHCARE GETTYSBURG,17325,595 BIGLERVILLE ROAD,Adams,1.56
9,395733,GETTYSBURG CENTER,17325,867 YORK ROAD,395798,TRANSITIONS HEALTHCARE GETTYSBURG,17325,595 BIGLERVILLE ROAD,Adams,1.66
