,origin_id,origin_name,origin_zip,origin,destination_id,destination_name,destination_zip,destination,County,DISTANCE
0,395011,PLATINUM RIDGE CTR FOR REHAB & HEALING,15014,1050 BROADVIEW BOULEVARD,395013,ELDERCREST HEALTHCARE AND REHABILITATION CENTER,15120,2600 WEST RUN ROAD,Allegheny,29.14
1,395011,PLATINUM RIDGE CTR FOR REHAB & HEALING,15014,1050 BROADVIEW BOULEVARD,395020,BAPTIST HOMES OF WESTERN PENNSYLVANIA,15234,489 CASTLE SHANNON BLVD,Allegheny,28.1
2,395011,PLATINUM RIDGE CTR FOR REHAB & HEALING,15014,1050 BROADVIEW BOULEVARD,395028,SQUIRREL HILL WELLNESS AND REHABILITATION CENTER,15217,2025 WIGHTMAN STREET,Allegheny,20.5
3,395011,PLATINUM RIDGE CTR FOR REHAB & HEALING,15014,1050 BROADVIEW BOULEVARD,395034,VINCENTIAN HOME,15237,111 PERRYMONT ROAD,Allegheny,25.48
4,395011,PLATINUM RIDGE CTR FOR REHAB & HEALING,15014,1050 BROADVIEW BOULEVARD,395044,OAKMONT CENTER FOR NURSING & REHABILITATION,15139,26 ANN STREET,Allegheny,11.27
5,395011,PLATINUM RIDGE CTR FOR REHAB & HEALING,15014,1050 BROADVIEW BOULEVARD,395066,JEFFERSON HILLS HEALTHCARE AND REHABILITATION CENT,15025,448 OLD CLAIRTON ROAD,Allegheny,32.85
6,395011,PLATINUM RIDGE CTR FOR REHAB & HEALING,15014,1050 BROADVIEW BOULEVARD,395068,MANORCARE HEALTH SERVICES-PITTSBURGH,15232,550 SOUTH NEGLEY AVENUE,Allegheny,19.04
7,395011,PLATINUM RIDGE CTR FOR REHAB & HEALING,15014,1050 BROADVIEW BOULEVARD,395146,CANTERBURY PLACE,15201,310 FISK STREET,Allegheny,19.76
8,395011,PLATINUM RIDGE CTR FOR REHAB & HEALING,15014,1050 BROADVIEW BOULEVARD,395251,MANORCARE HEALTH SERVICES-SHADYSIDE,15232,5609 FIFTH AVENUE,Allegheny,19.27
9,395011,PLATINUM RIDGE CTR FOR REHAB & HEALING,15014,1050 BROADVIEW BOULEVARD,395300,WEXFORD HEALTHCARE CENTER,15090,9850 OLD PERRY HIGHWAY,Allegheny,26.5
10,395011,PLATINUM RIDGE CTR FOR REHAB & HEALING,15014,1050 BROADVIEW BOULEVARD,395391,ASBURY HEALTH CENTER,15243,700 BOWER HILL ROAD,Allegheny,27.61
11,395011,PLATINUM RIDGE CTR FOR REHAB & HEALING,15014,1050 BROADVIEW BOULEVARD,395423,FORBES CENTER FOR REHAB AND HEALTHCARE LLC,15206,6655 FRANKSTOWN AVENUE,Allegheny,18.0
12,395011,PLATINUM RIDGE CTR FOR REHAB & HEALING,15014,1050 BROADVIEW BOULEVARD,395434,MT LEBANON REHABILITATION AND WELLNESS CENTER,15228,350 OLD GILKESON ROAD,Allegheny,29.48
13,395011,PLATINUM RIDGE CTR FOR REHAB & HEALING,15014,1050 BROADVIEW BOULEVARD,395526,CHARLES M. MORRIS NURSING AND,15217,200 JHF DRIVE,Allegheny,27.3
14,395011,PLATINUM RIDGE CTR FOR REHAB & HEALING,15014,1050 BROADVIEW BOULEVARD,395538,"CHESWICK REHABILITATION AND WELLNESS CENTER, LLC",15024,3876 SAXONBURG BOULEVARD,Allegheny,14.32
15,395011,PLATINUM RIDGE CTR FOR REHAB & HEALING,15014,1050 BROADVIEW BOULEVARD,395561,REFORMED PRESBYTERIAN HOME,15214,2344 PERRYSVILLE AVENUE,Allegheny,22.34
16,395011,PLATINUM RIDGE CTR FOR REHAB & HEALING,15014,1050 BROADVIEW BOULEVARD,395596,BRIDGEVILLE REHABILITATION & CARE CENTER,15017,3590 WASHINGTON PIKE,Allegheny,37.2
