,origin_id,origin_name,origin_zip,origin,destination_id,destination_name,destination_zip,destination,County,DISTANCE
0,395094,BERKS HEIM NURSING & REHABILITATION,19533,1011 BERKS ROAD,395117,"LUTHERAN HOME AT TOPTON, THE",19562,ONE SOUTH HOME AVENUE,Berks,20.43
1,395094,BERKS HEIM NURSING & REHABILITATION,19533,1011 BERKS ROAD,395138,MIFFLIN CENTER,19607,500 EAST PHILADELPHIA AVENUE,Berks,10.52
2,395094,BERKS HEIM NURSING & REHABILITATION,19533,1011 BERKS ROAD,395226,SPRUCE MANOR NURSING & REHABILITATION CENTER,19611,220 S. FOURTH AVENUE,Berks,7.48
3,395094,BERKS HEIM NURSING & REHABILITATION,19533,1011 BERKS ROAD,395237,WYOMISSING HEALTH AND REHABILITATION CENTER,19611,1000 EAST WYOMISSING BLVD,Berks,9.41
4,395094,BERKS HEIM NURSING & REHABILITATION,19533,1011 BERKS ROAD,395351,MANORCARE HEALTH SERVICES-WEST READING NORTH,19611,425 BUTTONWOOD STREET,Berks,7.49
5,395094,BERKS HEIM NURSING & REHABILITATION,19533,1011 BERKS ROAD,395408,LAUREL CENTER,19526,125 HOLLY ROAD,Berks,15.91
6,395094,BERKS HEIM NURSING & REHABILITATION,19533,1011 BERKS ROAD,395477,MANORCARE HEALTH SERVICES-LAURELDALE,19605,2125 ELIZABETH AVENUE,Berks,10.72
7,395094,BERKS HEIM NURSING & REHABILITATION,19533,1011 BERKS ROAD,395541,MANORCARE HEALTH SERVICES-SINKING SPRING,19608,3000 WINDMILL ROAD,Berks,9.68
8,395094,BERKS HEIM NURSING & REHABILITATION,19533,1011 BERKS ROAD,395627,FAIRLANE GARDENS NURSING AND REHAB AT READING,19606,21 FAIRLANE ROAD,Berks,12.85
9,395094,BERKS HEIM NURSING & REHABILITATION,19533,1011 BERKS ROAD,395680,KUTZTOWN MANOR,19530,120 TREXLER AVENUE,Berks,17.37
10,395094,BERKS HEIM NURSING & REHABILITATION,19533,1011 BERKS ROAD,395800,HIGHLANDS AT WYOMISSING,19610,2000 CAMBRIDGE AVENUE,Berks,9.35
11,395094,BERKS HEIM NURSING & REHABILITATION,19533,1011 BERKS ROAD,395880,PHOEBE BERKS HEALTH CARE CENTE,19565,1 HEIDELBERG DRIVE,Berks,7.55
12,395094,BERKS HEIM NURSING & REHABILITATION,19533,1011 BERKS ROAD,395938,BERKSHIRE CENTER,19606,5501 PERKIOMEN AVENUE,Berks,14.03
13,395094,BERKS HEIM NURSING & REHABILITATION,19533,1011 BERKS ROAD,395941,TRANSITIONAL SUB-ACUTE UNIT,19610,2802 PAPERMILL ROAD,Berks,3.85
14,395117,"LUTHERAN HOME AT TOPTON, THE",19562,ONE SOUTH HOME AVENUE,395138,MIFFLIN CENTER,19607,500 EAST PHILADELPHIA AVENUE,Berks,24.52
15,395117,"LUTHERAN HOME AT TOPTON, THE",19562,ONE SOUTH HOME AVENUE,395226,SPRUCE MANOR NURSING & REHABILITATION CENTER,19611,220 S. FOURTH AVENUE,Berks,21.47
16,395117,"LUTHERAN HOME AT TOPTON, THE",19562,ONE SOUTH HOME AVENUE,395237,WYOMISSING HEALTH AND REHABILITATION CENTER,19611,1000 EAST WYOMISSING BLVD,Berks,22.22
17,395117,"LUTHERAN HOME AT TOPTON, THE",19562,ONE SOUTH HOME AVENUE,395351,MANORCARE HEALTH SERVICES-WEST READING NORTH,19611,425 BUTTONWOOD STREET,Berks,21.49
18,395117,"LUTHERAN HOME AT TOPTON, THE",19562,ONE SOUTH HOME AVENUE,395408,LAUREL CENTER,19526,125 HOLLY ROAD,Berks,20.68
19,395117,"LUTHERAN HOME AT TOPTON, THE",19562,ONE SOUTH HOME AVENUE,395477,MANORCARE HEALTH SERVICES-LAURELDALE,19605,2125 ELIZABETH AVENUE,Berks,14.9
20,395117,"LUTHERAN HOME AT TOPTON, THE",19562,ONE SOUTH HOME AVENUE,395541,MANORCARE HEALTH SERVICES-SINKING SPRING,19608,3000 WINDMILL ROAD,Berks,23.45
21,395117,"LUTHERAN HOME AT TOPTON, THE",19562,ONE SOUTH HOME AVENUE,395627,FAIRLANE GARDENS NURSING AND REHAB AT READING,19606,21 FAIRLANE ROAD,Berks,21.03
22,395117,"LUTHERAN HOME AT TOPTON, THE",19562,ONE SOUTH HOME AVENUE,395680,KUTZTOWN MANOR,19530,120 TREXLER AVENUE,Berks,6.27
23,395117,"LUTHERAN HOME AT TOPTON, THE",19562,ONE SOUTH HOME AVENUE,395800,HIGHLANDS AT WYOMISSING,19610,2000 CAMBRIDGE AVENUE,Berks,23.13
24,395117,"LUTHERAN HOME AT TOPTON, THE",19562,ONE SOUTH HOME AVENUE,395880,PHOEBE BERKS HEALTH CARE CENTE,19565,1 HEIDELBERG DRIVE,Berks,26.04
25,395117,"LUTHERAN HOME AT TOPTON, THE",19562,ONE SOUTH HOME AVENUE,395938,BERKSHIRE CENTER,19606,5501 PERKIOMEN AVENUE,Berks,22.32
26,395117,"LUTHERAN HOME AT TOPTON, THE",19562,ONE SOUTH HOME AVENUE,395941,TRANSITIONAL SUB-ACUTE UNIT,19610,2802 PAPERMILL ROAD,Berks,20.31
27,395138,MIFFLIN CENTER,19607,500 EAST PHILADELPHIA AVENUE,395226,SPRUCE MANOR NURSING & REHABILITATION CENTER,19611,220 S. FOURTH AVENUE,Berks,3.53
28,395138,MIFFLIN CENTER,19607,500 EAST PHILADELPHIA AVENUE,395237,WYOMISSING HEALTH AND REHABILITATION CENTER,19611,1000 EAST WYOMISSING BLVD,Berks,2.72
29,395138,MIFFLIN CENTER,19607,500 EAST PHILADELPHIA AVENUE,395351,MANORCARE HEALTH SERVICES-WEST READING NORTH,19611,425 BUTTONWOOD STREET,Berks,3.73
30,395138,MIFFLIN CENTER,19607,500 EAST PHILADELPHIA AVENUE,395408,LAUREL CENTER,19526,125 HOLLY ROAD,Berks,24.71
31,395138,MIFFLIN CENTER,19607,500 EAST PHILADELPHIA AVENUE,395477,MANORCARE HEALTH SERVICES-LAURELDALE,19605,2125 ELIZABETH AVENUE,Berks,11.68
32,395138,MIFFLIN CENTER,19607,500 EAST PHILADELPHIA AVENUE,395541,MANORCARE HEALTH SERVICES-SINKING SPRING,19608,3000 WINDMILL ROAD,Berks,3.17
33,395138,MIFFLIN CENTER,19607,500 EAST PHILADELPHIA AVENUE,395627,FAIRLANE GARDENS NURSING AND REHAB AT READING,19606,21 FAIRLANE ROAD,Berks,6.51
34,395138,MIFFLIN CENTER,19607,500 EAST PHILADELPHIA AVENUE,395680,KUTZTOWN MANOR,19530,120 TREXLER AVENUE,Berks,23.36
35,395138,MIFFLIN CENTER,19607,500 EAST PHILADELPHIA AVENUE,395800,HIGHLANDS AT WYOMISSING,19610,2000 CAMBRIDGE AVENUE,Berks,1.73
36,395138,MIFFLIN CENTER,19607,500 EAST PHILADELPHIA AVENUE,395880,PHOEBE BERKS HEALTH CARE CENTE,19565,1 HEIDELBERG DRIVE,Berks,6.71
37,395138,MIFFLIN CENTER,19607,500 EAST PHILADELPHIA AVENUE,395938,BERKSHIRE CENTER,19606,5501 PERKIOMEN AVENUE,Berks,7.7
38,395138,MIFFLIN CENTER,19607,500 EAST PHILADELPHIA AVENUE,395941,TRANSITIONAL SUB-ACUTE UNIT,19610,2802 PAPERMILL ROAD,Berks,7.14
39,395226,SPRUCE MANOR NURSING & REHABILITATION CENTER,19611,220 S. FOURTH AVENUE,395237,WYOMISSING HEALTH AND REHABILITATION CENTER,19611,1000 EAST WYOMISSING BLVD,Berks,1.08
40,395226,SPRUCE MANOR NURSING & REHABILITATION CENTER,19611,220 S. FOURTH AVENUE,395351,MANORCARE HEALTH SERVICES-WEST READING NORTH,19611,425 BUTTONWOOD STREET,Berks,0.62
41,395226,SPRUCE MANOR NURSING & REHABILITATION CENTER,19611,220 S. FOURTH AVENUE,395408,LAUREL CENTER,19526,125 HOLLY ROAD,Berks,22.05
42,395226,SPRUCE MANOR NURSING & REHABILITATION CENTER,19611,220 S. FOURTH AVENUE,395477,MANORCARE HEALTH SERVICES-LAURELDALE,19605,2125 ELIZABETH AVENUE,Berks,8.23
43,395226,SPRUCE MANOR NURSING & REHABILITATION CENTER,19611,220 S. FOURTH AVENUE,395541,MANORCARE HEALTH SERVICES-SINKING SPRING,19608,3000 WINDMILL ROAD,Berks,4.85
44,395226,SPRUCE MANOR NURSING & REHABILITATION CENTER,19611,220 S. FOURTH AVENUE,395627,FAIRLANE GARDENS NURSING AND REHAB AT READING,19606,21 FAIRLANE ROAD,Berks,6.47
45,395226,SPRUCE MANOR NURSING & REHABILITATION CENTER,19611,220 S. FOURTH AVENUE,395680,KUTZTOWN MANOR,19530,120 TREXLER AVENUE,Berks,20.71
46,395226,SPRUCE MANOR NURSING & REHABILITATION CENTER,19611,220 S. FOURTH AVENUE,395800,HIGHLANDS AT WYOMISSING,19610,2000 CAMBRIDGE AVENUE,Berks,3.25
47,395226,SPRUCE MANOR NURSING & REHABILITATION CENTER,19611,220 S. FOURTH AVENUE,395880,PHOEBE BERKS HEALTH CARE CENTE,19565,1 HEIDELBERG DRIVE,Berks,7.23
48,395226,SPRUCE MANOR NURSING & REHABILITATION CENTER,19611,220 S. FOURTH AVENUE,395938,BERKSHIRE CENTER,19606,5501 PERKIOMEN AVENUE,Berks,7.65
49,395226,SPRUCE MANOR NURSING & REHABILITATION CENTER,19611,220 S. FOURTH AVENUE,395941,TRANSITIONAL SUB-ACUTE UNIT,19610,2802 PAPERMILL ROAD,Berks,4.48
50,395237,WYOMISSING HEALTH AND REHABILITATION CENTER,19611,1000 EAST WYOMISSING BLVD,395351,MANORCARE HEALTH SERVICES-WEST READING NORTH,19611,425 BUTTONWOOD STREET,Berks,1.28
51,395237,WYOMISSING HEALTH AND REHABILITATION CENTER,19611,1000 EAST WYOMISSING BLVD,395408,LAUREL CENTER,19526,125 HOLLY ROAD,Berks,22.62
52,395237,WYOMISSING HEALTH AND REHABILITATION CENTER,19611,1000 EAST WYOMISSING BLVD,395477,MANORCARE HEALTH SERVICES-LAURELDALE,19605,2125 ELIZABETH AVENUE,Berks,8.79
53,395237,WYOMISSING HEALTH AND REHABILITATION CENTER,19611,1000 EAST WYOMISSING BLVD,395541,MANORCARE HEALTH SERVICES-SINKING SPRING,19608,3000 WINDMILL ROAD,Berks,4.16
54,395237,WYOMISSING HEALTH AND REHABILITATION CENTER,19611,1000 EAST WYOMISSING BLVD,395627,FAIRLANE GARDENS NURSING AND REHAB AT READING,19606,21 FAIRLANE ROAD,Berks,6.52
55,395237,WYOMISSING HEALTH AND REHABILITATION CENTER,19611,1000 EAST WYOMISSING BLVD,395680,KUTZTOWN MANOR,19530,120 TREXLER AVENUE,Berks,21.27
56,395237,WYOMISSING HEALTH AND REHABILITATION CENTER,19611,1000 EAST WYOMISSING BLVD,395800,HIGHLANDS AT WYOMISSING,19610,2000 CAMBRIDGE AVENUE,Berks,2.57
57,395237,WYOMISSING HEALTH AND REHABILITATION CENTER,19611,1000 EAST WYOMISSING BLVD,395880,PHOEBE BERKS HEALTH CARE CENTE,19565,1 HEIDELBERG DRIVE,Berks,7.27
58,395237,WYOMISSING HEALTH AND REHABILITATION CENTER,19611,1000 EAST WYOMISSING BLVD,395938,BERKSHIRE CENTER,19606,5501 PERKIOMEN AVENUE,Berks,7.7
59,395237,WYOMISSING HEALTH AND REHABILITATION CENTER,19611,1000 EAST WYOMISSING BLVD,395941,TRANSITIONAL SUB-ACUTE UNIT,19610,2802 PAPERMILL ROAD,Berks,5.05
60,395351,MANORCARE HEALTH SERVICES-WEST READING NORTH,19611,425 BUTTONWOOD STREET,395408,LAUREL CENTER,19526,125 HOLLY ROAD,Berks,21.56
61,395351,MANORCARE HEALTH SERVICES-WEST READING NORTH,19611,425 BUTTONWOOD STREET,395477,MANORCARE HEALTH SERVICES-LAURELDALE,19605,2125 ELIZABETH AVENUE,Berks,7.74
62,395351,MANORCARE HEALTH SERVICES-WEST READING NORTH,19611,425 BUTTONWOOD STREET,395541,MANORCARE HEALTH SERVICES-SINKING SPRING,19608,3000 WINDMILL ROAD,Berks,4.39
