,origin_id,origin_name,origin_zip,origin,destination_id,destination_name,destination_zip,destination,County,DISTANCE
0,395050,GARVEY MANOR,16648,1037 SOUTH LOGAN BOULEVARD,395241,HILLVIEW HEALTHCARE AND REHABILITATION CENTER,16602,700 S. CAYUGA AVENUE,Blair,3.0
1,395050,GARVEY MANOR,16648,1037 SOUTH LOGAN BOULEVARD,395393,EPWORTH HEALTHCARE AND REHABILITATION CENTER,16686,951 WASHINGTON AVENUE,Blair,18.49
2,395050,GARVEY MANOR,16648,1037 SOUTH LOGAN BOULEVARD,395427,LUTHERAN HOME AT HOLLIDAYSBURG,16648,916 HICKORY STREET,Blair,1.56
3,395050,GARVEY MANOR,16648,1037 SOUTH LOGAN BOULEVARD,395514,MAYBROOK HILLS REHABILITATION AND HEALTHCARE CENTE,16602,301 VALLEY VIEW BOULEVARD,Blair,4.77
4,395050,GARVEY MANOR,16648,1037 SOUTH LOGAN BOULEVARD,395530,PRESBYTERIAN HOMES-PRESBY,16648,220 NEWRY STREET,Blair,2.33
5,395050,GARVEY MANOR,16648,1037 SOUTH LOGAN BOULEVARD,395563,MORRISONS COVE HOME,16662,429 SOUTH MARKET STREET,Blair,14.42
6,395050,GARVEY MANOR,16648,1037 SOUTH LOGAN BOULEVARD,395896,HOMEWOOD AT MARTINSBURG PA INC,16662,437 GIVLER DRIVE,Blair,14.63
7,395050,GARVEY MANOR,16648,1037 SOUTH LOGAN BOULEVARD,395985,ALTOONA CENTER FOR NURSING CARE,16601,1020 GREEN AVENUE,Blair,5.14
8,395050,GARVEY MANOR,16648,1037 SOUTH LOGAN BOULEVARD,39A437,HOLLIDAYSBURG VETERANS HOME,16648,PO BOX 319,Blair,3.82
9,395241,HILLVIEW HEALTHCARE AND REHABILITATION CENTER,16602,700 S. CAYUGA AVENUE,395393,EPWORTH HEALTHCARE AND REHABILITATION CENTER,16686,951 WASHINGTON AVENUE,Blair,17.59
10,395241,HILLVIEW HEALTHCARE AND REHABILITATION CENTER,16602,700 S. CAYUGA AVENUE,395427,LUTHERAN HOME AT HOLLIDAYSBURG,16648,916 HICKORY STREET,Blair,4.54
11,395241,HILLVIEW HEALTHCARE AND REHABILITATION CENTER,16602,700 S. CAYUGA AVENUE,395514,MAYBROOK HILLS REHABILITATION AND HEALTHCARE CENTE,16602,301 VALLEY VIEW BOULEVARD,Blair,2.63
12,395241,HILLVIEW HEALTHCARE AND REHABILITATION CENTER,16602,700 S. CAYUGA AVENUE,395530,PRESBYTERIAN HOMES-PRESBY,16648,220 NEWRY STREET,Blair,5.31
13,395241,HILLVIEW HEALTHCARE AND REHABILITATION CENTER,16602,700 S. CAYUGA AVENUE,395563,MORRISONS COVE HOME,16662,429 SOUTH MARKET STREET,Blair,18.37
14,395241,HILLVIEW HEALTHCARE AND REHABILITATION CENTER,16602,700 S. CAYUGA AVENUE,395896,HOMEWOOD AT MARTINSBURG PA INC,16662,437 GIVLER DRIVE,Blair,18.58
15,395241,HILLVIEW HEALTHCARE AND REHABILITATION CENTER,16602,700 S. CAYUGA AVENUE,395985,ALTOONA CENTER FOR NURSING CARE,16601,1020 GREEN AVENUE,Blair,3.29
