,origin_id,origin_name,origin_zip,origin,destination_id,destination_name,destination_zip,destination,County,DISTANCE
0,395439,"LUTHERAN HOME AT JOHNSTOWN, THE",15905,807 GOUCHER STREET,395592,HAIDA HEALTHCARE AND REHABILITATION CENTER,16646,397  THIRD AVENUE EXTENSION,Cambria,39.16
1,395439,"LUTHERAN HOME AT JOHNSTOWN, THE",15905,807 GOUCHER STREET,395610,RICHLAND HEALTHCARE AND REHABILITATION CENTER,15904,349 VOTECH DRIVE,Cambria,10.01
2,395439,"LUTHERAN HOME AT JOHNSTOWN, THE",15905,807 GOUCHER STREET,395812,LAURELWOOD CARE CENTER,15905,100 WOODMONT ROAD,Cambria,2.5
3,395439,"LUTHERAN HOME AT JOHNSTOWN, THE",15905,807 GOUCHER STREET,395828,CAMBRIA CARE CENTER,15931,429 MANOR DRIVE,Cambria,27.85
4,395439,"LUTHERAN HOME AT JOHNSTOWN, THE",15905,807 GOUCHER STREET,396069,ARBUTUS PARK MANOR,15904,207 OTTAWA STREET,Cambria,7.02
5,395439,"LUTHERAN HOME AT JOHNSTOWN, THE",15905,807 GOUCHER STREET,396088,"MAPLE WINDS HEALTHCARE AND REHABILITATION, LLC",15946,4112 SPRING HILL ROAD,Cambria,21.71
6,395439,"LUTHERAN HOME AT JOHNSTOWN, THE",15905,807 GOUCHER STREET,396102,CONEMAUGH MEMORIAL MEDICAL CENTER TCU,15901,320 MAIN STREET,Cambria,3.92
7,395439,"LUTHERAN HOME AT JOHNSTOWN, THE",15905,807 GOUCHER STREET,396132,QUALITY LIFE SERVICES - WESTMONT,15905,787 GOUCHER STREET,Cambria,0.56
8,395592,HAIDA HEALTHCARE AND REHABILITATION CENTER,16646,397  THIRD AVENUE EXTENSION,395610,RICHLAND HEALTHCARE AND REHABILITATION CENTER,15904,349 VOTECH DRIVE,Cambria,32.29
9,395592,HAIDA HEALTHCARE AND REHABILITATION CENTER,16646,397  THIRD AVENUE EXTENSION,395812,LAURELWOOD CARE CENTER,15905,100 WOODMONT ROAD,Cambria,40.13
10,395592,HAIDA HEALTHCARE AND REHABILITATION CENTER,16646,397  THIRD AVENUE EXTENSION,395828,CAMBRIA CARE CENTER,15931,429 MANOR DRIVE,Cambria,15.12
11,395592,HAIDA HEALTHCARE AND REHABILITATION CENTER,16646,397  THIRD AVENUE EXTENSION,396069,ARBUTUS PARK MANOR,15904,207 OTTAWA STREET,Cambria,33.82
12,395592,HAIDA HEALTHCARE AND REHABILITATION CENTER,16646,397  THIRD AVENUE EXTENSION,396088,"MAPLE WINDS HEALTHCARE AND REHABILITATION, LLC",15946,4112 SPRING HILL ROAD,Cambria,26.19
13,395592,HAIDA HEALTHCARE AND REHABILITATION CENTER,16646,397  THIRD AVENUE EXTENSION,396102,CONEMAUGH MEMORIAL MEDICAL CENTER TCU,15901,320 MAIN STREET,Cambria,36.04
14,395592,HAIDA HEALTHCARE AND REHABILITATION CENTER,16646,397  THIRD AVENUE EXTENSION,396132,QUALITY LIFE SERVICES - WESTMONT,15905,787 GOUCHER STREET,Cambria,39.12
15,395610,RICHLAND HEALTHCARE AND REHABILITATION CENTER,15904,349 VOTECH DRIVE,395812,LAURELWOOD CARE CENTER,15905,100 WOODMONT ROAD,Cambria,11.75
16,395610,RICHLAND HEALTHCARE AND REHABILITATION CENTER,15904,349 VOTECH DRIVE,395828,CAMBRIA CARE CENTER,15931,429 MANOR DRIVE,Cambria,20.93
