,origin_id,origin_name,origin_zip,origin,destination_id,destination_name,destination_zip,destination,County,DISTANCE
0,395166,PEMBROOKE HEALTH AND REHABILITATION CENTER,19380,1130 WEST CHESTER PIKE,395284,"PHOENIX  CENTER FOR REHABILITATION AND NURSING,THE",19460,833 SOUTH MAIN STREET,Chester,15.09
1,395166,PEMBROOKE HEALTH AND REHABILITATION CENTER,19380,1130 WEST CHESTER PIKE,395307,KENDAL AT LONGWOOD,19348,BOX 100,Chester,15.29
2,395166,PEMBROOKE HEALTH AND REHABILITATION CENTER,19380,1130 WEST CHESTER PIKE,395319,MANATAWNY MANOR,19465,30 OLD SCHUYLKILL ROAD,Chester,37.15
3,395166,PEMBROOKE HEALTH AND REHABILITATION CENTER,19380,1130 WEST CHESTER PIKE,395332,WAYNE CENTER,19087,30 WEST AVENUE,Chester,12.92
4,395166,PEMBROOKE HEALTH AND REHABILITATION CENTER,19380,1130 WEST CHESTER PIKE,395367,OXFORD HEALTH CENTER,19363,7 EAST LOCUST STREET,Chester,31.88
5,395166,PEMBROOKE HEALTH AND REHABILITATION CENTER,19380,1130 WEST CHESTER PIKE,395384,POCOPSON HOME,19382,1695 LENAPE ROAD,Chester,9.43
6,395166,PEMBROOKE HEALTH AND REHABILITATION CENTER,19380,1130 WEST CHESTER PIKE,395388,CROSSLANDS,19348,PO BOX 100 RT 926,Chester,13.63
7,395166,PEMBROOKE HEALTH AND REHABILITATION CENTER,19380,1130 WEST CHESTER PIKE,395436,HICKORY HOUSE NURSING HOME,19344,3120 HORSESHOE PIKE,Chester,20.86
8,395166,PEMBROOKE HEALTH AND REHABILITATION CENTER,19380,1130 WEST CHESTER PIKE,395519,GREEN MEADOWS NURSING & REHABILITATION CENTER,19355,283 EAST LANCASTER AVENUE,Chester,8.73
9,395166,PEMBROOKE HEALTH AND REHABILITATION CENTER,19380,1130 WEST CHESTER PIKE,395562,TEL HAI RETIREMENT COMMUNITY,19344,1200 TEL HAI CIRCLE,Chester,22.8
10,395166,PEMBROOKE HEALTH AND REHABILITATION CENTER,19380,1130 WEST CHESTER PIKE,395740,BRANDYWINE HALL,19382,800 WEST MINER STREET,Chester,4.1
11,395166,PEMBROOKE HEALTH AND REHABILITATION CENTER,19380,1130 WEST CHESTER PIKE,395815,ST MARTHA CENTER FOR REHABILITATION & HEALTHCARE,19335,470 MANOR AVE,Chester,12.77
12,395166,PEMBROOKE HEALTH AND REHABILITATION CENTER,19380,1130 WEST CHESTER PIKE,395848,BARCLAY FRIENDS,19380,700 NORTH FRANKLIN,Chester,3.72
13,395166,PEMBROOKE HEALTH AND REHABILITATION CENTER,19380,1130 WEST CHESTER PIKE,396062,"INN AT FREEDOM VILLAGE,THE",19320,35 FREEDOM BOULEVARD,Chester,16.37
14,395166,PEMBROOKE HEALTH AND REHABILITATION CENTER,19380,1130 WEST CHESTER PIKE,396082,BELLINGHAM PARK LANE,19380,1615 EAST BOOT ROAD  EAST GOSHEN,Chester,3.52
15,395166,PEMBROOKE HEALTH AND REHABILITATION CENTER,19380,1130 WEST CHESTER PIKE,396090,PRESTON RESIDENCE,19390,200 SYCAMORE DRIVE,Chester,24.61
16,395166,PEMBROOKE HEALTH AND REHABILITATION CENTER,19380,1130 WEST CHESTER PIKE,396114,TWIN PINES HEALTH CARE CENTER,19390,315 EAST LONDON GROVE ROAD,Chester,19.36
17,395166,PEMBROOKE HEALTH AND REHABILITATION CENTER,19380,1130 WEST CHESTER PIKE,396117,WELLINGTON TERRACE,19380,1361 EAST BOOT ROAD,Chester,3.96
18,395166,PEMBROOKE HEALTH AND REHABILITATION CENTER,19380,1130 WEST CHESTER PIKE,396126,POWERBACK REHABILITATION PHOENIXVILLE,19460,3000 BALFOUR CIRCLE,Chester,17.54
19,395166,PEMBROOKE HEALTH AND REHABILITATION CENTER,19380,1130 WEST CHESTER PIKE,396144,POWERBACK REHABILITATION  EXTON,19341,501 THOMAS JONES WAY,Chester,8.36
20,395166,PEMBROOKE HEALTH AND REHABILITATION CENTER,19380,1130 WEST CHESTER PIKE,39A435,SOUTHEASTERN PENNSYLVANIA VETERAN'S CENTER,19475,ONE VETERANS DRIVE,Chester,20.78
21,395284,"PHOENIX  CENTER FOR REHABILITATION AND NURSING,THE",19460,833 SOUTH MAIN STREET,395307,KENDAL AT LONGWOOD,19348,BOX 100,Chester,27.09
22,395284,"PHOENIX  CENTER FOR REHABILITATION AND NURSING,THE",19460,833 SOUTH MAIN STREET,395319,MANATAWNY MANOR,19465,30 OLD SCHUYLKILL ROAD,Chester,11.23
23,395284,"PHOENIX  CENTER FOR REHABILITATION AND NURSING,THE",19460,833 SOUTH MAIN STREET,395332,WAYNE CENTER,19087,30 WEST AVENUE,Chester,10.6
24,395284,"PHOENIX  CENTER FOR REHABILITATION AND NURSING,THE",19460,833 SOUTH MAIN STREET,395367,OXFORD HEALTH CENTER,19363,7 EAST LOCUST STREET,Chester,43.68
25,395284,"PHOENIX  CENTER FOR REHABILITATION AND NURSING,THE",19460,833 SOUTH MAIN STREET,395384,POCOPSON HOME,19382,1695 LENAPE ROAD,Chester,21.23
26,395284,"PHOENIX  CENTER FOR REHABILITATION AND NURSING,THE",19460,833 SOUTH MAIN STREET,395388,CROSSLANDS,19348,PO BOX 100 RT 926,Chester,25.43
27,395284,"PHOENIX  CENTER FOR REHABILITATION AND NURSING,THE",19460,833 SOUTH MAIN STREET,395436,HICKORY HOUSE NURSING HOME,19344,3120 HORSESHOE PIKE,Chester,25.28
