,origin_id,origin_name,origin_zip,origin,destination_id,destination_name,destination_zip,destination,County,DISTANCE
0,395123,"GARDENS AT CAMP HILL, THE",17011,46 ERFORD ROAD,395223,"GARDENS AT WEST SHORE, THE",17011,770 POPLAR CHURCH ROAD,Cumberland,0.43
1,395123,"GARDENS AT CAMP HILL, THE",17011,46 ERFORD ROAD,395270,FOREST PARK HEALTHCARE AND REHABILITATION CENTER,17013,700 WALNUT BOTTOM ROAD,Cumberland,20.69
2,395123,"GARDENS AT CAMP HILL, THE",17011,46 ERFORD ROAD,395375,SWAIM HEALTH CENTER,17241,210 BIG SPRING ROAD,Cumberland,33.38
3,395123,"GARDENS AT CAMP HILL, THE",17011,46 ERFORD ROAD,395386,BETHANY VILLAGE RETIREMENT CENTER,17055,5225 WILSON LANE,Cumberland,5.95
4,395123,"GARDENS AT CAMP HILL, THE",17011,46 ERFORD ROAD,395440,MANORCARE HEALTH SERVICES-CAMP HILL,17011,1700 MARKET STREET,Cumberland,1.48
5,395123,"GARDENS AT CAMP HILL, THE",17011,46 ERFORD ROAD,395445,MESSIAH LIFEWAYS AT MESSIAH VILLAGE,17055,100 MOUNT ALLEN DRIVE,Cumberland,7.08
6,395123,"GARDENS AT CAMP HILL, THE",17011,46 ERFORD ROAD,395660,CLAREMONT NRC OF CUMBERLAND CO,17013,1000 CLAREMONT ROAD,Cumberland,17.97
7,395123,"GARDENS AT CAMP HILL, THE",17011,46 ERFORD ROAD,395677,SARAH A TODD MEMORIAL HOME,17013,1000 WEST SOUTH STREET,Cumberland,21.63
8,395123,"GARDENS AT CAMP HILL, THE",17011,46 ERFORD ROAD,395746,MANORCARE HEALTH SERVICES-CARLISLE,17013,940 WALNUT BOTTOM ROAD,Cumberland,20.97
9,395123,"GARDENS AT CAMP HILL, THE",17011,46 ERFORD ROAD,395784,"CHURCH OF GOD HOME, INC",17013,801 N. HANOVER STREET,Cumberland,18.35
10,395123,"GARDENS AT CAMP HILL, THE",17011,46 ERFORD ROAD,395802,THORNWALD HOME,17013,442 WALNUT BOTTOM ROAD,Cumberland,20.8
11,395123,"GARDENS AT CAMP HILL, THE",17011,46 ERFORD ROAD,395876,CUMBERLAND CROSSINGS RETIREMENT COMMUNITY,17013,1 LONGSDORF WAY,Cumberland,21.14
12,395123,"GARDENS AT CAMP HILL, THE",17011,46 ERFORD ROAD,395923,CHAPEL POINTE AT CARLISLE,17013,770 S. HANOVER STREET,Cumberland,19.82
13,395123,"GARDENS AT CAMP HILL, THE",17011,46 ERFORD ROAD,395964,SHIPPENSBURG HEALTH CARE CENTER,17257,121 WALNUT BOTTOM ROAD,Cumberland,38.34
14,395123,"GARDENS AT CAMP HILL, THE",17011,46 ERFORD ROAD,396122,FOX SUBACUTE AT MECHANICSBURG,17055,120 SOUTH FILBERT ST,Cumberland,5.96
15,395123,"GARDENS AT CAMP HILL, THE",17011,46 ERFORD ROAD,396133,VIBRA REHABILITATION CENTER,17055,707 SHEPERDSTOWN RD,Cumberland,8.02
16,395223,"GARDENS AT WEST SHORE, THE",17011,770 POPLAR CHURCH ROAD,395270,FOREST PARK HEALTHCARE AND REHABILITATION CENTER,17013,700 WALNUT BOTTOM ROAD,Cumberland,20.41
17,395223,"GARDENS AT WEST SHORE, THE",17011,770 POPLAR CHURCH ROAD,395375,SWAIM HEALTH CENTER,17241,210 BIG SPRING ROAD,Cumberland,33.11
18,395223,"GARDENS AT WEST SHORE, THE",17011,770 POPLAR CHURCH ROAD,395386,BETHANY VILLAGE RETIREMENT CENTER,17055,5225 WILSON LANE,Cumberland,5.81
19,395223,"GARDENS AT WEST SHORE, THE",17011,770 POPLAR CHURCH ROAD,395440,MANORCARE HEALTH SERVICES-CAMP HILL,17011,1700 MARKET STREET,Cumberland,1.63
20,395223,"GARDENS AT WEST SHORE, THE",17011,770 POPLAR CHURCH ROAD,395445,MESSIAH LIFEWAYS AT MESSIAH VILLAGE,17055,100 MOUNT ALLEN DRIVE,Cumberland,6.93
21,395223,"GARDENS AT WEST SHORE, THE",17011,770 POPLAR CHURCH ROAD,395660,CLAREMONT NRC OF CUMBERLAND CO,17013,1000 CLAREMONT ROAD,Cumberland,17.82
22,395223,"GARDENS AT WEST SHORE, THE",17011,770 POPLAR CHURCH ROAD,395677,SARAH A TODD MEMORIAL HOME,17013,1000 WEST SOUTH STREET,Cumberland,21.36
23,395223,"GARDENS AT WEST SHORE, THE",17011,770 POPLAR CHURCH ROAD,395746,MANORCARE HEALTH SERVICES-CARLISLE,17013,940 WALNUT BOTTOM ROAD,Cumberland,20.69
24,395223,"GARDENS AT WEST SHORE, THE",17011,770 POPLAR CHURCH ROAD,395784,"CHURCH OF GOD HOME, INC",17013,801 N. HANOVER STREET,Cumberland,18.21
25,395223,"GARDENS AT WEST SHORE, THE",17011,770 POPLAR CHURCH ROAD,395802,THORNWALD HOME,17013,442 WALNUT BOTTOM ROAD,Cumberland,20.53
26,395223,"GARDENS AT WEST SHORE, THE",17011,770 POPLAR CHURCH ROAD,395876,CUMBERLAND CROSSINGS RETIREMENT COMMUNITY,17013,1 LONGSDORF WAY,Cumberland,20.87
27,395223,"GARDENS AT WEST SHORE, THE",17011,770 POPLAR CHURCH ROAD,395923,CHAPEL POINTE AT CARLISLE,17013,770 S. HANOVER STREET,Cumberland,19.54
28,395223,"GARDENS AT WEST SHORE, THE",17011,770 POPLAR CHURCH ROAD,395964,SHIPPENSBURG HEALTH CARE CENTER,17257,121 WALNUT BOTTOM ROAD,Cumberland,38.07
29,395223,"GARDENS AT WEST SHORE, THE",17011,770 POPLAR CHURCH ROAD,396122,FOX SUBACUTE AT MECHANICSBURG,17055,120 SOUTH FILBERT ST,Cumberland,5.82
30,395223,"GARDENS AT WEST SHORE, THE",17011,770 POPLAR CHURCH ROAD,396133,VIBRA REHABILITATION CENTER,17055,707 SHEPERDSTOWN RD,Cumberland,7.88
31,395270,FOREST PARK HEALTHCARE AND REHABILITATION CENTER,17013,700 WALNUT BOTTOM ROAD,395375,SWAIM HEALTH CENTER,17241,210 BIG SPRING ROAD,Cumberland,13.14
32,395270,FOREST PARK HEALTHCARE AND REHABILITATION CENTER,17013,700 WALNUT BOTTOM ROAD,395386,BETHANY VILLAGE RETIREMENT CENTER,17055,5225 WILSON LANE,Cumberland,14.34
33,395270,FOREST PARK HEALTHCARE AND REHABILITATION CENTER,17013,700 WALNUT BOTTOM ROAD,395440,MANORCARE HEALTH SERVICES-CAMP HILL,17011,1700 MARKET STREET,Cumberland,20.93
34,395270,FOREST PARK HEALTHCARE AND REHABILITATION CENTER,17013,700 WALNUT BOTTOM ROAD,395445,MESSIAH LIFEWAYS AT MESSIAH VILLAGE,17055,100 MOUNT ALLEN DRIVE,Cumberland,15.07
35,395270,FOREST PARK HEALTHCARE AND REHABILITATION CENTER,17013,700 WALNUT BOTTOM ROAD,395660,CLAREMONT NRC OF CUMBERLAND CO,17013,1000 CLAREMONT ROAD,Cumberland,3.16
36,395270,FOREST PARK HEALTHCARE AND REHABILITATION CENTER,17013,700 WALNUT BOTTOM ROAD,395677,SARAH A TODD MEMORIAL HOME,17013,1000 WEST SOUTH STREET,Cumberland,1.14
37,395270,FOREST PARK HEALTHCARE AND REHABILITATION CENTER,17013,700 WALNUT BOTTOM ROAD,395746,MANORCARE HEALTH SERVICES-CARLISLE,17013,940 WALNUT BOTTOM ROAD,Cumberland,0.73
38,395270,FOREST PARK HEALTHCARE AND REHABILITATION CENTER,17013,700 WALNUT BOTTOM ROAD,395784,"CHURCH OF GOD HOME, INC",17013,801 N. HANOVER STREET,Cumberland,2.17
39,395270,FOREST PARK HEALTHCARE AND REHABILITATION CENTER,17013,700 WALNUT BOTTOM ROAD,395802,THORNWALD HOME,17013,442 WALNUT BOTTOM ROAD,Cumberland,0.12
40,395270,FOREST PARK HEALTHCARE AND REHABILITATION CENTER,17013,700 WALNUT BOTTOM ROAD,395876,CUMBERLAND CROSSINGS RETIREMENT COMMUNITY,17013,1 LONGSDORF WAY,Cumberland,1.98
41,395270,FOREST PARK HEALTHCARE AND REHABILITATION CENTER,17013,700 WALNUT BOTTOM ROAD,395923,CHAPEL POINTE AT CARLISLE,17013,770 S. HANOVER STREET,Cumberland,1.09
42,395270,FOREST PARK HEALTHCARE AND REHABILITATION CENTER,17013,700 WALNUT BOTTOM ROAD,395964,SHIPPENSBURG HEALTH CARE CENTER,17257,121 WALNUT BOTTOM ROAD,Cumberland,18.11
43,395270,FOREST PARK HEALTHCARE AND REHABILITATION CENTER,17013,700 WALNUT BOTTOM ROAD,396122,FOX SUBACUTE AT MECHANICSBURG,17055,120 SOUTH FILBERT ST,Cumberland,12.28
44,395270,FOREST PARK HEALTHCARE AND REHABILITATION CENTER,17013,700 WALNUT BOTTOM ROAD,396133,VIBRA REHABILITATION CENTER,17055,707 SHEPERDSTOWN RD,Cumberland,12.44
45,395375,SWAIM HEALTH CENTER,17241,210 BIG SPRING ROAD,395386,BETHANY VILLAGE RETIREMENT CENTER,17055,5225 WILSON LANE,Cumberland,26.89
46,395375,SWAIM HEALTH CENTER,17241,210 BIG SPRING ROAD,395440,MANORCARE HEALTH SERVICES-CAMP HILL,17011,1700 MARKET STREET,Cumberland,33.48
47,395375,SWAIM HEALTH CENTER,17241,210 BIG SPRING ROAD,395445,MESSIAH LIFEWAYS AT MESSIAH VILLAGE,17055,100 MOUNT ALLEN DRIVE,Cumberland,27.62
48,395375,SWAIM HEALTH CENTER,17241,210 BIG SPRING ROAD,395660,CLAREMONT NRC OF CUMBERLAND CO,17013,1000 CLAREMONT ROAD,Cumberland,17.45
49,395375,SWAIM HEALTH CENTER,17241,210 BIG SPRING ROAD,395677,SARAH A TODD MEMORIAL HOME,17013,1000 WEST SOUTH STREET,Cumberland,12.8
50,395375,SWAIM HEALTH CENTER,17241,210 BIG SPRING ROAD,395746,MANORCARE HEALTH SERVICES-CARLISLE,17013,940 WALNUT BOTTOM ROAD,Cumberland,13.23
51,395375,SWAIM HEALTH CENTER,17241,210 BIG SPRING ROAD,395784,"CHURCH OF GOD HOME, INC",17013,801 N. HANOVER STREET,Cumberland,15.7
52,395375,SWAIM HEALTH CENTER,17241,210 BIG SPRING ROAD,395802,THORNWALD HOME,17013,442 WALNUT BOTTOM ROAD,Cumberland,13.37
53,395375,SWAIM HEALTH CENTER,17241,210 BIG SPRING ROAD,395876,CUMBERLAND CROSSINGS RETIREMENT COMMUNITY,17013,1 LONGSDORF WAY,Cumberland,14.98
54,395375,SWAIM HEALTH CENTER,17241,210 BIG SPRING ROAD,395923,CHAPEL POINTE AT CARLISLE,17013,770 S. HANOVER STREET,Cumberland,14.13
55,395375,SWAIM HEALTH CENTER,17241,210 BIG SPRING ROAD,395964,SHIPPENSBURG HEALTH CARE CENTER,17257,121 WALNUT BOTTOM ROAD,Cumberland,13.27
56,395375,SWAIM HEALTH CENTER,17241,210 BIG SPRING ROAD,396122,FOX SUBACUTE AT MECHANICSBURG,17055,120 SOUTH FILBERT ST,Cumberland,24.83
57,395375,SWAIM HEALTH CENTER,17241,210 BIG SPRING ROAD,396133,VIBRA REHABILITATION CENTER,17055,707 SHEPERDSTOWN RD,Cumberland,24.99
58,395386,BETHANY VILLAGE RETIREMENT CENTER,17055,5225 WILSON LANE,395440,MANORCARE HEALTH SERVICES-CAMP HILL,17011,1700 MARKET STREET,Cumberland,5.29
59,395386,BETHANY VILLAGE RETIREMENT CENTER,17055,5225 WILSON LANE,395445,MESSIAH LIFEWAYS AT MESSIAH VILLAGE,17055,100 MOUNT ALLEN DRIVE,Cumberland,3.63
60,395386,BETHANY VILLAGE RETIREMENT CENTER,17055,5225 WILSON LANE,395660,CLAREMONT NRC OF CUMBERLAND CO,17013,1000 CLAREMONT ROAD,Cumberland,14.52
61,395386,BETHANY VILLAGE RETIREMENT CENTER,17055,5225 WILSON LANE,395677,SARAH A TODD MEMORIAL HOME,17013,1000 WEST SOUTH STREET,Cumberland,17.1
62,395386,BETHANY VILLAGE RETIREMENT CENTER,17055,5225 WILSON LANE,395746,MANORCARE HEALTH SERVICES-CARLISLE,17013,940 WALNUT BOTTOM ROAD,Cumberland,14.27
63,395386,BETHANY VILLAGE RETIREMENT CENTER,17055,5225 WILSON LANE,395784,"CHURCH OF GOD HOME, INC",17013,801 N. HANOVER STREET,Cumberland,14.9
64,395386,BETHANY VILLAGE RETIREMENT CENTER,17055,5225 WILSON LANE,395802,THORNWALD HOME,17013,442 WALNUT BOTTOM ROAD,Cumberland,14.11
65,395386,BETHANY VILLAGE RETIREMENT CENTER,17055,5225 WILSON LANE,395876,CUMBERLAND CROSSINGS RETIREMENT COMMUNITY,17013,1 LONGSDORF WAY,Cumberland,14.45
66,395386,BETHANY VILLAGE RETIREMENT CENTER,17055,5225 WILSON LANE,395923,CHAPEL POINTE AT CARLISLE,17013,770 S. HANOVER STREET,Cumberland,16.47
67,395386,BETHANY VILLAGE RETIREMENT CENTER,17055,5225 WILSON LANE,395964,SHIPPENSBURG HEALTH CARE CENTER,17257,121 WALNUT BOTTOM ROAD,Cumberland,31.65
68,395386,BETHANY VILLAGE RETIREMENT CENTER,17055,5225 WILSON LANE,396122,FOX SUBACUTE AT MECHANICSBURG,17055,120 SOUTH FILBERT ST,Cumberland,2.24
