,origin_id,origin_name,origin_zip,origin,destination_id,destination_name,destination_zip,destination,County,DISTANCE
0,395074,SPRING CREEK REHABILITATION AND NURSING CENTER,17111,1205 SOUTH 28TH STREET,395142,"GARDENS AT BLUE RIDGE, THE",17110,3625 NORTH PROGRESS AVE,Dauphin,8.29
1,395074,SPRING CREEK REHABILITATION AND NURSING CENTER,17111,1205 SOUTH 28TH STREET,395347,FREY VILLAGE,17057,1020 NORTH UNION STREET,Dauphin,8.65
2,395074,SPRING CREEK REHABILITATION AND NURSING CENTER,17111,1205 SOUTH 28TH STREET,395372,JEWISH HOME OF GREATER HARRISB,17112,4000 LINGLESTOWN ROAD,Dauphin,10.16
3,395074,SPRING CREEK REHABILITATION AND NURSING CENTER,17111,1205 SOUTH 28TH STREET,395395,COLONIAL PARK CARE CENTER,17109,800 KING RUSS ROAD,Dauphin,4.56
4,395074,SPRING CREEK REHABILITATION AND NURSING CENTER,17111,1205 SOUTH 28TH STREET,395428,"PREMIER AT SUSQUEHANNA FOR NURSING AND REHAB, LLC",17061,990 MEDICAL ROAD,Dauphin,31.47
5,395074,SPRING CREEK REHABILITATION AND NURSING CENTER,17111,1205 SOUTH 28TH STREET,395475,HOMELAND CENTER,17102,1901 NORTH FIFTH STREET,Dauphin,4.26
6,395074,SPRING CREEK REHABILITATION AND NURSING CENTER,17111,1205 SOUTH 28TH STREET,395518,COURTYARD GARDENS NURSING AND REHAB CTR,17057,999 WEST HARRISBURG PIKE,Dauphin,9.02
7,395074,SPRING CREEK REHABILITATION AND NURSING CENTER,17111,1205 SOUTH 28TH STREET,396134,PENN STATE HEALTH TRANSITIONAL CARE,17036,1135 WEST CHOCOLATE AVENUE 2ND FLOOR,Dauphin,9.84
8,395142,"GARDENS AT BLUE RIDGE, THE",17110,3625 NORTH PROGRESS AVE,395347,FREY VILLAGE,17057,1020 NORTH UNION STREET,Dauphin,13.34
9,395142,"GARDENS AT BLUE RIDGE, THE",17110,3625 NORTH PROGRESS AVE,395372,JEWISH HOME OF GREATER HARRISB,17112,4000 LINGLESTOWN ROAD,Dauphin,1.95
10,395142,"GARDENS AT BLUE RIDGE, THE",17110,3625 NORTH PROGRESS AVE,395395,COLONIAL PARK CARE CENTER,17109,800 KING RUSS ROAD,Dauphin,4.45
11,395142,"GARDENS AT BLUE RIDGE, THE",17110,3625 NORTH PROGRESS AVE,395428,"PREMIER AT SUSQUEHANNA FOR NURSING AND REHAB, LLC",17061,990 MEDICAL ROAD,Dauphin,23.84
12,395142,"GARDENS AT BLUE RIDGE, THE",17110,3625 NORTH PROGRESS AVE,395475,HOMELAND CENTER,17102,1901 NORTH FIFTH STREET,Dauphin,4.88
13,395142,"GARDENS AT BLUE RIDGE, THE",17110,3625 NORTH PROGRESS AVE,395518,COURTYARD GARDENS NURSING AND REHAB CTR,17057,999 WEST HARRISBURG PIKE,Dauphin,13.7
14,395142,"GARDENS AT BLUE RIDGE, THE",17110,3625 NORTH PROGRESS AVE,396134,PENN STATE HEALTH TRANSITIONAL CARE,17036,1135 WEST CHOCOLATE AVENUE 2ND FLOOR,Dauphin,14.57
15,395347,FREY VILLAGE,17057,1020 NORTH UNION STREET,395372,JEWISH HOME OF GREATER HARRISB,17112,4000 LINGLESTOWN ROAD,Dauphin,15.09
16,395347,FREY VILLAGE,17057,1020 NORTH UNION STREET,395395,COLONIAL PARK CARE CENTER,17109,800 KING RUSS ROAD,Dauphin,9.5
17,395347,FREY VILLAGE,17057,1020 NORTH UNION STREET,395428,"PREMIER AT SUSQUEHANNA FOR NURSING AND REHAB, LLC",17061,990 MEDICAL ROAD,Dauphin,36.4
18,395347,FREY VILLAGE,17057,1020 NORTH UNION STREET,395475,HOMELAND CENTER,17102,1901 NORTH FIFTH STREET,Dauphin,12.64
