,origin_id,origin_name,origin_zip,origin,destination_id,destination_name,destination_zip,destination,County,DISTANCE
0,395052,BROOMALL PRESBYTERIAN VILLAGE,19008,146 MARPLE ROAD,395078,BROOMALL REHABILITATION AND NURSING CENTER,19008,50 NORTH MALIN ROAD,Delaware,0.81
1,395052,BROOMALL PRESBYTERIAN VILLAGE,19008,146 MARPLE ROAD,395095,"BRYN MAWR TERRACE, THE",19010,773 EAST HAVERFORD ROAD,Delaware,3.87
2,395052,BROOMALL PRESBYTERIAN VILLAGE,19008,146 MARPLE ROAD,395173,WESTGATE HILLS REHABILITATION AND NURSING CTR,19083,2050 OLD WEST CHESTER PIKE,Delaware,1.74
3,395052,BROOMALL PRESBYTERIAN VILLAGE,19008,146 MARPLE ROAD,395193,ROSEMONT CENTER,19010,35 ROSEMONT AVENUE,Delaware,5.19
4,395052,BROOMALL PRESBYTERIAN VILLAGE,19008,146 MARPLE ROAD,395202,BROOMALL MANOR,19008,43 CHURCH LANE,Delaware,0.22
5,395052,BROOMALL PRESBYTERIAN VILLAGE,19008,146 MARPLE ROAD,395203,PROSPECT PARK HEALTH AND REHABILITATION CENTER,19076,815 CHESTER PIKE,Delaware,13.58
6,395052,BROOMALL PRESBYTERIAN VILLAGE,19008,146 MARPLE ROAD,395282,ST FRANCIS CENTER FOR REHABILITATION & HEALTHCARE,19023,1412 LANSDOWNE AVENUE,Delaware,7.12
7,395052,BROOMALL PRESBYTERIAN VILLAGE,19008,146 MARPLE ROAD,395311,BRYN MAWR EXTENDED CARE CENTER,19010,956 RAILROAD AVENUE,Delaware,4.28
8,395052,BROOMALL PRESBYTERIAN VILLAGE,19008,146 MARPLE ROAD,395329,WILLIAM HOOD DUNWOODY CARE CTR,19073,3500 WEST CHESTER PIKE,Delaware,2.13
9,395052,BROOMALL PRESBYTERIAN VILLAGE,19008,146 MARPLE ROAD,395374,MANORCARE HEALTH SERVICES-YEADON,19050,LANSDOWNE AND LINCOLN AVE,Delaware,6.87
10,395052,BROOMALL PRESBYTERIAN VILLAGE,19008,146 MARPLE ROAD,395492,WILLOWBROOKE COURT SKD CARE CENTER AT LIMA ESTATES,19037,411 N. MIDDLETOWN ROAD,Delaware,9.94
11,395052,BROOMALL PRESBYTERIAN VILLAGE,19008,146 MARPLE ROAD,395498,WESLEY ENHANCED LIVING MAIN LINE REHAB AND SKD NSG,19063,100 HALCYON DRIVE,Delaware,3.69
12,395052,BROOMALL PRESBYTERIAN VILLAGE,19008,146 MARPLE ROAD,395595,"BELVEDERE CENTER, GENESIS HEALTHCARE, THE",19013,2507 CHESTNUT STREET,Delaware,10.41
13,395052,BROOMALL PRESBYTERIAN VILLAGE,19008,146 MARPLE ROAD,395685,MANORCARE HEALTH SERVICES - WALLINGFORD,19086,115 SOUTH PROVIDENCE ROAD,Delaware,8.04
14,395052,BROOMALL PRESBYTERIAN VILLAGE,19008,146 MARPLE ROAD,395690,HARLEE MANOR NURSING AND REHABILITATION CENTER,19064,463 WEST SPROUL ROAD,Delaware,4.36
15,395052,BROOMALL PRESBYTERIAN VILLAGE,19008,146 MARPLE ROAD,395736,WILLOWBROOKE COURT-GRANITE,19063,1343 WEST BALTIMORE PIKE,Delaware,10.23
16,395052,BROOMALL PRESBYTERIAN VILLAGE,19008,146 MARPLE ROAD,395741,RIDDLE MEMORIAL HOSP HB SNF,19063,U.S. ROUTE 1,Delaware,49.14
17,395052,BROOMALL PRESBYTERIAN VILLAGE,19008,146 MARPLE ROAD,395753,BEAUMONT AT BRYN MAWR,19010,601 NORTH ITHAN AVENUE,Delaware,6.77
18,395052,BROOMALL PRESBYTERIAN VILLAGE,19008,146 MARPLE ROAD,395780,FAIR ACRES GERIATRIC CENTER,19037,340 N. MIDDLETOWN ROAD,Delaware,9.91
19,395052,BROOMALL PRESBYTERIAN VILLAGE,19008,146 MARPLE ROAD,395801,QUADRANGLE,19041,3300 DARBY ROAD,Delaware,2.54
20,395052,BROOMALL PRESBYTERIAN VILLAGE,19008,146 MARPLE ROAD,395821,LITTLE FLOWER MANOR,19023,1201 SPRINGFIELD ROAD,Delaware,7.64
21,395052,BROOMALL PRESBYTERIAN VILLAGE,19008,146 MARPLE ROAD,395833,HCC AT WHITE HORSE VILLAGE,19073,535 GRADYVILLE ROAD,Delaware,7.38
22,395052,BROOMALL PRESBYTERIAN VILLAGE,19008,146 MARPLE ROAD,395917,BRINTON MANOR NURSING AND REHABILITATION CENTER,19342,549 BALTIMORE PIKE,Delaware,13.74
23,395052,BROOMALL PRESBYTERIAN VILLAGE,19008,146 MARPLE ROAD,395952,NAAMANS CREEK COUNTRY MANOR,19061,1194 NAAMANS CREEK ROAD,Delaware,19.8
24,395052,BROOMALL PRESBYTERIAN VILLAGE,19008,146 MARPLE ROAD,395974,MONTICELLO HOUSE,19063,1048 W BALTIMORE AVENUE,Delaware,9.54
25,395052,BROOMALL PRESBYTERIAN VILLAGE,19008,146 MARPLE ROAD,395989,PROVIDENCE REHAB AND HLTHCARE CTRATMERCYFITZGERALD,19050,600 SOUTH WYCOMBE AVE,Delaware,7.12
26,395052,BROOMALL PRESBYTERIAN VILLAGE,19008,146 MARPLE ROAD,396083,STERLING HEALTH CARE AND REHAB CENTER,19063,318 SOUTH ORANGE STREET,Delaware,8.22
27,395052,BROOMALL PRESBYTERIAN VILLAGE,19008,146 MARPLE ROAD,396099,CONNER-WILLIAMS NURSING HOME,19078,105 MORTON AVENUE,Delaware,12.12
28,395052,BROOMALL PRESBYTERIAN VILLAGE,19008,146 MARPLE ROAD,396123,CONTINUING CARE  AT MARIS GROVE,19342,500 MARIS GROVE WAY,Delaware,15.49
29,395078,BROOMALL REHABILITATION AND NURSING CENTER,19008,50 NORTH MALIN ROAD,395095,"BRYN MAWR TERRACE, THE",19010,773 EAST HAVERFORD ROAD,Delaware,4.85
30,395078,BROOMALL REHABILITATION AND NURSING CENTER,19008,50 NORTH MALIN ROAD,395173,WESTGATE HILLS REHABILITATION AND NURSING CTR,19083,2050 OLD WEST CHESTER PIKE,Delaware,2.16
31,395078,BROOMALL REHABILITATION AND NURSING CENTER,19008,50 NORTH MALIN ROAD,395193,ROSEMONT CENTER,19010,35 ROSEMONT AVENUE,Delaware,5.56
32,395078,BROOMALL REHABILITATION AND NURSING CENTER,19008,50 NORTH MALIN ROAD,395202,BROOMALL MANOR,19008,43 CHURCH LANE,Delaware,0.86
33,395078,BROOMALL REHABILITATION AND NURSING CENTER,19008,50 NORTH MALIN ROAD,395203,PROSPECT PARK HEALTH AND REHABILITATION CENTER,19076,815 CHESTER PIKE,Delaware,14.0
34,395078,BROOMALL REHABILITATION AND NURSING CENTER,19008,50 NORTH MALIN ROAD,395282,ST FRANCIS CENTER FOR REHABILITATION & HEALTHCARE,19023,1412 LANSDOWNE AVENUE,Delaware,7.54
35,395078,BROOMALL REHABILITATION AND NURSING CENTER,19008,50 NORTH MALIN ROAD,395311,BRYN MAWR EXTENDED CARE CENTER,19010,956 RAILROAD AVENUE,Delaware,4.65
36,395078,BROOMALL REHABILITATION AND NURSING CENTER,19008,50 NORTH MALIN ROAD,395329,WILLIAM HOOD DUNWOODY CARE CTR,19073,3500 WEST CHESTER PIKE,Delaware,1.66
37,395078,BROOMALL REHABILITATION AND NURSING CENTER,19008,50 NORTH MALIN ROAD,395374,MANORCARE HEALTH SERVICES-YEADON,19050,LANSDOWNE AND LINCOLN AVE,Delaware,7.29
38,395078,BROOMALL REHABILITATION AND NURSING CENTER,19008,50 NORTH MALIN ROAD,395492,WILLOWBROOKE COURT SKD CARE CENTER AT LIMA ESTATES,19037,411 N. MIDDLETOWN ROAD,Delaware,10.36
