,origin_id,origin_name,origin_zip,origin,destination_id,destination_name,destination_zip,destination,County,DISTANCE
0,395243,LAUREL RIDGE CENTER,15401,75 HICKLE STREET,395629,MT MACRINA MANOR,15401,520 WEST MAIN STREET,Fayette,2.24
1,395243,LAUREL RIDGE CENTER,15401,75 HICKLE STREET,395674,UNIONTOWN HEALTHCARE AND REHABILITATION CENTER,15401,129 FRANKLIN AVENUE,Fayette,2.91
2,395243,LAUREL RIDGE CENTER,15401,75 HICKLE STREET,395795,"LAFAYETTE MANOR, INC",15401,147 LAFAYETTE MANOR ROAD,Fayette,2.77
3,395243,LAUREL RIDGE CENTER,15401,75 HICKLE STREET,395870,QUALITY LIFE SERVICES - MARKLEYSBURG,15459,252 MAIN STREET,Fayette,20.68
4,395243,LAUREL RIDGE CENTER,15401,75 HICKLE STREET,395906,QUALITY LIFE SERVICES - HENRY CLAY,15459,5253 NATIONAL PIKE,Fayette,18.32
5,395243,LAUREL RIDGE CENTER,15401,75 HICKLE STREET,395977,CHERRY TREE NURSING CENTER,15401,410 TERRACE DRIVE,Fayette,3.11
6,395629,MT MACRINA MANOR,15401,520 WEST MAIN STREET,395674,UNIONTOWN HEALTHCARE AND REHABILITATION CENTER,15401,129 FRANKLIN AVENUE,Fayette,2.88
7,395629,MT MACRINA MANOR,15401,520 WEST MAIN STREET,395795,"LAFAYETTE MANOR, INC",15401,147 LAFAYETTE MANOR ROAD,Fayette,0.53
8,395629,MT MACRINA MANOR,15401,520 WEST MAIN STREET,395870,QUALITY LIFE SERVICES - MARKLEYSBURG,15459,252 MAIN STREET,Fayette,24.27
9,395629,MT MACRINA MANOR,15401,520 WEST MAIN STREET,395906,QUALITY LIFE SERVICES - HENRY CLAY,15459,5253 NATIONAL PIKE,Fayette,21.91
10,395629,MT MACRINA MANOR,15401,520 WEST MAIN STREET,395977,CHERRY TREE NURSING CENTER,15401,410 TERRACE DRIVE,Fayette,1.93
11,395674,UNIONTOWN HEALTHCARE AND REHABILITATION CENTER,15401,129 FRANKLIN AVENUE,395795,"LAFAYETTE MANOR, INC",15401,147 LAFAYETTE MANOR ROAD,Fayette,3.43
12,395674,UNIONTOWN HEALTHCARE AND REHABILITATION CENTER,15401,129 FRANKLIN AVENUE,395870,QUALITY LIFE SERVICES - MARKLEYSBURG,15459,252 MAIN STREET,Fayette,22.15
13,395674,UNIONTOWN HEALTHCARE AND REHABILITATION CENTER,15401,129 FRANKLIN AVENUE,395906,QUALITY LIFE SERVICES - HENRY CLAY,15459,5253 NATIONAL PIKE,Fayette,19.79
14,395674,UNIONTOWN HEALTHCARE AND REHABILITATION CENTER,15401,129 FRANKLIN AVENUE,395977,CHERRY TREE NURSING CENTER,15401,410 TERRACE DRIVE,Fayette,2.76
15,395795,"LAFAYETTE MANOR, INC",15401,147 LAFAYETTE MANOR ROAD,395870,QUALITY LIFE SERVICES - MARKLEYSBURG,15459,252 MAIN STREET,Fayette,24.8
16,395795,"LAFAYETTE MANOR, INC",15401,147 LAFAYETTE MANOR ROAD,395906,QUALITY LIFE SERVICES - HENRY CLAY,15459,5253 NATIONAL PIKE,Fayette,22.45
17,395795,"LAFAYETTE MANOR, INC",15401,147 LAFAYETTE MANOR ROAD,395977,CHERRY TREE NURSING CENTER,15401,410 TERRACE DRIVE,Fayette,1.67
18,395870,QUALITY LIFE SERVICES - MARKLEYSBURG,15459,252 MAIN STREET,395906,QUALITY LIFE SERVICES - HENRY CLAY,15459,5253 NATIONAL PIKE,Fayette,2.36
19,395870,QUALITY LIFE SERVICES - MARKLEYSBURG,15459,252 MAIN STREET,395977,CHERRY TREE NURSING CENTER,15401,410 TERRACE DRIVE,Fayette,24.2
20,395906,QUALITY LIFE SERVICES - HENRY CLAY,15459,5253 NATIONAL PIKE,395977,CHERRY TREE NURSING CENTER,15401,410 TERRACE DRIVE,Fayette,21.83
