,origin_id,origin_name,origin_zip,origin,destination_id,destination_name,destination_zip,destination,County,DISTANCE
0,395313,SCENERY HILL HEALTHCARE AND REHABILITATION CENTER,15701,680 LIONS HEALTH CAMP RD,395568,JULIA POUND CARE CENTER,15701,1155 INDIAN SPRINGS ROAD,Indiana,3.5
1,395313,SCENERY HILL HEALTHCARE AND REHABILITATION CENTER,15701,680 LIONS HEALTH CAMP RD,395569,HILLSDALE PARK REHAB CENTER,15746,383 MOUNTAIN VIEW DRIVE,Indiana,23.25
2,395313,SCENERY HILL HEALTHCARE AND REHABILITATION CENTER,15701,680 LIONS HEALTH CAMP RD,395702,"BEACON RIDGE, A CHOICE COMM",15701,1515 WAYNE AVENUE,Indiana,4.76
3,395313,SCENERY HILL HEALTHCARE AND REHABILITATION CENTER,15701,680 LIONS HEALTH CAMP RD,395778,"COMMUNITIES AT INDIAN HAVEN,",15701,1675 SALTSBURG AVENUE,Indiana,3.57
4,395568,JULIA POUND CARE CENTER,15701,1155 INDIAN SPRINGS ROAD,395569,HILLSDALE PARK REHAB CENTER,15746,383 MOUNTAIN VIEW DRIVE,Indiana,26.15
5,395568,JULIA POUND CARE CENTER,15701,1155 INDIAN SPRINGS ROAD,395702,"BEACON RIDGE, A CHOICE COMM",15701,1515 WAYNE AVENUE,Indiana,1.76
6,395568,JULIA POUND CARE CENTER,15701,1155 INDIAN SPRINGS ROAD,395778,"COMMUNITIES AT INDIAN HAVEN,",15701,1675 SALTSBURG AVENUE,Indiana,1.51
7,395569,HILLSDALE PARK REHAB CENTER,15746,383 MOUNTAIN VIEW DRIVE,395702,"BEACON RIDGE, A CHOICE COMM",15701,1515 WAYNE AVENUE,Indiana,24.03
8,395569,HILLSDALE PARK REHAB CENTER,15746,383 MOUNTAIN VIEW DRIVE,395778,"COMMUNITIES AT INDIAN HAVEN,",15701,1675 SALTSBURG AVENUE,Indiana,21.37
9,395702,"BEACON RIDGE, A CHOICE COMM",15701,1515 WAYNE AVENUE,395778,"COMMUNITIES AT INDIAN HAVEN,",15701,1675 SALTSBURG AVENUE,Indiana,2.16
