,origin_id,origin_name,origin_zip,origin,destination_id,destination_name,destination_zip,destination,County,DISTANCE
0,395067,GREEN RIDGE CARE CENTER,18509,2741 BOULEVARD AVENUE,395103,JEWISH HOME OF EASTERN PENNSYL,18510,1101 VINE STREET,Lackawanna,3.13
1,395067,GREEN RIDGE CARE CENTER,18509,2741 BOULEVARD AVENUE,395104,SAINT MARY'S VILLA NURSING HOM,18444,516 ST. MARY'S VILLA ROAD,Lackawanna,10.97
2,395067,GREEN RIDGE CARE CENTER,18509,2741 BOULEVARD AVENUE,395260,CARBONDALE NURSING AND REHABILITATION CENTER,18407,10 HART PLACE,Lackawanna,13.21
3,395067,GREEN RIDGE CARE CENTER,18509,2741 BOULEVARD AVENUE,395273,"GARDENS AT SCRANTON, THE",18510,824 ADAMS AVENUE,Lackawanna,2.25
4,395067,GREEN RIDGE CARE CENTER,18509,2741 BOULEVARD AVENUE,395414,LACKAWANNA HEALTH AND REHAB CENTER,18447,108 TERRACE DRIVE,Lackawanna,5.28
5,395067,GREEN RIDGE CARE CENTER,18509,2741 BOULEVARD AVENUE,395564,RIVERSIDE REHABILITATION AND NURSING CENTER,18517,500 WEST HOSPITAL STREET,Lackawanna,8.33
6,395067,GREEN RIDGE CARE CENTER,18509,2741 BOULEVARD AVENUE,395567,DUNMORE HEALTH CARE CENTER,18512,1000 MILL STREET,Lackawanna,2.86
7,395067,GREEN RIDGE CARE CENTER,18509,2741 BOULEVARD AVENUE,395625,HOLY FAMILY RESIDENCE,18509,2500 ADAMS AVENUE,Lackawanna,0.63
8,395067,GREEN RIDGE CARE CENTER,18509,2741 BOULEVARD AVENUE,395644,MID-VALLEY HEALTH CARE CENTER,18452,81 STURGES ROAD,Lackawanna,5.48
9,395067,GREEN RIDGE CARE CENTER,18509,2741 BOULEVARD AVENUE,395701,ABINGTON MANOR,18411,100 EDELLA ROAD,Lackawanna,6.02
10,395067,GREEN RIDGE CARE CENTER,18509,2741 BOULEVARD AVENUE,395717,LINWOOD NURSING AND REHABILITATION CENTER,18505,100 LYNWOOD AVENUE,Lackawanna,7.29
11,395067,GREEN RIDGE CARE CENTER,18509,2741 BOULEVARD AVENUE,395881,MOUNTAIN VIEW CARE AND REHABILITATION CENTER,18505,2309 STAFFORD AVENUE,Lackawanna,10.21
12,395067,GREEN RIDGE CARE CENTER,18509,2741 BOULEVARD AVENUE,395984,CREEKSIDE HEALTH AND REHABILITATION CENTER,18407,45 NORTH SCOTT STREET,Lackawanna,12.47
13,395067,GREEN RIDGE CARE CENTER,18509,2741 BOULEVARD AVENUE,396074,ALLIED SERVICES SKILLED NURSING CENTER,18501,303 SMALLACOMBE DRIVE,Lackawanna,2.35
14,395067,GREEN RIDGE CARE CENTER,18509,2741 BOULEVARD AVENUE,396095,SCRANTON HEALTH CARE CENTER,18505,2933 MCCARTHY STREET,Lackawanna,10.48
15,395067,GREEN RIDGE CARE CENTER,18509,2741 BOULEVARD AVENUE,396135,ALLIED SERVICES TRANSITIONAL REHAB UNIT,18508,475 MORGAN HIGHWAY,Lackawanna,2.76
16,395067,GREEN RIDGE CARE CENTER,18509,2741 BOULEVARD AVENUE,39A433,GINO J MERLI VETERANS CENTER,18503,401 PENN AVENUE,Lackawanna,2.5
17,395103,JEWISH HOME OF EASTERN PENNSYL,18510,1101 VINE STREET,395104,SAINT MARY'S VILLA NURSING HOM,18444,516 ST. MARY'S VILLA ROAD,Lackawanna,9.2
