,origin_id,origin_name,origin,destination_id,destination_name,destination,County,DISTANCE
0,395003,QUALITY LIFE SERVICES - NEW CASTLE,520 FRIENDSHIP STREET,395197,"GROVE AT NEW WILMINGTON, THE",520 NEW CASTLE STREET,Lawrence,9.559792835
1,395003,QUALITY LIFE SERVICES - NEW CASTLE,520 FRIENDSHIP STREET,395524,"GROVE AT NEW CASTLE, THE",715 HARBOR STREET,Lawrence,2.488590855
2,395003,QUALITY LIFE SERVICES - NEW CASTLE,520 FRIENDSHIP STREET,395536,EDISON MANOR NURSING & REHABILITATION CENTER,222 WEST EDISON AVENUE,Lawrence,2.162992451
3,395003,QUALITY LIFE SERVICES - NEW CASTLE,520 FRIENDSHIP STREET,396049,JAMESON CARE CENTER,3349 WILMINGTON ROAD,Lawrence,5.347518826
4,395003,QUALITY LIFE SERVICES - NEW CASTLE,520 FRIENDSHIP STREET,396075,AVALON PLACE,3410 W. PITTSBURGH RD,Lawrence,1.703177911
5,395003,QUALITY LIFE SERVICES - NEW CASTLE,520 FRIENDSHIP STREET,396105,SHENANGO PRESBYTERIAN SENIORCARE,238 SOUTH MARKET STREET,Lawrence,9.877934787000001
6,395003,QUALITY LIFE SERVICES - NEW CASTLE,520 FRIENDSHIP STREET,396106,"HAVEN CONVALESCENT HOME, INC",725 PAUL STREET,Lawrence,0.812131897
7,395197,"GROVE AT NEW WILMINGTON, THE",520 NEW CASTLE STREET,395524,"GROVE AT NEW CASTLE, THE",715 HARBOR STREET,Lawrence,10.145124317
8,395197,"GROVE AT NEW WILMINGTON, THE",520 NEW CASTLE STREET,395536,EDISON MANOR NURSING & REHABILITATION CENTER,222 WEST EDISON AVENUE,Lawrence,7.827410487
9,395197,"GROVE AT NEW WILMINGTON, THE",520 NEW CASTLE STREET,396049,JAMESON CARE CENTER,3349 WILMINGTON ROAD,Lawrence,4.224080058
10,395197,"GROVE AT NEW WILMINGTON, THE",520 NEW CASTLE STREET,396075,AVALON PLACE,3410 W. PITTSBURGH RD,Lawrence,13.075509953000001
11,395197,"GROVE AT NEW WILMINGTON, THE",520 NEW CASTLE STREET,396105,SHENANGO PRESBYTERIAN SENIORCARE,238 SOUTH MARKET STREET,Lawrence,0.580981885
12,395197,"GROVE AT NEW WILMINGTON, THE",520 NEW CASTLE STREET,396106,"HAVEN CONVALESCENT HOME, INC",725 PAUL STREET,Lawrence,9.737504941000001
13,395524,"GROVE AT NEW CASTLE, THE",715 HARBOR STREET,395536,EDISON MANOR NURSING & REHABILITATION CENTER,222 WEST EDISON AVENUE,Lawrence,1.520494837
14,395524,"GROVE AT NEW CASTLE, THE",715 HARBOR STREET,396049,JAMESON CARE CENTER,3349 WILMINGTON ROAD,Lawrence,6.525638242
15,395524,"GROVE AT NEW CASTLE, THE",715 HARBOR STREET,396075,AVALON PLACE,3410 W. PITTSBURGH RD,Lawrence,3.073922337
16,395524,"GROVE AT NEW CASTLE, THE",715 HARBOR STREET,396105,SHENANGO PRESBYTERIAN SENIORCARE,238 SOUTH MARKET STREET,Lawrence,9.87358519
17,395524,"GROVE AT NEW CASTLE, THE",715 HARBOR STREET,396106,"HAVEN CONVALESCENT HOME, INC",725 PAUL STREET,Lawrence,2.636477153
18,395536,EDISON MANOR NURSING & REHABILITATION CENTER,222 WEST EDISON AVENUE,396049,JAMESON CARE CENTER,3349 WILMINGTON ROAD,Lawrence,3.604573171
19,395536,EDISON MANOR NURSING & REHABILITATION CENTER,222 WEST EDISON AVENUE,396075,AVALON PLACE,3410 W. PITTSBURGH RD,Lawrence,2.752052159
20,395536,EDISON MANOR NURSING & REHABILITATION CENTER,222 WEST EDISON AVENUE,396105,SHENANGO PRESBYTERIAN SENIORCARE,238 SOUTH MARKET STREET,Lawrence,8.397829065
21,395536,EDISON MANOR NURSING & REHABILITATION CENTER,222 WEST EDISON AVENUE,396106,"HAVEN CONVALESCENT HOME, INC",725 PAUL STREET,Lawrence,2.33014125
22,396049,JAMESON CARE CENTER,3349 WILMINGTON ROAD,396075,AVALON PLACE,3410 W. PITTSBURGH RD,Lawrence,5.934714421
23,396049,JAMESON CARE CENTER,3349 WILMINGTON ROAD,396105,SHENANGO PRESBYTERIAN SENIORCARE,238 SOUTH MARKET STREET,Lawrence,4.7932558940000005
24,396049,JAMESON CARE CENTER,3349 WILMINGTON ROAD,396106,"HAVEN CONVALESCENT HOME, INC",725 PAUL STREET,Lawrence,5.513424883
25,396075,AVALON PLACE,3410 W. PITTSBURGH RD,396105,SHENANGO PRESBYTERIAN SENIORCARE,238 SOUTH MARKET STREET,Lawrence,13.104093019
26,396075,AVALON PLACE,3410 W. PITTSBURGH RD,396106,"HAVEN CONVALESCENT HOME, INC",725 PAUL STREET,Lawrence,2.415269077
27,396105,SHENANGO PRESBYTERIAN SENIORCARE,238 SOUTH MARKET STREET,396106,"HAVEN CONVALESCENT HOME, INC",725 PAUL STREET,Lawrence,10.053161409
