,origin_id,origin_name,origin_zip,origin,destination_id,destination_name,destination_zip,destination,County,DISTANCE
0,395148,TIMBER RIDGE HEALTH CENTER,18711,1555 EAST END BOULEVARD PLAINS TWP,395249,HAMPTON HOUSE,18702,1548 SANS SOUCI PARKWAY,Luzerne,10.89
1,395148,TIMBER RIDGE HEALTH CENTER,18711,1555 EAST END BOULEVARD PLAINS TWP,395265,"PAVILION AT ST LUKE VILLAGE, THE",18201,1000 STACIE DRIVE,Luzerne,34.02
2,395148,TIMBER RIDGE HEALTH CENTER,18711,1555 EAST END BOULEVARD PLAINS TWP,395298,GUARDIAN HEALTHCARE AND REHABILITATION CENTER,18634,147 OLD NEWPORT STREET,Luzerne,13.7
3,395148,TIMBER RIDGE HEALTH CENTER,18711,1555 EAST END BOULEVARD PLAINS TWP,395324,LITTLE FLOWER MANOR OF DIOCESE,18702,200 S. MEADE STREET,Luzerne,3.21
4,395148,TIMBER RIDGE HEALTH CENTER,18711,1555 EAST END BOULEVARD PLAINS TWP,395345,RIVER RUN REHAB AND NURSING CENTER,18704,615 WYOMING AVENUE,Luzerne,4.42
5,395148,TIMBER RIDGE HEALTH CENTER,18711,1555 EAST END BOULEVARD PLAINS TWP,395397,MANORCARE HEALTH SERVICES-KINGSTON,18704,200 SECOND AVENUE,Luzerne,5.22
6,395148,TIMBER RIDGE HEALTH CENTER,18711,1555 EAST END BOULEVARD PLAINS TWP,395456,"GARDENS AT WYOMING VALLEY, THE",18701,50 N. PENNSYLVANIA AVE.,Luzerne,2.78
7,395148,TIMBER RIDGE HEALTH CENTER,18711,1555 EAST END BOULEVARD PLAINS TWP,395484,KADIMA REHABILITATION & NURSING AT LUZERNE,18222,463 NORTH HUNTER HWY,Luzerne,20.07
8,395148,TIMBER RIDGE HEALTH CENTER,18711,1555 EAST END BOULEVARD PLAINS TWP,395542,MOUNTAIN TOP HEALTHCARE AND REHABILITATION  CENTER,18707,185 SOUTH MOUNTAIN BOULEVARD,Luzerne,11.09
9,395148,TIMBER RIDGE HEALTH CENTER,18711,1555 EAST END BOULEVARD PLAINS TWP,395566,HIGHLAND MANOR REHABILITATION AND NURSING CENTER,18643,750 SCHOOLEY AVENUE,Luzerne,8.9
10,395148,TIMBER RIDGE HEALTH CENTER,18711,1555 EAST END BOULEVARD PLAINS TWP,395581,ST LUKES VILLA,18701,80 E. NORTHAMPTON STREET,Luzerne,3.11
11,395148,TIMBER RIDGE HEALTH CENTER,18711,1555 EAST END BOULEVARD PLAINS TWP,395582,MOUNTAIN CITY NURSING & REHABILITATION CENTER,18202,403 HAZLE TOWNSHIP BOULEVARD,Luzerne,25.95
12,395148,TIMBER RIDGE HEALTH CENTER,18711,1555 EAST END BOULEVARD PLAINS TWP,395587,MEADOWS NURSING AND REHABILITATION CENTER,18612,4 EAST CENTER STREET,Luzerne,8.8
13,395148,TIMBER RIDGE HEALTH CENTER,18711,1555 EAST END BOULEVARD PLAINS TWP,395602,WESLEY VILLAGE,18640,209 ROBERTS ROAD,Luzerne,6.39
14,395148,TIMBER RIDGE HEALTH CENTER,18711,1555 EAST END BOULEVARD PLAINS TWP,395636,"MANOR AT ST LUKE VILLAGE,THE",18201,1711 EAST BROAD STREET,Luzerne,33.92
15,395148,TIMBER RIDGE HEALTH CENTER,18711,1555 EAST END BOULEVARD PLAINS TWP,395651,BIRCHWOOD NURSING AND REHABILITATION CENTER,18634,395 MIDDLE ROAD,Luzerne,11.58
16,395148,TIMBER RIDGE HEALTH CENTER,18711,1555 EAST END BOULEVARD PLAINS TWP,395691,RIVERSTREET MANOR,18702,440 NORTH RIVER STREET,Luzerne,3.83
17,395148,TIMBER RIDGE HEALTH CENTER,18711,1555 EAST END BOULEVARD PLAINS TWP,395706,"GARDENS AT EAST MOUNTAIN, THE",18702,101 EAST MOUNTAIN DRIVE,Luzerne,2.16
18,395148,TIMBER RIDGE HEALTH CENTER,18711,1555 EAST END BOULEVARD PLAINS TWP,395716,SMITH HEALTH CARE LTD,18707,453 SOUTH MAIN ROAD,Luzerne,15.72
19,395148,TIMBER RIDGE HEALTH CENTER,18711,1555 EAST END BOULEVARD PLAINS TWP,395730,KADIMA REHABILITATION & NURSING AT LAKESIDE,18612,245 OLD LAKE ROAD,Luzerne,13.92
20,395148,TIMBER RIDGE HEALTH CENTER,18711,1555 EAST END BOULEVARD PLAINS TWP,395850,MERCY CENTER NURSING UNIT INC,18612,"P O BOX 370, LAKE STREET",Luzerne,11.48
21,395148,TIMBER RIDGE HEALTH CENTER,18711,1555 EAST END BOULEVARD PLAINS TWP,395905,KINGSTON HEALTH CARE CENTER,18704,702 THIRD AVENUE,Luzerne,4.52
22,395148,TIMBER RIDGE HEALTH CENTER,18711,1555 EAST END BOULEVARD PLAINS TWP,396109,HEINZ TRANSITIONAL REHABILITATION UNIT,18702,150 MUNDY STREET,Luzerne,1.7
23,395249,HAMPTON HOUSE,18702,1548 SANS SOUCI PARKWAY,395265,"PAVILION AT ST LUKE VILLAGE, THE",18201,1000 STACIE DRIVE,Luzerne,31.32
24,395249,HAMPTON HOUSE,18702,1548 SANS SOUCI PARKWAY,395298,GUARDIAN HEALTHCARE AND REHABILITATION CENTER,18634,147 OLD NEWPORT STREET,Luzerne,4.57
25,395249,HAMPTON HOUSE,18702,1548 SANS SOUCI PARKWAY,395324,LITTLE FLOWER MANOR OF DIOCESE,18702,200 S. MEADE STREET,Luzerne,4.46
26,395249,HAMPTON HOUSE,18702,1548 SANS SOUCI PARKWAY,395345,RIVER RUN REHAB AND NURSING CENTER,18704,615 WYOMING AVENUE,Luzerne,5.88
27,395249,HAMPTON HOUSE,18702,1548 SANS SOUCI PARKWAY,395397,MANORCARE HEALTH SERVICES-KINGSTON,18704,200 SECOND AVENUE,Luzerne,4.8
28,395249,HAMPTON HOUSE,18702,1548 SANS SOUCI PARKWAY,395456,"GARDENS AT WYOMING VALLEY, THE",18701,50 N. PENNSYLVANIA AVE.,Luzerne,4.32
29,395249,HAMPTON HOUSE,18702,1548 SANS SOUCI PARKWAY,395484,KADIMA REHABILITATION & NURSING AT LUZERNE,18222,463 NORTH HUNTER HWY,Luzerne,17.37
30,395249,HAMPTON HOUSE,18702,1548 SANS SOUCI PARKWAY,395542,MOUNTAIN TOP HEALTHCARE AND REHABILITATION  CENTER,18707,185 SOUTH MOUNTAIN BOULEVARD,Luzerne,8.97
31,395249,HAMPTON HOUSE,18702,1548 SANS SOUCI PARKWAY,395566,HIGHLAND MANOR REHABILITATION AND NURSING CENTER,18643,750 SCHOOLEY AVENUE,Luzerne,11.6
32,395249,HAMPTON HOUSE,18702,1548 SANS SOUCI PARKWAY,395581,ST LUKES VILLA,18701,80 E. NORTHAMPTON STREET,Luzerne,4.07
33,395249,HAMPTON HOUSE,18702,1548 SANS SOUCI PARKWAY,395582,MOUNTAIN CITY NURSING & REHABILITATION CENTER,18202,403 HAZLE TOWNSHIP BOULEVARD,Luzerne,23.26
34,395249,HAMPTON HOUSE,18702,1548 SANS SOUCI PARKWAY,395587,MEADOWS NURSING AND REHABILITATION CENTER,18612,4 EAST CENTER STREET,Luzerne,10.12
35,395249,HAMPTON HOUSE,18702,1548 SANS SOUCI PARKWAY,395602,WESLEY VILLAGE,18640,209 ROBERTS ROAD,Luzerne,9.24
