,origin_id,origin_name,origin_zip,origin,destination_id,destination_name,destination_zip,destination,County,DISTANCE
0,395359,MANORCARE HEALTH SERVICES-JERSEY SHORE,17740,1008 THOMPSON STREET,395364,MANORCARE HEALTH SERVICES-WILLIAMSPORT NORTH,17701,300 LEADER DRIVE,Lycoming,18.6
1,395359,MANORCARE HEALTH SERVICES-JERSEY SHORE,17740,1008 THOMPSON STREET,395379,LOYALSOCK REHAB CENTER,17754,1445 SYCAMORE ROAD,Lycoming,18.79
2,395359,MANORCARE HEALTH SERVICES-JERSEY SHORE,17740,1008 THOMPSON STREET,395396,MANORCARE HEALTH SERVICES-WILLIAMSPORT SOUTH,17701,101 LEADER DRIVE,Lycoming,18.62
3,395359,MANORCARE HEALTH SERVICES-JERSEY SHORE,17740,1008 THOMPSON STREET,395571,SUSQUEHANNA HEALTH SKILLED NURSING & REHABILITATIO,17756,215 EAST WATER STREET,Lycoming,29.76
4,395359,MANORCARE HEALTH SERVICES-JERSEY SHORE,17740,1008 THOMPSON STREET,395678,"WILLIAMSPORT HOME, THE",17701,1900 RAVINE ROAD,Lycoming,17.61
5,395359,MANORCARE HEALTH SERVICES-JERSEY SHORE,17740,1008 THOMPSON STREET,395767,ROSE VIEW NURSING AND REHABILITATION CENTER,17701,1201 RURAL AVENUE,Lycoming,15.49
6,395359,MANORCARE HEALTH SERVICES-JERSEY SHORE,17740,1008 THOMPSON STREET,395895,VALLEY VIEW REHAB AND NURSING CENTER,17754,2140 WARRENSVILLE ROAD,Lycoming,20.9
7,395364,MANORCARE HEALTH SERVICES-WILLIAMSPORT NORTH,17701,300 LEADER DRIVE,395379,LOYALSOCK REHAB CENTER,17754,1445 SYCAMORE ROAD,Lycoming,1.86
8,395364,MANORCARE HEALTH SERVICES-WILLIAMSPORT NORTH,17701,300 LEADER DRIVE,395396,MANORCARE HEALTH SERVICES-WILLIAMSPORT SOUTH,17701,101 LEADER DRIVE,Lycoming,0.02
9,395364,MANORCARE HEALTH SERVICES-WILLIAMSPORT NORTH,17701,300 LEADER DRIVE,395571,SUSQUEHANNA HEALTH SKILLED NURSING & REHABILITATIO,17756,215 EAST WATER STREET,Lycoming,14.26
10,395364,MANORCARE HEALTH SERVICES-WILLIAMSPORT NORTH,17701,300 LEADER DRIVE,395678,"WILLIAMSPORT HOME, THE",17701,1900 RAVINE ROAD,Lycoming,3.04
11,395364,MANORCARE HEALTH SERVICES-WILLIAMSPORT NORTH,17701,300 LEADER DRIVE,395767,ROSE VIEW NURSING AND REHABILITATION CENTER,17701,1201 RURAL AVENUE,Lycoming,3.52
12,395364,MANORCARE HEALTH SERVICES-WILLIAMSPORT NORTH,17701,300 LEADER DRIVE,395895,VALLEY VIEW REHAB AND NURSING CENTER,17754,2140 WARRENSVILLE ROAD,Lycoming,3.29
13,395379,LOYALSOCK REHAB CENTER,17754,1445 SYCAMORE ROAD,395396,MANORCARE HEALTH SERVICES-WILLIAMSPORT SOUTH,17701,101 LEADER DRIVE,Lycoming,1.88
14,395379,LOYALSOCK REHAB CENTER,17754,1445 SYCAMORE ROAD,395571,SUSQUEHANNA HEALTH SKILLED NURSING & REHABILITATIO,17756,215 EAST WATER STREET,Lycoming,12.71
15,395379,LOYALSOCK REHAB CENTER,17754,1445 SYCAMORE ROAD,395678,"WILLIAMSPORT HOME, THE",17701,1900 RAVINE ROAD,Lycoming,4.66
