,origin_id,origin_name,origin_zip,origin,destination_id,destination_name,destination_zip,destination,County,DISTANCE
0,395355,"PAVILION AT BRMC, THE",16701,200 PLEASANT STREET,395700,BRADFORD MANOR,16701,50 LANG MAID LANE,Mc Kean,2.01
1,395355,"PAVILION AT BRMC, THE",16701,200 PLEASANT STREET,395775,SENA KEAN MANOR,16749,17083 ROUTE 6,Mc Kean,20.96
2,395355,"PAVILION AT BRMC, THE",16701,200 PLEASANT STREET,395816,"LUTHERAN HOME AT KANE, THE",16735,100 HIGH POINT DRIVE,Mc Kean,28.03
3,395355,"PAVILION AT BRMC, THE",16701,200 PLEASANT STREET,395867,LAKEVIEW HEALTHCARE AND REHABILITATION CENTER,16749,15 WEST WILLOW STREET,Mc Kean,19.98
4,395355,"PAVILION AT BRMC, THE",16701,200 PLEASANT STREET,395908,"BRADFORD ECUMENICAL HOME, INC",16701,100 SAINT FRANCIS DRIVE,Mc Kean,2.23
5,395700,BRADFORD MANOR,16701,50 LANG MAID LANE,395775,SENA KEAN MANOR,16749,17083 ROUTE 6,Mc Kean,22.26
6,395700,BRADFORD MANOR,16701,50 LANG MAID LANE,395816,"LUTHERAN HOME AT KANE, THE",16735,100 HIGH POINT DRIVE,Mc Kean,29.33
7,395700,BRADFORD MANOR,16701,50 LANG MAID LANE,395867,LAKEVIEW HEALTHCARE AND REHABILITATION CENTER,16749,15 WEST WILLOW STREET,Mc Kean,22.18
8,395700,BRADFORD MANOR,16701,50 LANG MAID LANE,395908,"BRADFORD ECUMENICAL HOME, INC",16701,100 SAINT FRANCIS DRIVE,Mc Kean,3.88
9,395775,SENA KEAN MANOR,16749,17083 ROUTE 6,395816,"LUTHERAN HOME AT KANE, THE",16735,100 HIGH POINT DRIVE,Mc Kean,23.8
10,395775,SENA KEAN MANOR,16749,17083 ROUTE 6,395867,LAKEVIEW HEALTHCARE AND REHABILITATION CENTER,16749,15 WEST WILLOW STREET,Mc Kean,1.19
11,395775,SENA KEAN MANOR,16749,17083 ROUTE 6,395908,"BRADFORD ECUMENICAL HOME, INC",16701,100 SAINT FRANCIS DRIVE,Mc Kean,19.27
12,395816,"LUTHERAN HOME AT KANE, THE",16735,100 HIGH POINT DRIVE,395867,LAKEVIEW HEALTHCARE AND REHABILITATION CENTER,16749,15 WEST WILLOW STREET,Mc Kean,24.99
13,395816,"LUTHERAN HOME AT KANE, THE",16735,100 HIGH POINT DRIVE,395908,"BRADFORD ECUMENICAL HOME, INC",16701,100 SAINT FRANCIS DRIVE,Mc Kean,28.91
14,395867,LAKEVIEW HEALTHCARE AND REHABILITATION CENTER,16749,15 WEST WILLOW STREET,395908,"BRADFORD ECUMENICAL HOME, INC",16701,100 SAINT FRANCIS DRIVE,Mc Kean,17.99
