,origin_id,origin_name,origin_zip,origin,destination_id,destination_name,destination_zip,destination,County,DISTANCE
0,395158,"GROVE AT GREENVILLE, THE",16125,110 FREDONIA ROAD,395231,NUGENT CONVALESCENT HOME,16148,500 CLARKSVILLE ROAD,Mercer,15.6
1,395158,"GROVE AT GREENVILLE, THE",16125,110 FREDONIA ROAD,395232,HOSPITALITY CARE CENTER OF HER,16148,3726 EAST STATE STREET,Mercer,14.53
2,395158,"GROVE AT GREENVILLE, THE",16125,110 FREDONIA ROAD,395244,SAINT PAUL HOMES,16125,339 EAST JAMESTOWN ROAD,Mercer,3.91
3,395158,"GROVE AT GREENVILLE, THE",16125,110 FREDONIA ROAD,395510,GROVE MANOR,16127,435 NORTH BROAD STREET,Mercer,25.76
4,395158,"GROVE AT GREENVILLE, THE",16125,110 FREDONIA ROAD,395593,QUALITY LIFE SERVICES - GROVE CITY,16127,400 HILLCREST AVENUE,Mercer,25.63
5,395158,"GROVE AT GREENVILLE, THE",16125,110 FREDONIA ROAD,395754,SHARON REGIONAL MEDICAL CENTER TCU,16146,740 E. STATE STREET,Mercer,15.9
6,395158,"GROVE AT GREENVILLE, THE",16125,110 FREDONIA ROAD,395793,"ORCHARD MANOR, INC",16127,20 ORCHARD DRIVE,Mercer,24.67
7,395158,"GROVE AT GREENVILLE, THE",16125,110 FREDONIA ROAD,395794,SAINT JOHN XXIII HOME,16148,2250 SHENANGO FREEWAY,Mercer,17.1
8,395158,"GROVE AT GREENVILLE, THE",16125,110 FREDONIA ROAD,395879,QUALITY LIFE SERVICES - MERCER,16137,8221 LAMOR ROAD,Mercer,15.29
9,395158,"GROVE AT GREENVILLE, THE",16125,110 FREDONIA ROAD,395990,"TRANSITIONAL CARE CENTER AT GROVE CITY MED CTR,THE",16127,631 NORTH BROAD ST,Mercer,25.61
10,395158,"GROVE AT GREENVILLE, THE",16125,110 FREDONIA ROAD,396058,AVALON SPRINGS PLACE,16137,745 GREENVILLE ROAD,Mercer,12.71
11,395158,"GROVE AT GREENVILLE, THE",16125,110 FREDONIA ROAD,396071,CLEPPER MANOR,16146,959 EAST STATE STREET,Mercer,15.58
12,395231,NUGENT CONVALESCENT HOME,16148,500 CLARKSVILLE ROAD,395232,HOSPITALITY CARE CENTER OF HER,16148,3726 EAST STATE STREET,Mercer,3.23
13,395231,NUGENT CONVALESCENT HOME,16148,500 CLARKSVILLE ROAD,395244,SAINT PAUL HOMES,16125,339 EAST JAMESTOWN ROAD,Mercer,16.5
14,395231,NUGENT CONVALESCENT HOME,16148,500 CLARKSVILLE ROAD,395510,GROVE MANOR,16127,435 NORTH BROAD STREET,Mercer,28.11
15,395231,NUGENT CONVALESCENT HOME,16148,500 CLARKSVILLE ROAD,395593,QUALITY LIFE SERVICES - GROVE CITY,16127,400 HILLCREST AVENUE,Mercer,28.23
16,395231,NUGENT CONVALESCENT HOME,16148,500 CLARKSVILLE ROAD,395754,SHARON REGIONAL MEDICAL CENTER TCU,16146,740 E. STATE STREET,Mercer,0.31
17,395231,NUGENT CONVALESCENT HOME,16148,500 CLARKSVILLE ROAD,395793,"ORCHARD MANOR, INC",16127,20 ORCHARD DRIVE,Mercer,29.43
18,395231,NUGENT CONVALESCENT HOME,16148,500 CLARKSVILLE ROAD,395794,SAINT JOHN XXIII HOME,16148,2250 SHENANGO FREEWAY,Mercer,1.42
19,395231,NUGENT CONVALESCENT HOME,16148,500 CLARKSVILLE ROAD,395879,QUALITY LIFE SERVICES - MERCER,16137,8221 LAMOR ROAD,Mercer,13.29
20,395231,NUGENT CONVALESCENT HOME,16148,500 CLARKSVILLE ROAD,395990,"TRANSITIONAL CARE CENTER AT GROVE CITY MED CTR,THE",16127,631 NORTH BROAD ST,Mercer,27.81
21,395231,NUGENT CONVALESCENT HOME,16148,500 CLARKSVILLE ROAD,396058,AVALON SPRINGS PLACE,16137,745 GREENVILLE ROAD,Mercer,14.96
22,395231,NUGENT CONVALESCENT HOME,16148,500 CLARKSVILLE ROAD,396071,CLEPPER MANOR,16146,959 EAST STATE STREET,Mercer,0.5
23,395232,HOSPITALITY CARE CENTER OF HER,16148,3726 EAST STATE STREET,395244,SAINT PAUL HOMES,16125,339 EAST JAMESTOWN ROAD,Mercer,15.27
24,395232,HOSPITALITY CARE CENTER OF HER,16148,3726 EAST STATE STREET,395510,GROVE MANOR,16127,435 NORTH BROAD STREET,Mercer,22.46
25,395232,HOSPITALITY CARE CENTER OF HER,16148,3726 EAST STATE STREET,395593,QUALITY LIFE SERVICES - GROVE CITY,16127,400 HILLCREST AVENUE,Mercer,22.33
26,395232,HOSPITALITY CARE CENTER OF HER,16148,3726 EAST STATE STREET,395754,SHARON REGIONAL MEDICAL CENTER TCU,16146,740 E. STATE STREET,Mercer,3.37
27,395232,HOSPITALITY CARE CENTER OF HER,16148,3726 EAST STATE STREET,395793,"ORCHARD MANOR, INC",16127,20 ORCHARD DRIVE,Mercer,21.37
28,395232,HOSPITALITY CARE CENTER OF HER,16148,3726 EAST STATE STREET,395794,SAINT JOHN XXIII HOME,16148,2250 SHENANGO FREEWAY,Mercer,3.55
29,395232,HOSPITALITY CARE CENTER OF HER,16148,3726 EAST STATE STREET,395879,QUALITY LIFE SERVICES - MERCER,16137,8221 LAMOR ROAD,Mercer,10.06
30,395232,HOSPITALITY CARE CENTER OF HER,16148,3726 EAST STATE STREET,395990,"TRANSITIONAL CARE CENTER AT GROVE CITY MED CTR,THE",16127,631 NORTH BROAD ST,Mercer,22.3
31,395232,HOSPITALITY CARE CENTER OF HER,16148,3726 EAST STATE STREET,396058,AVALON SPRINGS PLACE,16137,745 GREENVILLE ROAD,Mercer,11.73
