,origin_id,origin_name,origin_zip,origin,destination_id,destination_name,destination_zip,destination,County,DISTANCE
0,395075,NEW EASTWOOD HEALTHCARE AND REHABILITATION CENTER,18042,2125 FAIRVIEW AVENUE,395250,HOLY FAMILY MANOR,18018,1200 SPRING STREET,Northampton,13.99
1,395075,NEW EASTWOOD HEALTHCARE AND REHABILITATION CENTER,18042,2125 FAIRVIEW AVENUE,395476,GRACEDALE - NORTHAMPTON COUNTY,18064,GRACEDALE AVENUE,Northampton,7.2
2,395075,NEW EASTWOOD HEALTHCARE AND REHABILITATION CENTER,18042,2125 FAIRVIEW AVENUE,395494,SLATE BELT HEALTH & REHABILITATION CENTER,18013,"701 SLATE BELT BLVD, RD 3",Northampton,18.17
3,395075,NEW EASTWOOD HEALTHCARE AND REHABILITATION CENTER,18042,2125 FAIRVIEW AVENUE,395540,MANORCARE HEALTH SERVICES-EASTON,18045,2600 NORTHAMPTON STREET,Northampton,0.8
4,395075,NEW EASTWOOD HEALTHCARE AND REHABILITATION CENTER,18042,2125 FAIRVIEW AVENUE,395599,BLOUGH HEALTH CARE CENTER INC,18018,316 EAST MARKET STREET,Northampton,10.23
5,395075,NEW EASTWOOD HEALTHCARE AND REHABILITATION CENTER,18042,2125 FAIRVIEW AVENUE,395708,"GARDENS FOR MEMORY CARE AT EASTON, THE",18042,500 WASHINGTON STREET,Northampton,1.97
6,395075,NEW EASTWOOD HEALTHCARE AND REHABILITATION CENTER,18042,2125 FAIRVIEW AVENUE,395729,"GARDENS AT EASTON, THE",18042,498 WASHINGTON STREET,Northampton,2.03
7,395075,NEW EASTWOOD HEALTHCARE AND REHABILITATION CENTER,18042,2125 FAIRVIEW AVENUE,395752,MORAVIAN HALL SQUARE HEALTH AND WELLNESS CENTER,18064,175 WEST NORTH STREET,Northampton,6.24
8,395075,NEW EASTWOOD HEALTHCARE AND REHABILITATION CENTER,18042,2125 FAIRVIEW AVENUE,395916,KIRKLAND VILLAGE,18017,2335 MADISON AVENUE,Northampton,10.44
9,395075,NEW EASTWOOD HEALTHCARE AND REHABILITATION CENTER,18042,2125 FAIRVIEW AVENUE,396024,WESTON REHABILITATION & NURSING CENTER,18055,1896 LEITHSVILLE ROAD,Northampton,14.58
10,395075,NEW EASTWOOD HEALTHCARE AND REHABILITATION CENTER,18042,2125 FAIRVIEW AVENUE,396053,COUNTRY MEADOWS NURSING CENTER OF BETHLEHEM,18020,4025 GREEN POND ROAD,Northampton,5.0
11,395075,NEW EASTWOOD HEALTHCARE AND REHABILITATION CENTER,18042,2125 FAIRVIEW AVENUE,396077,OLD ORCHARD HEALTH CARE CENTER,18045,4100 FREEMANSBURG AVENUE,Northampton,3.18
12,395075,NEW EASTWOOD HEALTHCARE AND REHABILITATION CENTER,18042,2125 FAIRVIEW AVENUE,396096,MORAVIAN VILLAGE OF BETHLEHEM,18018,634 EAST BROAD STREET,Northampton,8.63
13,395250,HOLY FAMILY MANOR,18018,1200 SPRING STREET,395476,GRACEDALE - NORTHAMPTON COUNTY,18064,GRACEDALE AVENUE,Northampton,13.01
14,395250,HOLY FAMILY MANOR,18018,1200 SPRING STREET,395494,SLATE BELT HEALTH & REHABILITATION CENTER,18013,"701 SLATE BELT BLVD, RD 3",Northampton,26.71
15,395250,HOLY FAMILY MANOR,18018,1200 SPRING STREET,395540,MANORCARE HEALTH SERVICES-EASTON,18045,2600 NORTHAMPTON STREET,Northampton,13.2
16,395250,HOLY FAMILY MANOR,18018,1200 SPRING STREET,395599,BLOUGH HEALTH CARE CENTER INC,18018,316 EAST MARKET STREET,Northampton,2.1
17,395250,HOLY FAMILY MANOR,18018,1200 SPRING STREET,395708,"GARDENS FOR MEMORY CARE AT EASTON, THE",18042,500 WASHINGTON STREET,Northampton,15.43
18,395250,HOLY FAMILY MANOR,18018,1200 SPRING STREET,395729,"GARDENS AT EASTON, THE",18042,498 WASHINGTON STREET,Northampton,16.22
19,395250,HOLY FAMILY MANOR,18018,1200 SPRING STREET,395752,MORAVIAN HALL SQUARE HEALTH AND WELLNESS CENTER,18064,175 WEST NORTH STREET,Northampton,13.37
20,395250,HOLY FAMILY MANOR,18018,1200 SPRING STREET,395916,KIRKLAND VILLAGE,18017,2335 MADISON AVENUE,Northampton,3.55
21,395250,HOLY FAMILY MANOR,18018,1200 SPRING STREET,396024,WESTON REHABILITATION & NURSING CENTER,18055,1896 LEITHSVILLE ROAD,Northampton,7.51
22,395250,HOLY FAMILY MANOR,18018,1200 SPRING STREET,396053,COUNTRY MEADOWS NURSING CENTER OF BETHLEHEM,18020,4025 GREEN POND ROAD,Northampton,9.91
23,395250,HOLY FAMILY MANOR,18018,1200 SPRING STREET,396077,OLD ORCHARD HEALTH CARE CENTER,18045,4100 FREEMANSBURG AVENUE,Northampton,8.35
24,395250,HOLY FAMILY MANOR,18018,1200 SPRING STREET,396096,MORAVIAN VILLAGE OF BETHLEHEM,18018,634 EAST BROAD STREET,Northampton,2.65
25,395476,GRACEDALE - NORTHAMPTON COUNTY,18064,GRACEDALE AVENUE,395494,SLATE BELT HEALTH & REHABILITATION CENTER,18013,"701 SLATE BELT BLVD, RD 3",Northampton,12.74
26,395476,GRACEDALE - NORTHAMPTON COUNTY,18064,GRACEDALE AVENUE,395540,MANORCARE HEALTH SERVICES-EASTON,18045,2600 NORTHAMPTON STREET,Northampton,7.74
27,395476,GRACEDALE - NORTHAMPTON COUNTY,18064,GRACEDALE AVENUE,395599,BLOUGH HEALTH CARE CENTER INC,18018,316 EAST MARKET STREET,Northampton,9.26
28,395476,GRACEDALE - NORTHAMPTON COUNTY,18064,GRACEDALE AVENUE,395708,"GARDENS FOR MEMORY CARE AT EASTON, THE",18042,500 WASHINGTON STREET,Northampton,11.2
29,395476,GRACEDALE - NORTHAMPTON COUNTY,18064,GRACEDALE AVENUE,395729,"GARDENS AT EASTON, THE",18042,498 WASHINGTON STREET,Northampton,11.99
30,395476,GRACEDALE - NORTHAMPTON COUNTY,18064,GRACEDALE AVENUE,395752,MORAVIAN HALL SQUARE HEALTH AND WELLNESS CENTER,18064,175 WEST NORTH STREET,Northampton,1.47
31,395476,GRACEDALE - NORTHAMPTON COUNTY,18064,GRACEDALE AVENUE,395916,KIRKLAND VILLAGE,18017,2335 MADISON AVENUE,Northampton,7.94
32,395476,GRACEDALE - NORTHAMPTON COUNTY,18064,GRACEDALE AVENUE,396024,WESTON REHABILITATION & NURSING CENTER,18055,1896 LEITHSVILLE ROAD,Northampton,17.16
33,395476,GRACEDALE - NORTHAMPTON COUNTY,18064,GRACEDALE AVENUE,396053,COUNTRY MEADOWS NURSING CENTER OF BETHLEHEM,18020,4025 GREEN POND ROAD,Northampton,5.49
34,395476,GRACEDALE - NORTHAMPTON COUNTY,18064,GRACEDALE AVENUE,396077,OLD ORCHARD HEALTH CARE CENTER,18045,4100 FREEMANSBURG AVENUE,Northampton,9.17
35,395476,GRACEDALE - NORTHAMPTON COUNTY,18064,GRACEDALE AVENUE,396096,MORAVIAN VILLAGE OF BETHLEHEM,18018,634 EAST BROAD STREET,Northampton,9.43
36,395494,SLATE BELT HEALTH & REHABILITATION CENTER,18013,"701 SLATE BELT BLVD, RD 3",395540,MANORCARE HEALTH SERVICES-EASTON,18045,2600 NORTHAMPTON STREET,Northampton,15.55
37,395494,SLATE BELT HEALTH & REHABILITATION CENTER,18013,"701 SLATE BELT BLVD, RD 3",395599,BLOUGH HEALTH CARE CENTER INC,18018,316 EAST MARKET STREET,Northampton,23.05
38,395494,SLATE BELT HEALTH & REHABILITATION CENTER,18013,"701 SLATE BELT BLVD, RD 3",395708,"GARDENS FOR MEMORY CARE AT EASTON, THE",18042,500 WASHINGTON STREET,Northampton,15.78
39,395494,SLATE BELT HEALTH & REHABILITATION CENTER,18013,"701 SLATE BELT BLVD, RD 3",395729,"GARDENS AT EASTON, THE",18042,498 WASHINGTON STREET,Northampton,15.73
40,395494,SLATE BELT HEALTH & REHABILITATION CENTER,18013,"701 SLATE BELT BLVD, RD 3",395752,MORAVIAN HALL SQUARE HEALTH AND WELLNESS CENTER,18064,175 WEST NORTH STREET,Northampton,11.32
41,395494,SLATE BELT HEALTH & REHABILITATION CENTER,18013,"701 SLATE BELT BLVD, RD 3",395916,KIRKLAND VILLAGE,18017,2335 MADISON AVENUE,Northampton,22.73
42,395494,SLATE BELT HEALTH & REHABILITATION CENTER,18013,"701 SLATE BELT BLVD, RD 3",396024,WESTON REHABILITATION & NURSING CENTER,18055,1896 LEITHSVILLE ROAD,Northampton,26.5
43,395494,SLATE BELT HEALTH & REHABILITATION CENTER,18013,"701 SLATE BELT BLVD, RD 3",396053,COUNTRY MEADOWS NURSING CENTER OF BETHLEHEM,18020,4025 GREEN POND ROAD,Northampton,17.46
44,395494,SLATE BELT HEALTH & REHABILITATION CENTER,18013,"701 SLATE BELT BLVD, RD 3",396077,OLD ORCHARD HEALTH CARE CENTER,18045,4100 FREEMANSBURG AVENUE,Northampton,18.52
45,395494,SLATE BELT HEALTH & REHABILITATION CENTER,18013,"701 SLATE BELT BLVD, RD 3",396096,MORAVIAN VILLAGE OF BETHLEHEM,18018,634 EAST BROAD STREET,Northampton,22.51
46,395540,MANORCARE HEALTH SERVICES-EASTON,18045,2600 NORTHAMPTON STREET,395599,BLOUGH HEALTH CARE CENTER INC,18018,316 EAST MARKET STREET,Northampton,8.86
47,395540,MANORCARE HEALTH SERVICES-EASTON,18045,2600 NORTHAMPTON STREET,395708,"GARDENS FOR MEMORY CARE AT EASTON, THE",18042,500 WASHINGTON STREET,Northampton,2.56
48,395540,MANORCARE HEALTH SERVICES-EASTON,18045,2600 NORTHAMPTON STREET,395729,"GARDENS AT EASTON, THE",18042,498 WASHINGTON STREET,Northampton,2.61
49,395540,MANORCARE HEALTH SERVICES-EASTON,18045,2600 NORTHAMPTON STREET,395752,MORAVIAN HALL SQUARE HEALTH AND WELLNESS CENTER,18064,175 WEST NORTH STREET,Northampton,5.83
50,395540,MANORCARE HEALTH SERVICES-EASTON,18045,2600 NORTHAMPTON STREET,395916,KIRKLAND VILLAGE,18017,2335 MADISON AVENUE,Northampton,10.05
51,395540,MANORCARE HEALTH SERVICES-EASTON,18045,2600 NORTHAMPTON STREET,396024,WESTON REHABILITATION & NURSING CENTER,18055,1896 LEITHSVILLE ROAD,Northampton,12.69
52,395540,MANORCARE HEALTH SERVICES-EASTON,18045,2600 NORTHAMPTON STREET,396053,COUNTRY MEADOWS NURSING CENTER OF BETHLEHEM,18020,4025 GREEN POND ROAD,Northampton,4.19
53,395540,MANORCARE HEALTH SERVICES-EASTON,18045,2600 NORTHAMPTON STREET,396077,OLD ORCHARD HEALTH CARE CENTER,18045,4100 FREEMANSBURG AVENUE,Northampton,2.87
54,395540,MANORCARE HEALTH SERVICES-EASTON,18045,2600 NORTHAMPTON STREET,396096,MORAVIAN VILLAGE OF BETHLEHEM,18018,634 EAST BROAD STREET,Northampton,8.01
55,395599,BLOUGH HEALTH CARE CENTER INC,18018,316 EAST MARKET STREET,395708,"GARDENS FOR MEMORY CARE AT EASTON, THE",18042,500 WASHINGTON STREET,Northampton,13.21
56,395599,BLOUGH HEALTH CARE CENTER INC,18018,316 EAST MARKET STREET,395729,"GARDENS AT EASTON, THE",18042,498 WASHINGTON STREET,Northampton,14.0
57,395599,BLOUGH HEALTH CARE CENTER INC,18018,316 EAST MARKET STREET,395752,MORAVIAN HALL SQUARE HEALTH AND WELLNESS CENTER,18064,175 WEST NORTH STREET,Northampton,9.55
58,395599,BLOUGH HEALTH CARE CENTER INC,18018,316 EAST MARKET STREET,395916,KIRKLAND VILLAGE,18017,2335 MADISON AVENUE,Northampton,2.02
59,395599,BLOUGH HEALTH CARE CENTER INC,18018,316 EAST MARKET STREET,396024,WESTON REHABILITATION & NURSING CENTER,18055,1896 LEITHSVILLE ROAD,Northampton,5.55
60,395599,BLOUGH HEALTH CARE CENTER INC,18018,316 EAST MARKET STREET,396053,COUNTRY MEADOWS NURSING CENTER OF BETHLEHEM,18020,4025 GREEN POND ROAD,Northampton,5.26
61,395599,BLOUGH HEALTH CARE CENTER INC,18018,316 EAST MARKET STREET,396077,OLD ORCHARD HEALTH CARE CENTER,18045,4100 FREEMANSBURG AVENUE,Northampton,6.25
62,395599,BLOUGH HEALTH CARE CENTER INC,18018,316 EAST MARKET STREET,396096,MORAVIAN VILLAGE OF BETHLEHEM,18018,634 EAST BROAD STREET,Northampton,0.55
63,395708,"GARDENS FOR MEMORY CARE AT EASTON, THE",18042,500 WASHINGTON STREET,395729,"GARDENS AT EASTON, THE",18042,498 WASHINGTON STREET,Northampton,0.06
64,395708,"GARDENS FOR MEMORY CARE AT EASTON, THE",18042,500 WASHINGTON STREET,395752,MORAVIAN HALL SQUARE HEALTH AND WELLNESS CENTER,18064,175 WEST NORTH STREET,Northampton,10.14
65,395708,"GARDENS FOR MEMORY CARE AT EASTON, THE",18042,500 WASHINGTON STREET,395916,KIRKLAND VILLAGE,18017,2335 MADISON AVENUE,Northampton,12.22
66,395708,"GARDENS FOR MEMORY CARE AT EASTON, THE",18042,500 WASHINGTON STREET,396024,WESTON REHABILITATION & NURSING CENTER,18055,1896 LEITHSVILLE ROAD,Northampton,13.23
