,origin_id,origin_name,origin_zip,origin,destination_id,destination_name,destination_zip,destination,County,DISTANCE
0,395090,WINDBER WOODS SENIOR LIVING & REHABILITATION CTR,15963,277 HOFFMAN AVENUE,395398,SIEMONS' LAKEVIEW MANOR NURSING AND REHAB CTR,15501,228 SIEMON DRIVE,Somerset,25.24
1,395090,WINDBER WOODS SENIOR LIVING & REHABILITATION CTR,15963,277 HOFFMAN AVENUE,395661,MEYERSDALE HEALTHCARE AND REHABILITATION CENTER,15552,201 HOSPITAL DRIVE,Somerset,42.45
2,395090,WINDBER WOODS SENIOR LIVING & REHABILITATION CTR,15963,277 HOFFMAN AVENUE,395830,MEADOW VIEW NURSING CENTER,15530,1404 HAY STREET,Somerset,26.67
3,395090,WINDBER WOODS SENIOR LIVING & REHABILITATION CTR,15963,277 HOFFMAN AVENUE,395840,"PATRIOT, A CHOICE COMMUNITY THE",15501,495 WEST PATRIOT STREET,Somerset,27.26
4,395090,WINDBER WOODS SENIOR LIVING & REHABILITATION CTR,15963,277 HOFFMAN AVENUE,395891,LAUREL VIEW VILLAGE,15928,2000 CAMBRIDGE DRIVE,Somerset,4.43
5,395398,SIEMONS' LAKEVIEW MANOR NURSING AND REHAB CTR,15501,228 SIEMON DRIVE,395661,MEYERSDALE HEALTHCARE AND REHABILITATION CENTER,15552,201 HOSPITAL DRIVE,Somerset,21.7
6,395398,SIEMONS' LAKEVIEW MANOR NURSING AND REHAB CTR,15501,228 SIEMON DRIVE,395830,MEADOW VIEW NURSING CENTER,15530,1404 HAY STREET,Somerset,14.83
7,395398,SIEMONS' LAKEVIEW MANOR NURSING AND REHAB CTR,15501,228 SIEMON DRIVE,395840,"PATRIOT, A CHOICE COMMUNITY THE",15501,495 WEST PATRIOT STREET,Somerset,3.14
8,395398,SIEMONS' LAKEVIEW MANOR NURSING AND REHAB CTR,15501,228 SIEMON DRIVE,395891,LAUREL VIEW VILLAGE,15928,2000 CAMBRIDGE DRIVE,Somerset,20.34
9,395661,MEYERSDALE HEALTHCARE AND REHABILITATION CENTER,15552,201 HOSPITAL DRIVE,395830,MEADOW VIEW NURSING CENTER,15530,1404 HAY STREET,Somerset,10.24
10,395661,MEYERSDALE HEALTHCARE AND REHABILITATION CENTER,15552,201 HOSPITAL DRIVE,395840,"PATRIOT, A CHOICE COMMUNITY THE",15501,495 WEST PATRIOT STREET,Somerset,18.03
11,395661,MEYERSDALE HEALTHCARE AND REHABILITATION CENTER,15552,201 HOSPITAL DRIVE,395891,LAUREL VIEW VILLAGE,15928,2000 CAMBRIDGE DRIVE,Somerset,37.4
12,395830,MEADOW VIEW NURSING CENTER,15530,1404 HAY STREET,395840,"PATRIOT, A CHOICE COMMUNITY THE",15501,495 WEST PATRIOT STREET,Somerset,11.1
13,395830,MEADOW VIEW NURSING CENTER,15530,1404 HAY STREET,395891,LAUREL VIEW VILLAGE,15928,2000 CAMBRIDGE DRIVE,Somerset,30.72
14,395840,"PATRIOT, A CHOICE COMMUNITY THE",15501,495 WEST PATRIOT STREET,395891,LAUREL VIEW VILLAGE,15928,2000 CAMBRIDGE DRIVE,Somerset,22.72
