,origin_id,origin_name,origin_zip,origin,destination_id,destination_name,destination_zip,destination,County,DISTANCE
0,395208,BELAIR HEALTHCARE AND REHABILITATION CENTER,15068,100 LITTLE ROAD,395295,MURRYSVILLE REHABILITATION AND WELLNESS CENTER,15668,3300 LOGAN FERRY ROAD,Westmoreland,16.6
1,395208,BELAIR HEALTHCARE AND REHABILITATION CENTER,15068,100 LITTLE ROAD,395371,QUALITY LIFE SERVICES - APOLLO,15613,151 GOODVIEW DRIVE,Westmoreland,12.68
2,395208,BELAIR HEALTHCARE AND REHABILITATION CENTER,15068,100 LITTLE ROAD,395382,"GROVE AT NORTH HUNTINGDON, THE",15642,249 MAUS DRIVE,Westmoreland,22.65
3,395208,BELAIR HEALTHCARE AND REHABILITATION CENTER,15068,100 LITTLE ROAD,395435,WESTMORELAND MANOR,15601,2480 SOUTH GRAND BLVD,Westmoreland,31.4
4,395208,BELAIR HEALTHCARE AND REHABILITATION CENTER,15068,100 LITTLE ROAD,395500,TWIN LAKES REHABILITATION AND HEALTHCARE CENTER,15601,227 SAND HILL ROAD,Westmoreland,37.58
5,395208,BELAIR HEALTHCARE AND REHABILITATION CENTER,15068,100 LITTLE ROAD,395539,SAINT ANNE HOME,15601,685 ANGELA DRIVE,Westmoreland,29.28
6,395208,BELAIR HEALTHCARE AND REHABILITATION CENTER,15068,100 LITTLE ROAD,395552,BETHLEN HM OF THE HUNGARIAN RF,15658,66 CAREY SCHOOL ROAD,Westmoreland,45.44
7,395208,BELAIR HEALTHCARE AND REHABILITATION CENTER,15068,100 LITTLE ROAD,395585,TRANSITIONS HEALTHCARE NORTH HUNTINGDON,15642,8850 BARNES LAKE ROAD,Westmoreland,31.8
8,395208,BELAIR HEALTHCARE AND REHABILITATION CENTER,15068,100 LITTLE ROAD,395604,GREENSBURG CARE CENTER,15601,119 INDUSTRIAL PARK ROAD,Westmoreland,31.66
9,395208,BELAIR HEALTHCARE AND REHABILITATION CENTER,15068,100 LITTLE ROAD,395646,OAK HILL HEALTHCARE AND REHABILITATION CENTER,15601,827 GEORGES STATION ROAD,Westmoreland,33.75
10,395208,BELAIR HEALTHCARE AND REHABILITATION CENTER,15068,100 LITTLE ROAD,395705,HEMPFIELD MANOR,15601,1118 WOODWARD DRIVE,Westmoreland,29.95
11,395208,BELAIR HEALTHCARE AND REHABILITATION CENTER,15068,100 LITTLE ROAD,395726,HARMON HOUSE CARE CENTER,15666,601 SOUTH CHURCH STREET,Westmoreland,40.77
12,395208,BELAIR HEALTHCARE AND REHABILITATION CENTER,15068,100 LITTLE ROAD,395851,REHAB & NURSING CTR GREATER PITTSBURGH,15601,890 WEATHERWOOD LANE,Westmoreland,31.38
13,395208,BELAIR HEALTHCARE AND REHABILITATION CENTER,15068,100 LITTLE ROAD,395860,LOYALHANNA CARE CENTER,15650,535 MCFARLAND ROAD,Westmoreland,34.08
14,395208,BELAIR HEALTHCARE AND REHABILITATION CENTER,15068,100 LITTLE ROAD,395892,"GROVE AT LATROBE, THE",15650,576 FRED ROGERS DRIVE,Westmoreland,37.7
15,395208,BELAIR HEALTHCARE AND REHABILITATION CENTER,15068,100 LITTLE ROAD,396021,REDSTONE HIGHLANDS HEALTH CARE,15601,6 GARDEN CENTER DRIVE,Westmoreland,26.69
16,395208,BELAIR HEALTHCARE AND REHABILITATION CENTER,15068,100 LITTLE ROAD,396035,SCOTTDALE HEALTHCARE AND REHABILITATION CENTER,15683,900 PORTER AVENUE,Westmoreland,42.54
17,395208,BELAIR HEALTHCARE AND REHABILITATION CENTER,15068,100 LITTLE ROAD,396056,WILLIAM PENN CARE CENTER,15644,2020 ADER ROAD,Westmoreland,22.03
18,395295,MURRYSVILLE REHABILITATION AND WELLNESS CENTER,15668,3300 LOGAN FERRY ROAD,395371,QUALITY LIFE SERVICES - APOLLO,15613,151 GOODVIEW DRIVE,Westmoreland,13.81
19,395295,MURRYSVILLE REHABILITATION AND WELLNESS CENTER,15668,3300 LOGAN FERRY ROAD,395382,"GROVE AT NORTH HUNTINGDON, THE",15642,249 MAUS DRIVE,Westmoreland,10.17
20,395295,MURRYSVILLE REHABILITATION AND WELLNESS CENTER,15668,3300 LOGAN FERRY ROAD,395435,WESTMORELAND MANOR,15601,2480 SOUTH GRAND BLVD,Westmoreland,18.13
21,395295,MURRYSVILLE REHABILITATION AND WELLNESS CENTER,15668,3300 LOGAN FERRY ROAD,395500,TWIN LAKES REHABILITATION AND HEALTHCARE CENTER,15601,227 SAND HILL ROAD,Westmoreland,22.76
22,395295,MURRYSVILLE REHABILITATION AND WELLNESS CENTER,15668,3300 LOGAN FERRY ROAD,395539,SAINT ANNE HOME,15601,685 ANGELA DRIVE,Westmoreland,16.01
23,395295,MURRYSVILLE REHABILITATION AND WELLNESS CENTER,15668,3300 LOGAN FERRY ROAD,395552,BETHLEN HM OF THE HUNGARIAN RF,15658,66 CAREY SCHOOL ROAD,Westmoreland,33.85
24,395295,MURRYSVILLE REHABILITATION AND WELLNESS CENTER,15668,3300 LOGAN FERRY ROAD,395585,TRANSITIONS HEALTHCARE NORTH HUNTINGDON,15642,8850 BARNES LAKE ROAD,Westmoreland,10.32
25,395295,MURRYSVILLE REHABILITATION AND WELLNESS CENTER,15668,3300 LOGAN FERRY ROAD,395604,GREENSBURG CARE CENTER,15601,119 INDUSTRIAL PARK ROAD,Westmoreland,18.44
26,395295,MURRYSVILLE REHABILITATION AND WELLNESS CENTER,15668,3300 LOGAN FERRY ROAD,395646,OAK HILL HEALTHCARE AND REHABILITATION CENTER,15601,827 GEORGES STATION ROAD,Westmoreland,18.95
27,395295,MURRYSVILLE REHABILITATION AND WELLNESS CENTER,15668,3300 LOGAN FERRY ROAD,395705,HEMPFIELD MANOR,15601,1118 WOODWARD DRIVE,Westmoreland,16.68
28,395295,MURRYSVILLE REHABILITATION AND WELLNESS CENTER,15668,3300 LOGAN FERRY ROAD,395726,HARMON HOUSE CARE CENTER,15666,601 SOUTH CHURCH STREET,Westmoreland,27.5
29,395295,MURRYSVILLE REHABILITATION AND WELLNESS CENTER,15668,3300 LOGAN FERRY ROAD,395851,REHAB & NURSING CTR GREATER PITTSBURGH,15601,890 WEATHERWOOD LANE,Westmoreland,18.11
30,395295,MURRYSVILLE REHABILITATION AND WELLNESS CENTER,15668,3300 LOGAN FERRY ROAD,395860,LOYALHANNA CARE CENTER,15650,535 MCFARLAND ROAD,Westmoreland,22.49
31,395295,MURRYSVILLE REHABILITATION AND WELLNESS CENTER,15668,3300 LOGAN FERRY ROAD,395892,"GROVE AT LATROBE, THE",15650,576 FRED ROGERS DRIVE,Westmoreland,26.1
32,395295,MURRYSVILLE REHABILITATION AND WELLNESS CENTER,15668,3300 LOGAN FERRY ROAD,396021,REDSTONE HIGHLANDS HEALTH CARE,15601,6 GARDEN CENTER DRIVE,Westmoreland,13.42
