,origin_id,origin_name,origin_zip,origin,destination_id,destination_name,destination_zip,destination,County,DISTANCE
0,395016,HANOVER HALL,17331,267 FREDERICK STREET,395037,MANORCARE HEALTH SERVICES-KINGSTON COURT,17402,2400 KINGSTON COURT,York,24.74
1,395016,HANOVER HALL,17331,267 FREDERICK STREET,395058,REST HAVEN-YORK,17403,1050 SOUTH GEORGE STREET,York,19.46
2,395016,HANOVER HALL,17331,267 FREDERICK STREET,395168,COLONIAL MANOR NURSING HOME,17403,970 COLONIAL AVENUE,York,18.21
3,395016,HANOVER HALL,17331,267 FREDERICK STREET,395290,PLEASANT ACRES REHABILITATION AND NURSING CENTER,17402,"118 PLEASANT ACRES RD,RD7",York,25.97
4,395016,HANOVER HALL,17331,267 FREDERICK STREET,395309,MANORCARE HEALTH SERVICES-YORK SOUTH,17402,200 PAULINE DRIVE,York,22.01
5,395016,HANOVER HALL,17331,267 FREDERICK STREET,395438,SPIRITRUST LUTHERAN THE VILLAGE AT SHREWSBURY,17361,200 LUTHER ROAD,York,20.93
6,395016,HANOVER HALL,17331,267 FREDERICK STREET,395442,MANORCARE HEALTH SERVICES-YORK NORTH,17404,1770 BARLEY ROAD,York,19.68
7,395016,HANOVER HALL,17331,267 FREDERICK STREET,395451,MANORCARE HEALTH SERVICES-DALLASTOWN,17313,100 WEST QUEEN STREET,York,24.88
8,395016,HANOVER HALL,17331,267 FREDERICK STREET,395612,SPIRITRUST LUTHERAN THE VILLAGE AT SPRENKLE DRIVE,17404,1801 FOLKEMER CIRCLE,York,20.76
9,395016,HANOVER HALL,17331,267 FREDERICK STREET,395898,HOMEWOOD AT PLUM CREEK,17331,425 WESTMINSTER AVENUE,York,0.99
10,395016,HANOVER HALL,17331,267 FREDERICK STREET,395902,NORMANDIE RIDGE,17404,1700 NORMANDIE DRIVE,York,19.86
11,395016,HANOVER HALL,17331,267 FREDERICK STREET,395998,MISERICORDIA NURSING & REHABILITATION CENTER,17402,998 SOUTH RUSSELL STREET,York,24.05
12,395016,HANOVER HALL,17331,267 FREDERICK STREET,396064,MARGARET E. MOUL HOME,17404,2050 BARLEY ROAD,York,19.91
13,395016,HANOVER HALL,17331,267 FREDERICK STREET,396111,SPIRITRUST LUTHERAN THE VILLAGE AT UTZ TERRACE,17331,2100 UTZ TERRACE,York,4.33
14,395037,MANORCARE HEALTH SERVICES-KINGSTON COURT,17402,2400 KINGSTON COURT,395058,REST HAVEN-YORK,17403,1050 SOUTH GEORGE STREET,York,4.09
15,395037,MANORCARE HEALTH SERVICES-KINGSTON COURT,17402,2400 KINGSTON COURT,395168,COLONIAL MANOR NURSING HOME,17403,970 COLONIAL AVENUE,York,5.21
16,395037,MANORCARE HEALTH SERVICES-KINGSTON COURT,17402,2400 KINGSTON COURT,395290,PLEASANT ACRES REHABILITATION AND NURSING CENTER,17402,"118 PLEASANT ACRES RD,RD7",York,2.44
17,395037,MANORCARE HEALTH SERVICES-KINGSTON COURT,17402,2400 KINGSTON COURT,395309,MANORCARE HEALTH SERVICES-YORK SOUTH,17402,200 PAULINE DRIVE,York,5.35
18,395037,MANORCARE HEALTH SERVICES-KINGSTON COURT,17402,2400 KINGSTON COURT,395438,SPIRITRUST LUTHERAN THE VILLAGE AT SHREWSBURY,17361,200 LUTHER ROAD,York,18.49
19,395037,MANORCARE HEALTH SERVICES-KINGSTON COURT,17402,2400 KINGSTON COURT,395442,MANORCARE HEALTH SERVICES-YORK NORTH,17404,1770 BARLEY ROAD,York,7.84
20,395037,MANORCARE HEALTH SERVICES-KINGSTON COURT,17402,2400 KINGSTON COURT,395451,MANORCARE HEALTH SERVICES-DALLASTOWN,17313,100 WEST QUEEN STREET,York,7.09
21,395037,MANORCARE HEALTH SERVICES-KINGSTON COURT,17402,2400 KINGSTON COURT,395612,SPIRITRUST LUTHERAN THE VILLAGE AT SPRENKLE DRIVE,17404,1801 FOLKEMER CIRCLE,York,6.57
22,395037,MANORCARE HEALTH SERVICES-KINGSTON COURT,17402,2400 KINGSTON COURT,395898,HOMEWOOD AT PLUM CREEK,17331,425 WESTMINSTER AVENUE,York,25.98
23,395037,MANORCARE HEALTH SERVICES-KINGSTON COURT,17402,2400 KINGSTON COURT,395902,NORMANDIE RIDGE,17404,1700 NORMANDIE DRIVE,York,8.01
24,395037,MANORCARE HEALTH SERVICES-KINGSTON COURT,17402,2400 KINGSTON COURT,395998,MISERICORDIA NURSING & REHABILITATION CENTER,17402,998 SOUTH RUSSELL STREET,York,1.05
25,395037,MANORCARE HEALTH SERVICES-KINGSTON COURT,17402,2400 KINGSTON COURT,396064,MARGARET E. MOUL HOME,17404,2050 BARLEY ROAD,York,8.06
26,395037,MANORCARE HEALTH SERVICES-KINGSTON COURT,17402,2400 KINGSTON COURT,396111,SPIRITRUST LUTHERAN THE VILLAGE AT UTZ TERRACE,17331,2100 UTZ TERRACE,York,26.68
27,395058,REST HAVEN-YORK,17403,1050 SOUTH GEORGE STREET,395168,COLONIAL MANOR NURSING HOME,17403,970 COLONIAL AVENUE,York,1.37
28,395058,REST HAVEN-YORK,17403,1050 SOUTH GEORGE STREET,395290,PLEASANT ACRES REHABILITATION AND NURSING CENTER,17402,"118 PLEASANT ACRES RD,RD7",York,9.54
29,395058,REST HAVEN-YORK,17403,1050 SOUTH GEORGE STREET,395309,MANORCARE HEALTH SERVICES-YORK SOUTH,17402,200 PAULINE DRIVE,York,3.84
30,395058,REST HAVEN-YORK,17403,1050 SOUTH GEORGE STREET,395438,SPIRITRUST LUTHERAN THE VILLAGE AT SHREWSBURY,17361,200 LUTHER ROAD,York,14.69
