,CCN,S_005_01_DTC_RS_RATE _97_5,S_004_01_PPR_PD_OBS_READM,S_004_01_PPR_PD_RSRR_97_5,S_004_01_PPR_PD_RSRR_2_5,S_013_01_DENOMINATOR,S_002_01_NUMERATOR,S_013_01_NUMERATOR,S_005_01_DTC_OBS_RATE,S_005_01_DTC_RS_RATE_2_5,S_005_01_DTC_NUMBER,S_001_01_DENOMINATOR,S_002_01_ADJ_RATE,S_002_01_OBS_RATE,S_004_01_PPR_PD_VOLUME,S_005_01_DTC_VOLUME,S_013_01_OBS_RATE,S_001_01_OBS_RATE,S_002_01_DENOMINATOR,S_001_01_NUMERATOR,S_004_01_PPR_PD_RSRR,S_004_01_PPR_PD_OBS,S_006_01_MSPB_NUMB,S_006_01_MSPB_SCORE,S_004_01_PPR_PD_COMP_PERF,S_005_01_DTC_RS_RATE,S_005_01_DTC_COMP_PERF
0,15009,57.55,Not Available,Not Available,Not Available,110,1,0,56.32,56.75,49,110,1,0.9,Not Available,87,0,98.2,110,108,Not Available,Not Available,85,0.88,Not Available,57.15,Better than the National Rate
1,15010,65.22,Not Available,Not Available,Not Available,248,6,0,66.85,64.33,119,248,3.5,2.4,Not Available,178,0,73,248,181,Not Available,Not Available,197,0.77,Not Available,64.78,Better than the National Rate
2,15012,58.05,Not Available,Not Available,Not Available,182,2,4,59.85,57.27,82,182,1.2,1.1,Not Available,137,2.2,100,182,182,Not Available,Not Available,129,0.92,Not Available,57.67,Better than the National Rate
3,15014,34,Not Available,Not Available,Not Available,53,0,0,13.33,33.41,4,53,0,0,Not Available,30,0,100,53,53,Not Available,Not Available,25,1.51,Not Available,33.69,Worse than the National Rate
4,15015,55.43,Not Available,Not Available,Not Available,62,1,0,40.48,54.57,17,62,2.2,1.6,Not Available,42,0,96.8,62,60,Not Available,Not Available,45,0.79,Not Available,54.97,Better than the National Rate
5,15016,54.5,Not Available,Not Available,Not Available,263,4,3,49.3,53.8,105,263,1.9,1.5,Not Available,213,1.1,100,263,263,Not Available,Not Available,185,0.9,Not Available,54.16,Better than the National Rate
6,15019,34.34,Not Available,Not Available,Not Available,68,1,0,20.69,33.87,12,68,1.5,1.5,Not Available,58,0,95.6,68,65,Not Available,Not Available,51,0.95,Not Available,34.1,Worse than the National Rate
7,15023,51.26,Not Available,Not Available,Not Available,95,5,0,53.85,50.6,35,95,5.6,5.3,Not Available,65,0,93.7,95,89,Not Available,Not Available,73,0.75,Not Available,50.96,Better than the National Rate
8,15024,54.05,Not Available,Not Available,Not Available,292,0,4,53.91,53.41,124,292,0,0,Not Available,230,1.4,99.3,292,290,Not Available,Not Available,193,1.03,Not Available,53.73,Better than the National Rate
9,15027,45.43,Not Available,Not Available,Not Available,182,2,5,39.58,44.86,57,182,1.2,1.1,Not Available,144,2.7,99.5,182,181,Not Available,Not Available,141,0.96,Not Available,45.16,Worse than the National Rate
10,15028,43.05,Not Available,Not Available,Not Available,84,2,3,26.98,42.37,17,85,2.6,2.4,Not Available,63,3.6,94.1,83,80,Not Available,Not Available,68,1.23,Not Available,42.7,Worse than the National Rate
11,15031,64.01,Not Available,Not Available,Not Available,572,8,2,62.52,63.19,317,572,1.9,1.4,Not Available,507,0.3,100,569,572,Not Available,Not Available,442,0.8,Not Available,63.6,Better than the National Rate
12,15032,53.35,Not Available,Not Available,Not Available,249,2,1,50.54,52.64,94,249,0.9,0.8,Not Available,186,0.4,97.6,249,243,Not Available,Not Available,179,0.8,Not Available,53.01,Better than the National Rate
13,15034,39.19,Not Available,Not Available,Not Available,82,0,0,18.87,37.82,10,82,0,0,Not Available,53,0,100,82,82,Not Available,Not Available,51,1.15,Not Available,38.48,Worse than the National Rate
14,15035,56.83,Not Available,Not Available,Not Available,161,3,1,51.79,56.09,58,161,2.1,1.9,Not Available,112,0.6,100,161,161,Not Available,Not Available,112,0.86,Not Available,56.46,Better than the National Rate
15,15037,Not Available,Not Available,Not Available,Not Available,28,0,1,Not Available,Not Available,Not Available,28,0,0,Not Available,20,3.6,67.9,28,19,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available
16,15040,38.94,Not Available,Not Available,Not Available,62,1,2,22.92,38.44,11,62,1.4,1.6,Not Available,48,3.2,100,62,62,Not Available,Not Available,55,1.22,Not Available,38.69,Worse than the National Rate
17,15042,54.19,Not Available,Not Available,Not Available,133,0,1,48.84,53.48,42,133,0,0,Not Available,86,0.8,100,133,133,Not Available,Not Available,94,1.17,Not Available,53.84,Better than the National Rate
18,265773,Not Available,Not Available,Not Available,Not Available,8,Not Available,Not Available,Not Available,Not Available,Not Available,8,Not Available,Not Available,Not Available,12,Not Available,Not Available,8,Not Available,Not Available,Not Available,8,Not Available,Not Available,Not Available,Not Available
